Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,taux de participation (%),Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe 02,Nom 02,Prenom 02,Nuance 02,Voix 02,Sexe 03,Nom 03,Prenom 03,Nuance 03,Voix 03,Sexe 04,Nom 04,Prenom 04,Nuance 04,Voix 04,Sexe 05,Nom 05,Prenom 05,Nuance 05,Voix 05,Sexe 06,Nom 06,Prenom 06,Nuance 06,Voix 06,Sexe 07,Nom 07,Prenom 07,Nuance 07,Voix 07,Sexe 08,Nom 08,Prenom 08,Nuance 08,Voix 08,Sexe 09,Nom 09,Prenom 09,Nuance 09,Voix 09,Sexe 10,Nom 10,Prenom 10,Nuance 10,Voix 10,Sexe 11,Nom 11,Prenom 11,Nuance 11,Voix 11,Sexe 12,Nom 12,Prenom 12,Nuance 12,Voix 12,Sexe 13,Nom 13,Prenom 13,Nuance 13,Voix 13,Sexe 14,Nom 14,Prenom 14,Nuance 14,Voix 14
1,AIN,1,AMBERIEU-EN-BUGEY,12513,4518,7995,"63,89",285,7710,M,ROUSTIT,FERNAND,COM,583,M,BENASSY,DANIEL,DVG,1687,M,GILBERT,ERIC,VEC,1314,M,BOLLIET,GILLES,DL,1130,M,BORDES,J.PIERRE,DVD,675,M,MAGDELAINE,JACQUES,DVD,1108,M,NOIR,PHILIPPE,FN,668,M,MARQUEYROL,EDMOND,MNR,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,5,BOURG-EN-BRESSE-EST,8358,4027,4331,"51,82",159,4172,M,BAILLY,LUC,EXG,160,M,MORNET,LIONEL,COM,220,M,MAZUIR,RACHEL,SOC,1378,F,DUTHU,MONIQUE,VEC,523,M,PRITZY,DENIS,RPR,1368,M,MARCHAND,GILLES,FN,249,M,BAS,GERARD,MNR,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,6,BRENOD,2619,556,2063,"78,77",93,1970,F,FOULON,MARCELLE,COM,61,M,RIVAT,MICHEL,DVG,595,M,THOUBILLON,BERNARD,VEC,96,F,CARRIER,ANNIE,RPR,480,M,CARRIER,BERNARD,DVD,587,F,POUZIN,ELISABETH,FN,115,M,BEAUDET,GEORGES,MNR,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,7,CEYZERIAT,5830,1416,4414,"75,71",145,4269,M,RICOL,FRANCK,COM,229,M,CHANEL,BERNARD,DVG,1268,M,REVEL,MAURICE,CPNT,408,M,CLEARD,GILBERT,RPR,702,M,FLOCHON,J.YVES,DVD,1400,M,SARFATI,MICHEL,FN,145,M,TAVERDET,CYRILLE,MNR,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,8,CHALAMONT,3649,1029,2620,"71,8",90,2530,M,NALLET,ALBERT,COM,120,M,ALAMERCERY,MICHEL,SOC,713,M,BILLOT,J.PIERRE,DVD,1393,F,BENOISTON,ARMELLE,FN,199,M,LARA,ROGER,MNR,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,9,CHAMPAGNE-EN-VALROMEY,3592,877,2715,"75,58",129,2586,M,MARIE,ALBERT,COM,649,M,BRUNET,HENRI,DVG,123,M,BOLON,ANDRE,DVD,651,M,SCHWENZER,HELMUT,DVD,980,M,GROS,FRANCOIS,FN,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,12,COLLONGES,5383,1914,3469,"64,44",208,3261,F,BLANCHET,MARINETTE,COM,276,M,LESUEUR,JACKIE,DVG,608,M,JULIET,DANIEL,DVD,2029,M,SIMONNY,CHRISTIAN,FN,208,M,PELLETIER,JEAN,MNR,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,14,GEX,13208,5469,7739,"58,59",314,7425,F,FAVIER,NOELLE,COM,137,M,PILS,HENRI,SOC,1323,M,PRUVOST,J.CLAUDE,DVG,1377,M,PAOLI,GERARD,DVD,2962,M,TAVIER,JACQUES,DVD,987,M,WYSSA,OLIVIER,FN,518,F,DARME,GEORGETTE,MNR,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,16,IZERNORE,3095,756,2339,"75,57",82,2257,M,ALLOMBERT,GEORGES,COM,216,F,DRUT-GORJU,ELIANE,SOC,288,F,JEANNERET-NGUYEN,LAURENCE,DL,380,M,GENOUX,MICHEL,DVD,798,M,DALY,J.PAUL,DVD,330,M,CATEEUW,FABRICE,FN,127,M,BOYARD,MARCEL,MNR,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,17,LAGNIEU,11363,3753,7610,"66,97",327,7283,M,OLLEON,GEORGES,COM,549,M,HAUTCLOCQ,YVES,MDC,374,F,BOLLINI,JOCELYNE,SOC,1283,M,VERPILLIERE DE LA,CHARLES,DVD,4094,M,GROS,ARMAND,FN,673,M,LEMAIRE,BERNARD,MNR,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,19,MEXIMIEUX,11722,3952,7770,"66,29",279,7491,F,BRESSON,CHRISTINE,COM,171,M,BRUN,ROGER,SOC,1541,M,VERNAY,PAUL,VEC,1058,M,MARCOU,CLAUDE,RPR,2309,M,PELLETIER,J.ALEX,DL,577,F,DURAND MANICLAS,Joëlle,DVD,264,M,HERMAN,J.PIERRE,DVD,521,F,GOUHAUT,CHRISTIANE,FN,809,M,GALINZOYA,CHRISTOPHE,MNR,241,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,21,MONTREVEL-EN-BRESSE,9438,3122,6316,"66,92",563,5753,F,COTTINAT,J.MARIE,COM,330,M,FONTENEAU,Bernard,DVG,4056,M,CHEVALLIER,DOMINIQUE,FN,589,M,BOUVARD,GUILLAUME,MNR,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,23,OYONNAX-NORD,9137,3775,5362,"58,68",223,5139,F,FERRI,MYLENE,COM,1360,M,TACHDJIAN,ALEXANDRE,DVD,1481,M,CRACCHIOLO,PHILIPPE,DVD,1294,M,SOUETRE,J.RENE,FN,371,M,CLAVEL,ANDRE,MNR,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,26,PONT-DE-VAUX,5835,1694,4141,"70,97",219,3922,M,SANDONIS,PAULINO,COM,533,M,GUILLERMIN,HENRI,RPR,2688,M,JULLIN,HENRI,DVD,394,F,COMTET,NICOLE,FN,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,28,SAINT-RAMBERT-EN-BUGEY,3420,987,2433,"71,14",89,2344,M,AVELINE,PAUL,COM,114,M,PERROT,MARC,DVG,789,M,MARQUIS,J.CLAUDE,UDF,1050,M,CHEVALLIER,FABRICE,FN,266,M,FERNANDEZ,PATRICK,MNR,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,30,SAINT-TRIVIER-SUR-MOIGNANS,8078,2691,5387,"66,69",277,5110,M,THETE,PAUL,COM,285,F,LANOY,ODETTE,SOC,854,M,EYRAUD,BENOIT,RPR,699,M,VIAL,JEAN,DL,2384,M,FERLAY,HENRI,FN,576,M,HAUDRY,JEAN,MNR,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,33,TREFFORT-CUISIAT,5275,1385,3890,"73,74",114,3776,F,GREGOIRE-TUFEL,MARIE,COM,95,M,BAILLOUD,PIERRE,DVG,457,M,PERRON,DENIS,DVG,827,M,VOITURIER,LUC,VEC,469,M,ROLLET,MARC,RPR,574,M,GURET,GERARD,DVD,243,M,ROBIN,ALEXANDRE,DVD,933,F,PILLET,ISABELLE,FN,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,37,BOURG-EN-BRESSE-NORD-CENTRE,6613,3157,3456,"52,26",111,3345,F,GUY,MICHELINE,EXG,111,M,BORGO,PASCAL,COM,96,M,DEBAT,J.FRANCOIS,SOC,1188,M,GIROUD,ALAIN,VEC,254,M,FEILLENS,CHRISTOPHE,UDF,1278,M,SCHOLL,JACQUES,FN,164,F,VEILLEROT,ANNICK,MNR,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,38,BOURG-EN-BRESSE-SUD,7296,3308,3988,"54,66",149,3839,M,MORTEL,J.FRANCOIS,EXG,137,F,BRENDEL,ANITA,COM,187,M,RODET,J.PAUL,SOC,1289,M,JAQUINOD,BERNARD,VEC,441,F,WITTMANN,ODETTE,DL,1295,F,CHEYRE,CATHERINE,FN,234,F,BERNY,JOCELYNE,MNR,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
