,gender,year,region,total_women
0,female,2002,Auvergne-Rhône-Alpes,3651145
1,female,2002,Bourgogne-Franche-Comté,1408523
2,female,2002,Bretagne,1534541
3,female,2002,Centre-Val-de-Loire,1268100
4,female,2002,Corse,140645
5,female,2002,DOM,878842
6,female,2002,France métropolitaine,30746895
7,female,2002,France métropolitaine et DOM,31625737
8,female,2002,Grand Est,2777787
9,female,2002,Guadeloupe ,206197
10,female,2002,Guyane,88266
11,female,2002,Hauts-de-France,3026476
12,female,2002,La Réunion,378226
13,female,2002,Martinique ,206153
14,female,2002,Normandie,1664843
15,female,2002,Nouvelle-Aquitaine,2785686
16,female,2002,Occitanie,2598508
17,female,2002,Pays de la Loire,1699201
18,female,2002,Provence-Alpes-Côte d'Azur,2414993
19,female,2002,Île-de-France,5776447
20,female,2003,Auvergne-Rhône-Alpes,3681680
21,female,2003,Bourgogne-Franche-Comté,1412798
22,female,2003,Bretagne,1548678
23,female,2003,Centre-Val-de-Loire,1274554
24,female,2003,Corse,143280
25,female,2003,DOM,892656
26,female,2003,France métropolitaine,30974030
27,female,2003,France métropolitaine et DOM,31866686
28,female,2003,Grand Est,2785673
29,female,2003,Guadeloupe ,207730
30,female,2003,Guyane,92519
31,female,2003,Hauts-de-France,3032858
32,female,2003,La Réunion,384466
33,female,2003,Martinique ,207941
34,female,2003,Normandie,1671044
35,female,2003,Nouvelle-Aquitaine,2810030
36,female,2003,Occitanie,2635226
37,female,2003,Pays de la Loire,1716417
38,female,2003,Provence-Alpes-Côte d'Azur,2440242
39,female,2003,Île-de-France,5821550
40,female,2004,Auvergne-Rhône-Alpes,3711950
41,female,2004,Bourgogne-Franche-Comté,1416543
42,female,2004,Bretagne,1562852
43,female,2004,Centre-Val-de-Loire,1280112
44,female,2004,Corse,145918
45,female,2004,DOM,906380
46,female,2004,France métropolitaine,31192749
47,female,2004,France métropolitaine et DOM,32099129
48,female,2004,Grand Est,2792808
49,female,2004,Guadeloupe ,209389
50,female,2004,Guyane,96867
51,female,2004,Hauts-de-France,3038027
52,female,2004,La Réunion,390575
53,female,2004,Martinique ,209549
54,female,2004,Normandie,1676729
55,female,2004,Nouvelle-Aquitaine,2834276
56,female,2004,Occitanie,2671776
57,female,2004,Pays de la Loire,1732945
58,female,2004,Provence-Alpes-Côte d'Azur,2464341
59,female,2004,Île-de-France,5864472
60,female,2005,Auvergne-Rhône-Alpes,3746304
