,Code département,département,Inscrits,Votants,Blancs et nuls,Exprimés,year,election_round,election
0,1,AIN,12513,6169,598,5571,2001,t2,cantonales
1,1,AIN,8358,4793,249,4544,2001,t2,cantonales
2,1,AIN,2619,1852,94,1758,2001,t2,cantonales
3,1,AIN,5830,3847,140,3707,2001,t2,cantonales
4,1,AIN,3592,2304,181,2123,2001,t2,cantonales
5,1,AIN,13208,5730,151,5579,2001,t2,cantonales
6,1,AIN,3095,1870,112,1758,2001,t2,cantonales
7,1,AIN,11722,5806,260,5546,2001,t2,cantonales
8,1,AIN,9134,4913,337,4576,2001,t2,cantonales
9,1,AIN,3420,2192,73,2119,2001,t2,cantonales
10,1,AIN,8078,3757,181,3576,2001,t2,cantonales
11,1,AIN,5274,3292,195,3097,2001,t2,cantonales
12,1,AIN,6613,3929,137,3792,2001,t2,cantonales
13,1,AIN,7296,4345,167,4178,2001,t2,cantonales
14,1,AIN,9263,5123,218,4905,2001,t2,cantonales
15,1,AIN,12946,6029,193,5836,2001,t2,cantonales
16,2,AISNE,2654,2096,105,1991,2001,t2,cantonales
17,2,AISNE,6175,4566,125,4441,2001,t2,cantonales
18,2,AISNE,6055,3859,264,3595,2001,t2,cantonales
19,2,AISNE,8144,5229,272,4957,2001,t2,cantonales
20,2,AISNE,5420,3991,181,3810,2001,t2,cantonales
21,2,AISNE,8259,4886,256,4630,2001,t2,cantonales
22,2,AISNE,6050,4297,297,4000,2001,t2,cantonales
23,2,AISNE,6689,3795,242,3553,2001,t2,cantonales
24,2,AISNE,3915,2728,120,2608,2001,t2,cantonales
25,2,AISNE,14476,6373,321,6052,2001,t2,cantonales
26,2,AISNE,9528,6161,190,5971,2001,t2,cantonales
27,2,AISNE,5049,3890,295,3595,2001,t2,cantonales
28,2,AISNE,15378,9400,652,8748,2001,t2,cantonales
29,2,AISNE,15960,7491,442,7049,2001,t2,cantonales
30,3,ALLIER,5565,3923,215,3708,2001,t2,cantonales
31,3,ALLIER,6340,4221,154,4067,2001,t2,cantonales
32,3,ALLIER,3564,2600,92,2508,2001,t2,cantonales
33,3,ALLIER,7259,5271,214,5057,2001,t2,cantonales
34,3,ALLIER,5926,3899,173,3726,2001,t2,cantonales
35,3,ALLIER,7406,4817,233,4584,2001,t2,cantonales
36,3,ALLIER,3857,2861,152,2709,2001,t2,cantonales
37,3,ALLIER,11005,6492,255,6237,2001,t2,cantonales
38,3,ALLIER,10190,5632,183,5449,2001,t2,cantonales
39,3,ALLIER,3832,2669,98,2571,2001,t2,cantonales
40,3,ALLIER,10838,7042,239,6803,2001,t2,cantonales
41,3,ALLIER,9063,5652,495,5157,2001,t2,cantonales
42,3,ALLIER,7456,4449,213,4236,2001,t2,cantonales
43,3,ALLIER,12145,7048,281,6767,2001,t2,cantonales
44,4,ALPES DE HAUTE PROVENCE,1884,1426,46,1380,2001,t2,cantonales
45,4,ALPES DE HAUTE PROVENCE,6490,4188,281,3907,2001,t2,cantonales
46,4,ALPES DE HAUTE PROVENCE,6789,4577,337,4240,2001,t2,cantonales
47,4,ALPES DE HAUTE PROVENCE,996,785,39,746,2001,t2,cantonales
48,4,ALPES DE HAUTE PROVENCE,2579,1966,103,1863,2001,t2,cantonales
49,4,ALPES DE HAUTE PROVENCE,2203,1626,304,1322,2001,t2,cantonales
50,4,ALPES DE HAUTE PROVENCE,2304,1841,58,1783,2001,t2,cantonales
51,4,ALPES DE HAUTE PROVENCE,8445,5525,455,5070,2001,t2,cantonales
52,4,ALPES DE HAUTE PROVENCE,7745,4981,270,4711,2001,t2,cantonales
53,5,HAUTES ALPES,1664,1374,64,1310,2001,t2,cantonales
54,5,HAUTES ALPES,3115,2200,118,2082,2001,t2,cantonales
55,5,HAUTES ALPES,4147,3141,179,2962,2001,t2,cantonales
56,5,HAUTES ALPES,6278,3410,177,3233,2001,t2,cantonales
57,6,ALPES MARITIMES,22858,10144,960,9184,2001,t2,cantonales
58,6,ALPES MARITIMES,20179,9605,370,9235,2001,t2,cantonales
59,6,ALPES MARITIMES,8205,5143,196,4947,2001,t2,cantonales
60,6,ALPES MARITIMES,17772,10064,889,9175,2001,t2,cantonales
61,6,ALPES MARITIMES,17066,7653,472,7181,2001,t2,cantonales
62,6,ALPES MARITIMES,13583,6900,612,6288,2001,t2,cantonales
63,6,ALPES MARITIMES,13053,6429,893,5536,2001,t2,cantonales
64,6,ALPES MARITIMES,13915,6404,305,6099,2001,t2,cantonales
65,6,ALPES MARITIMES,2499,1947,47,1900,2001,t2,cantonales
66,6,ALPES MARITIMES,17210,9942,333,9609,2001,t2,cantonales
67,6,ALPES MARITIMES,17709,9196,617,8579,2001,t2,cantonales
68,6,ALPES MARITIMES,19158,10327,786,9541,2001,t2,cantonales
69,6,ALPES MARITIMES,16687,8511,335,8176,2001,t2,cantonales
70,6,ALPES MARITIMES,23876,13761,883,12878,2001,t2,cantonales
71,6,ALPES MARITIMES,27251,13759,651,13108,2001,t2,cantonales
72,6,ALPES MARITIMES,18911,10873,1224,9649,2001,t2,cantonales
73,7,ARDECHE,12890,8605,620,7985,2001,t2,cantonales
74,7,ARDECHE,1261,1009,41,968,2001,t2,cantonales
75,7,ARDECHE,5376,3683,111,3572,2001,t2,cantonales
76,7,ARDECHE,4849,3390,118,3272,2001,t2,cantonales
77,7,ARDECHE,18176,9647,357,9290,2001,t2,cantonales
78,7,ARDECHE,7312,4323,204,4119,2001,t2,cantonales
79,7,ARDECHE,5855,4231,214,4017,2001,t2,cantonales
80,7,ARDECHE,15513,10081,618,9463,2001,t2,cantonales
81,7,ARDECHE,5905,4184,233,3951,2001,t2,cantonales
82,7,ARDECHE,6332,4563,192,4371,2001,t2,cantonales
83,7,ARDECHE,8416,5621,216,5405,2001,t2,cantonales
84,8,ARDENNES,3899,2662,129,2533,2001,t2,cantonales
85,8,ARDENNES,2339,1763,70,1693,2001,t2,cantonales
86,8,ARDENNES,1754,1457,152,1305,2001,t2,cantonales
87,8,ARDENNES,7260,4680,402,4278,2001,t2,cantonales
88,8,ARDENNES,8213,4908,183,4725,2001,t2,cantonales
89,8,ARDENNES,2123,1797,78,1719,2001,t2,cantonales
90,8,ARDENNES,2007,1562,75,1487,2001,t2,cantonales
91,8,ARDENNES,7478,4253,197,4056,2001,t2,cantonales
92,8,ARDENNES,10045,6550,187,6363,2001,t2,cantonales
93,8,ARDENNES,8621,4254,255,3999,2001,t2,cantonales
