,Code département,département,Inscrits,Votants,Blancs et nuls,Exprimés,year,election_round,election
94,8,ARDENNES,8201,4565,195,4370,2001,t2,cantonales
95,8,ARDENNES,8774,4000,549,3451,2001,t2,cantonales
96,8,ARDENNES,5326,2921,149,2772,2001,t2,cantonales
97,8,ARDENNES,9822,5643,271,5372,2001,t2,cantonales
98,9,ARIEGE,5989,3481,138,3343,2001,t2,cantonales
99,9,ARIEGE,1955,1455,74,1381,2001,t2,cantonales
100,9,ARIEGE,9740,5848,397,5451,2001,t2,cantonales
101,9,ARIEGE,5606,4055,259,3796,2001,t2,cantonales
102,9,ARIEGE,6419,3380,842,2538,2001,t2,cantonales
103,9,ARIEGE,7871,4578,611,3967,2001,t2,cantonales
104,10,AUBE,3585,2354,64,2290,2001,t2,cantonales
105,10,AUBE,8506,5160,257,4903,2001,t2,cantonales
106,10,AUBE,1845,1126,527,599,2001,t2,cantonales
107,10,AUBE,3307,2467,109,2358,2001,t2,cantonales
108,10,AUBE,6164,3570,139,3431,2001,t2,cantonales
109,10,AUBE,6277,2764,683,2081,2001,t2,cantonales
110,10,AUBE,7635,3420,155,3265,2001,t2,cantonales
111,10,AUBE,10300,2926,892,2034,2001,t2,cantonales
112,10,AUBE,9603,4649,169,4480,2001,t2,cantonales
113,10,AUBE,12270,5378,195,5183,2001,t2,cantonales
114,11,AUDE,1881,1498,79,1419,2001,t2,cantonales
115,11,AUDE,9361,5653,367,5286,2001,t2,cantonales
116,11,AUDE,9567,6177,427,5750,2001,t2,cantonales
117,11,AUDE,10278,6458,335,6123,2001,t2,cantonales
118,11,AUDE,7123,3353,723,2630,2001,t2,cantonales
119,11,AUDE,9690,6173,351,5822,2001,t2,cantonales
120,11,AUDE,11677,6613,646,5967,2001,t2,cantonales
121,11,AUDE,4521,2520,1020,1500,2001,t2,cantonales
122,11,AUDE,7034,4669,328,4341,2001,t2,cantonales
123,11,AUDE,13977,8240,406,7834,2001,t2,cantonales
124,11,AUDE,7455,4689,366,4323,2001,t2,cantonales
125,11,AUDE,15341,8935,550,8385,2001,t2,cantonales
126,11,AUDE,11248,5671,310,5361,2001,t2,cantonales
127,12,AVEYRON,2238,1539,82,1457,2001,t2,cantonales
128,12,AVEYRON,6761,4719,282,4437,2001,t2,cantonales
129,12,AVEYRON,2476,1909,247,1662,2001,t2,cantonales
130,12,AVEYRON,8529,5609,266,5343,2001,t2,cantonales
131,12,AVEYRON,5741,4483,168,4315,2001,t2,cantonales
132,12,AVEYRON,6470,3814,263,3551,2001,t2,cantonales
133,12,AVEYRON,1892,1550,69,1481,2001,t2,cantonales
134,12,AVEYRON,4486,3725,143,3582,2001,t2,cantonales
135,12,AVEYRON,1959,1554,33,1521,2001,t2,cantonales
136,12,AVEYRON,747,624,13,611,2001,t2,cantonales
137,12,AVEYRON,2042,1680,74,1606,2001,t2,cantonales
138,12,AVEYRON,6810,5407,192,5215,2001,t2,cantonales
139,12,AVEYRON,3280,2710,93,2617,2001,t2,cantonales
140,12,AVEYRON,3642,2698,175,2523,2001,t2,cantonales
141,12,AVEYRON,13475,7724,363,7361,2001,t2,cantonales
142,12,AVEYRON,10712,6687,227,6460,2001,t2,cantonales
143,13,BOUCHES DU RHONE,34532,21834,935,20899,2001,t2,cantonales
144,13,BOUCHES DU RHONE,39196,22766,1066,21700,2001,t2,cantonales
145,13,BOUCHES DU RHONE,22160,14991,1540,13451,2001,t2,cantonales
146,13,BOUCHES DU RHONE,28936,13823,576,13247,2001,t2,cantonales
147,13,BOUCHES DU RHONE,21197,14790,1273,13517,2001,t2,cantonales
148,13,BOUCHES DU RHONE,4633,2702,142,2560,2001,t2,cantonales
149,13,BOUCHES DU RHONE,7354,3792,301,3491,2001,t2,cantonales
150,13,BOUCHES DU RHONE,14598,6732,625,6107,2001,t2,cantonales
151,13,BOUCHES DU RHONE,17122,7603,2636,4967,2001,t2,cantonales
152,13,BOUCHES DU RHONE,14906,9244,332,8912,2001,t2,cantonales
153,13,BOUCHES DU RHONE,27729,15947,1069,14878,2001,t2,cantonales
154,13,BOUCHES DU RHONE,25655,18364,2346,16018,2001,t2,cantonales
155,13,BOUCHES DU RHONE,23873,12060,795,11265,2001,t2,cantonales
156,13,BOUCHES DU RHONE,11319,4856,1196,3660,2001,t2,cantonales
157,13,BOUCHES DU RHONE,21444,9415,3143,6272,2001,t2,cantonales
158,13,BOUCHES DU RHONE,23846,12534,920,11614,2001,t2,cantonales
159,13,BOUCHES DU RHONE,27912,15009,1131,13878,2001,t2,cantonales
160,13,BOUCHES DU RHONE,23734,11173,628,10545,2001,t2,cantonales
161,13,BOUCHES DU RHONE,30733,16669,878,15791,2001,t2,cantonales
162,13,BOUCHES DU RHONE,20525,12687,761,11926,2001,t2,cantonales
163,13,BOUCHES DU RHONE,34087,23167,2689,20478,2001,t2,cantonales
164,14,CALVADOS,5072,2676,525,2151,2001,t2,cantonales
165,14,CALVADOS,14728,8144,540,7604,2001,t2,cantonales
166,14,CALVADOS,16111,8968,328,8640,2001,t2,cantonales
167,14,CALVADOS,7331,4725,224,4501,2001,t2,cantonales
168,14,CALVADOS,3486,2464,199,2265,2001,t2,cantonales
169,14,CALVADOS,6569,3956,135,3821,2001,t2,cantonales
170,14,CALVADOS,8369,4379,275,4104,2001,t2,cantonales
171,14,CALVADOS,5557,3482,137,3345,2001,t2,cantonales
172,14,CALVADOS,5557,3998,264,3734,2001,t2,cantonales
173,14,CALVADOS,6683,4149,243,3906,2001,t2,cantonales
174,14,CALVADOS,10414,6626,378,6248,2001,t2,cantonales
175,14,CALVADOS,6908,4196,269,3927,2001,t2,cantonales
176,14,CALVADOS,8530,4730,207,4523,2001,t2,cantonales
177,14,CALVADOS,11388,5693,348,5345,2001,t2,cantonales
178,14,CALVADOS,8795,4497,150,4347,2001,t2,cantonales
179,15,CANTAL,3306,2771,30,2741,2001,t2,cantonales
180,15,CANTAL,2794,2314,199,2115,2001,t2,cantonales
181,15,CANTAL,6727,4663,134,4529,2001,t2,cantonales
182,15,CANTAL,7643,5311,394,4917,2001,t2,cantonales
183,16,CHARENTE,7378,4623,171,4452,2001,t2,cantonales
184,16,CHARENTE,6201,3810,95,3715,2001,t2,cantonales
185,16,CHARENTE,1944,1347,61,1286,2001,t2,cantonales
186,16,CHARENTE,3848,2701,109,2592,2001,t2,cantonales
187,16,CHARENTE,13125,8316,518,7798,2001,t2,cantonales
188,16,CHARENTE,5610,4058,136,3922,2001,t2,cantonales
189,16,CHARENTE,4592,3460,162,3298,2001,t2,cantonales
190,16,CHARENTE,17110,8504,370,8134,2001,t2,cantonales
191,16,CHARENTE,13653,6452,534,5918,2001,t2,cantonales
192,16,CHARENTE,9372,5010,229,4781,2001,t2,cantonales
193,16,CHARENTE,12238,6419,369,6050,2001,t2,cantonales
194,16,CHARENTE,14071,7329,376,6953,2001,t2,cantonales
195,17,CHARENTE MARITIME,6961,4802,110,4692,2001,t2,cantonales
196,17,CHARENTE MARITIME,6670,4248,163,4085,2001,t2,cantonales
197,17,CHARENTE MARITIME,8202,4975,180,4795,2001,t2,cantonales
198,17,CHARENTE MARITIME,13605,6212,275,5937,2001,t2,cantonales
199,17,CHARENTE MARITIME,7382,4372,299,4073,2001,t2,cantonales
200,17,CHARENTE MARITIME,5920,3870,186,3684,2001,t2,cantonales
201,17,CHARENTE MARITIME,8435,4946,156,4790,2001,t2,cantonales
202,17,CHARENTE MARITIME,3421,2364,119,2245,2001,t2,cantonales
203,17,CHARENTE MARITIME,4981,3413,110,3303,2001,t2,cantonales
204,17,CHARENTE MARITIME,11454,6587,375,6212,2001,t2,cantonales
205,17,CHARENTE MARITIME,8490,5118,162,4956,2001,t2,cantonales
206,17,CHARENTE MARITIME,12754,6844,313,6531,2001,t2,cantonales
207,17,CHARENTE MARITIME,7158,4189,155,4034,2001,t2,cantonales
208,17,CHARENTE MARITIME,6244,2126,100,2026,2001,t2,cantonales
209,17,CHARENTE MARITIME,12054,5941,182,5759,2001,t2,cantonales
210,17,CHARENTE MARITIME,9914,6244,264,5980,2001,t2,cantonales
211,18,CHER,5529,3615,118,3497,2001,t2,cantonales
212,18,CHER,6678,2731,85,2646,2001,t2,cantonales
213,18,CHER,6653,3995,348,3647,2001,t2,cantonales
214,18,CHER,9116,5601,215,5386,2001,t2,cantonales
215,18,CHER,5954,3698,147,3551,2001,t2,cantonales
216,18,CHER,7820,4735,313,4422,2001,t2,cantonales
217,18,CHER,7892,3775,185,3590,2001,t2,cantonales
218,18,CHER,14060,7114,246,6868,2001,t2,cantonales
219,19,CORREZE,2861,2402,60,2342,2001,t2,cantonales
220,19,CORREZE,7372,4940,401,4539,2001,t2,cantonales
221,19,CORREZE,5189,4034,112,3922,2001,t2,cantonales
222,19,CORREZE,3875,2824,213,2611,2001,t2,cantonales
223,19,CORREZE,4167,3372,116,3256,2001,t2,cantonales
224,19,CORREZE,5697,4330,363,3967,2001,t2,cantonales
225,19,CORREZE,1981,1635,58,1577,2001,t2,cantonales
226,19,CORREZE,5793,3551,119,3432,2001,t2,cantonales
227,19,CORREZE,3038,2727,148,2579,2001,t2,cantonales
228,19,CORREZE,8693,5785,369,5416,2001,t2,cantonales
229,19,CORREZE,7753,5450,374,5076,2001,t2,cantonales
230,19,CORREZE,6231,4673,232,4441,2001,t2,cantonales
231,19,CORREZE,7252,5846,287,5559,2001,t2,cantonales
232,2A,CORSE SUD,6540,4453,203,4250,2001,t2,cantonales
233,2A,CORSE SUD,2270,1758,27,1731,2001,t2,cantonales
234,2A,CORSE SUD,2888,2462,117,2345,2001,t2,cantonales
235,2A,CORSE SUD,2147,1639,159,1480,2001,t2,cantonales
236,2A,CORSE SUD,8124,5991,467,5524,2001,t2,cantonales
237,2B,HAUTE CORSE,4684,3422,316,3106,2001,t2,cantonales
238,2B,HAUTE CORSE,2825,2485,26,2459,2001,t2,cantonales
239,2B,HAUTE CORSE,3394,2564,51,2513,2001,t2,cantonales
240,2B,HAUTE CORSE,1685,1495,8,1487,2001,t2,cantonales
241,2B,HAUTE CORSE,1701,1243,35,1208,2001,t2,cantonales
242,2B,HAUTE CORSE,4384,3073,369,2704,2001,t2,cantonales
243,21,COTE D'OR,1368,1056,60,996,2001,t2,cantonales
244,21,COTE D'OR,13600,7252,416,6836,2001,t2,cantonales
245,21,COTE D'OR,8189,5789,177,5612,2001,t2,cantonales
246,21,COTE D'OR,16121,8563,262,8301,2001,t2,cantonales
247,21,COTE D'OR,21528,10948,402,10546,2001,t2,cantonales
248,21,COTE D'OR,10270,6131,245,5886,2001,t2,cantonales
249,21,COTE D'OR,2112,1446,92,1354,2001,t2,cantonales
250,21,COTE D'OR,13558,7628,507,7121,2001,t2,cantonales
251,21,COTE D'OR,2864,2122,134,1988,2001,t2,cantonales
252,21,COTE D'OR,4889,2602,809,1793,2001,t2,cantonales
253,21,COTE D'OR,4692,3170,125,3045,2001,t2,cantonales
254,21,COTE D'OR,6831,5477,227,5250,2001,t2,cantonales
255,21,COTE D'OR,6232,3637,151,3486,2001,t2,cantonales
256,21,COTE D'OR,5909,4188,169,4019,2001,t2,cantonales
257,21,COTE D'OR,16766,7253,297,6956,2001,t2,cantonales
258,21,COTE D'OR,10910,6648,238,6410,2001,t2,cantonales
259,21,COTE D'OR,8308,4642,127,4515,2001,t2,cantonales
260,22,COTES D'ARMOR,6243,4842,243,4599,2001,t2,cantonales
261,22,COTES D'ARMOR,4462,3728,159,3569,2001,t2,cantonales
262,22,COTES D'ARMOR,5377,4434,182,4252,2001,t2,cantonales
263,22,COTES D'ARMOR,3364,2725,103,2622,2001,t2,cantonales
264,22,COTES D'ARMOR,11369,7125,326,6799,2001,t2,cantonales
265,22,COTES D'ARMOR,2977,2418,86,2332,2001,t2,cantonales
266,22,COTES D'ARMOR,15884,10186,979,9207,2001,t2,cantonales
267,22,COTES D'ARMOR,14040,9479,246,9233,2001,t2,cantonales
268,22,COTES D'ARMOR,18405,8943,639,8304,2001,t2,cantonales
269,22,COTES D'ARMOR,7062,5543,171,5372,2001,t2,cantonales
270,22,COTES D'ARMOR,5952,4816,141,4675,2001,t2,cantonales
271,22,COTES D'ARMOR,10030,6662,213,6449,2001,t2,cantonales
272,22,COTES D'ARMOR,6619,4978,245,4733,2001,t2,cantonales
273,22,COTES D'ARMOR,7740,6134,248,5886,2001,t2,cantonales
274,22,COTES D'ARMOR,6453,5121,203,4918,2001,t2,cantonales
275,22,COTES D'ARMOR,9567,5426,304,5122,2001,t2,cantonales
276,22,COTES D'ARMOR,10112,5812,413,5399,2001,t2,cantonales
277,22,COTES D'ARMOR,9463,6881,436,6445,2001,t2,cantonales
278,22,COTES D'ARMOR,15586,7949,2011,5938,2001,t2,cantonales
279,23,CREUSE,4641,3192,99,3093,2001,t2,cantonales
280,23,CREUSE,1613,1307,62,1245,2001,t2,cantonales
281,23,CREUSE,3157,2386,77,2309,2001,t2,cantonales
282,23,CREUSE,6065,4295,198,4097,2001,t2,cantonales
283,23,CREUSE,2631,2091,56,2035,2001,t2,cantonales
284,23,CREUSE,6204,4197,192,4005,2001,t2,cantonales
285,23,CREUSE,2755,1938,117,1821,2001,t2,cantonales
286,23,CREUSE,2560,2071,72,1999,2001,t2,cantonales
287,23,CREUSE,8578,5705,234,5471,2001,t2,cantonales
288,24,DORDOGNE,3876,2987,151,2836,2001,t2,cantonales
289,24,DORDOGNE,2545,1934,104,1830,2001,t2,cantonales
290,24,DORDOGNE,3250,2584,117,2467,2001,t2,cantonales
291,24,DORDOGNE,3339,2324,207,2117,2001,t2,cantonales
292,24,DORDOGNE,2806,2189,173,2016,2001,t2,cantonales
293,24,DORDOGNE,5583,4702,143,4559,2001,t2,cantonales
294,24,DORDOGNE,10976,5730,222,5508,2001,t2,cantonales
295,24,DORDOGNE,13043,8417,657,7760,2001,t2,cantonales
296,24,DORDOGNE,5379,3833,178,3655,2001,t2,cantonales
297,24,DORDOGNE,5534,4011,142,3869,2001,t2,cantonales
298,24,DORDOGNE,4061,3315,106,3209,2001,t2,cantonales
299,24,DORDOGNE,10274,7126,251,6875,2001,t2,cantonales
300,24,DORDOGNE,5976,4832,203,4629,2001,t2,cantonales
301,24,DORDOGNE,7439,5376,379,4997,2001,t2,cantonales
302,25,DOUBS,17468,10508,639,9869,2001,t2,cantonales
303,25,DOUBS,11624,5215,293,4922,2001,t2,cantonales
304,25,DOUBS,6376,4894,365,4529,2001,t2,cantonales
305,25,DOUBS,13012,7360,470,6890,2001,t2,cantonales
306,25,DOUBS,12930,7786,451,7335,2001,t2,cantonales
307,25,DOUBS,11450,7125,445,6680,2001,t2,cantonales
308,25,DOUBS,8235,5893,176,5717,2001,t2,cantonales
309,25,DOUBS,5870,4579,316,4263,2001,t2,cantonales
310,25,DOUBS,13431,8218,371,7847,2001,t2,cantonales
311,25,DOUBS,14977,8180,1798,6382,2001,t2,cantonales
312,25,DOUBS,8359,4616,269,4347,2001,t2,cantonales
313,25,DOUBS,8638,4060,1083,2977,2001,t2,cantonales
314,25,DOUBS,13423,7951,505,7446,2001,t2,cantonales
315,26,DROME,1056,830,50,780,2001,t2,cantonales
316,26,DROME,1651,1328,78,1250,2001,t2,cantonales
317,26,DROME,11030,6869,203,6666,2001,t2,cantonales
318,26,DROME,5736,3503,202,3301,2001,t2,cantonales
319,26,DROME,11086,6671,369,6302,2001,t2,cantonales
320,26,DROME,8157,5409,247,5162,2001,t2,cantonales
321,26,DROME,18086,10668,726,9942,2001,t2,cantonales
322,26,DROME,1603,1209,61,1148,2001,t2,cantonales
323,26,DROME,11918,7290,307,6983,2001,t2,cantonales
324,26,DROME,16407,9479,402,9077,2001,t2,cantonales
325,26,DROME,1902,1446,56,1390,2001,t2,cantonales
326,26,DROME,10307,4276,94,4182,2001,t2,cantonales
327,26,DROME,9373,3912,105,3807,2001,t2,cantonales
328,26,DROME,13912,8656,763,7893,2001,t2,cantonales
329,26,DROME,11468,6624,357,6267,2001,t2,cantonales
330,27,EURE,7716,5226,228,4998,2001,t2,cantonales
331,27,EURE,4768,3150,240,2910,2001,t2,cantonales
332,27,EURE,10434,6062,235,5827,2001,t2,cantonales
333,27,EURE,10553,4908,1490,3418,2001,t2,cantonales
334,27,EURE,11946,6188,301,5887,2001,t2,cantonales
335,27,EURE,5775,3632,137,3495,2001,t2,cantonales
336,27,EURE,3303,2215,94,2121,2001,t2,cantonales
337,27,EURE,8127,4456,602,3854,2001,t2,cantonales
338,27,EURE,11049,5993,414,5579,2001,t2,cantonales
339,27,EURE,11738,7123,350,6773,2001,t2,cantonales
340,27,EURE,11043,5183,300,4883,2001,t2,cantonales
341,27,EURE,10505,6287,190,6097,2001,t2,cantonales
342,27,EURE,9556,4719,251,4468,2001,t2,cantonales
343,27,EURE,10781,4633,245,4388,2001,t2,cantonales
344,28,EURE ET LOIR,9782,5592,354,5238,2001,t2,cantonales
345,28,EURE ET LOIR,9140,4713,245,4468,2001,t2,cantonales
346,28,EURE ET LOIR,11235,4843,217,4626,2001,t2,cantonales
347,28,EURE ET LOIR,7084,4305,150,4155,2001,t2,cantonales
348,28,EURE ET LOIR,10986,5504,246,5258,2001,t2,cantonales
349,28,EURE ET LOIR,6539,4520,287,4233,2001,t2,cantonales
350,28,EURE ET LOIR,13789,7399,476,6923,2001,t2,cantonales
351,28,EURE ET LOIR,8252,3057,256,2801,2001,t2,cantonales
352,28,EURE ET LOIR,12938,6904,558,6346,2001,t2,cantonales
353,29,FINISTERE,10748,6058,215,5843,2001,t2,cantonales
354,29,FINISTERE,6959,5122,226,4896,2001,t2,cantonales
355,29,FINISTERE,13448,9339,394,8945,2001,t2,cantonales
356,29,FINISTERE,10373,7785,219,7566,2001,t2,cantonales
357,29,FINISTERE,19018,12297,496,11801,2001,t2,cantonales
358,29,FINISTERE,4927,3570,86,3484,2001,t2,cantonales
359,29,FINISTERE,17991,11682,518,11164,2001,t2,cantonales
360,29,FINISTERE,12113,7919,391,7528,2001,t2,cantonales
361,29,FINISTERE,18067,10974,643,10331,2001,t2,cantonales
362,29,FINISTERE,8137,5992,158,5834,2001,t2,cantonales
363,29,FINISTERE,13417,8759,404,8355,2001,t2,cantonales
364,29,FINISTERE,16592,11376,410,10966,2001,t2,cantonales
365,29,FINISTERE,21876,12571,582,11989,2001,t2,cantonales
366,29,FINISTERE,6529,4947,158,4789,2001,t2,cantonales
367,29,FINISTERE,7682,5489,148,5341,2001,t2,cantonales
368,29,FINISTERE,8070,4147,189,3958,2001,t2,cantonales
369,29,FINISTERE,19201,12444,438,12006,2001,t2,cantonales
370,29,FINISTERE,16225,10069,409,9660,2001,t2,cantonales
371,30,GARD,7816,4326,337,3989,2001,t2,cantonales
372,30,GARD,9737,7091,543,6548,2001,t2,cantonales
373,30,GARD,22898,14424,573,13851,2001,t2,cantonales
374,30,GARD,16304,11667,343,11324,2001,t2,cantonales
375,30,GARD,8391,5880,441,5439,2001,t2,cantonales
376,30,GARD,2399,1806,63,1743,2001,t2,cantonales
377,30,GARD,3023,2239,92,2147,2001,t2,cantonales
378,30,GARD,17883,10650,561,10089,2001,t2,cantonales
379,30,GARD,18886,12618,549,12069,2001,t2,cantonales
380,30,GARD,17235,10987,392,10595,2001,t2,cantonales
381,30,GARD,3787,2819,189,2630,2001,t2,cantonales
382,30,GARD,5816,3996,229,3767,2001,t2,cantonales
383,30,GARD,10201,6700,288,6412,2001,t2,cantonales
384,30,GARD,9469,6595,1044,5551,2001,t2,cantonales
385,30,GARD,2428,1919,138,1781,2001,t2,cantonales
386,30,GARD,21699,12599,484,12115,2001,t2,cantonales
387,30,GARD,18766,9676,372,9304,2001,t2,cantonales
388,30,GARD,9509,5552,277,5275,2001,t2,cantonales
389,30,GARD,14574,7773,350,7423,2001,t2,cantonales
390,30,GARD,13803,8342,335,8007,2001,t2,cantonales
391,31,HAUTE GARONNE,4515,3440,82,3358,2001,t2,cantonales
392,31,HAUTE GARONNE,11469,7130,254,6876,2001,t2,cantonales
393,31,HAUTE GARONNE,16370,9816,546,9270,2001,t2,cantonales
394,31,HAUTE GARONNE,25658,12871,700,12171,2001,t2,cantonales
395,31,HAUTE GARONNE,14801,7705,1152,6553,2001,t2,cantonales
396,31,HAUTE GARONNE,6124,4512,229,4283,2001,t2,cantonales
397,31,HAUTE GARONNE,13648,8887,564,8323,2001,t2,cantonales
398,31,HAUTE GARONNE,6234,4759,205,4554,2001,t2,cantonales
399,31,HAUTE GARONNE,12593,7932,281,7651,2001,t2,cantonales
400,31,HAUTE GARONNE,11477,7372,321,7051,2001,t2,cantonales
401,31,HAUTE GARONNE,32400,19889,968,18921,2001,t2,cantonales
402,31,HAUTE GARONNE,26629,16023,641,15382,2001,t2,cantonales
403,31,HAUTE GARONNE,15635,9657,452,9205,2001,t2,cantonales
404,31,HAUTE GARONNE,14957,9350,361,8989,2001,t2,cantonales
405,31,HAUTE GARONNE,35696,20032,1233,18799,2001,t2,cantonales
406,31,HAUTE GARONNE,23657,10740,789,9951,2001,t2,cantonales
407,32,GERS,6726,4121,210,3911,2001,t2,cantonales
408,32,GERS,7855,5695,258,5437,2001,t2,cantonales
409,32,GERS,5004,3625,161,3464,2001,t2,cantonales
410,32,GERS,4937,3072,191,2881,2001,t2,cantonales
411,32,GERS,3201,2588,98,2490,2001,t2,cantonales
412,32,GERS,2469,2124,62,2062,2001,t2,cantonales
413,32,GERS,6143,4347,228,4119,2001,t2,cantonales
