,region,social-contribution,gross-salary,year,Total
0,Auvergne-Rhône-Alpes,1611.0,16411.0,2002,7115944
1,Bourgogne-Franche-Comté,1497.0,15911.0,2002,2749892
2,Bretagne,1437.0,15161.0,2002,2981765
3,Centre-Val-de-Loire,1529.0,16178.0,2002,2472978
4,Corse,1301.0,14022.0,2002,274093
5,Grand Est,1597.0,15742.0,2002,5432715
6,Hauts-de-France,1367.0,14084.0,2002,5879893
7,Île-de-France,2146.0,20301.0,2002,11185563
8,Normandie,1465.0,15389.0,2002,3231900
9,Nouvelle-Aquitaine,1465.0,15649.0,2002,5386308
10,Occitanie,1414.0,15064.0,2002,5030703
11,Pays de la Loire,1489.0,15274.0,2002,3314649
12,Provence-Alpes-Côte d'Azur,1502.0,16121.0,2002,4629496
13,France métropolitaine,1614.0,16421.0,2002,59685899
14,DOM,485.0,10071.0,2002,1699171
15,Guadeloupe ,466.0,9768.0,2002,393024
16,Martinique ,634.0,11617.0,2002,389302
17,Guyane,464.0,8544.0,2002,176638
18,La Réunion,509.0,11367.0,2002,740207
19,Auvergne-Rhône-Alpes,1674.0,16729.0,2003,7173919
20,Bourgogne-Franche-Comté,1562.0,16278.0,2003,2756739
21,Bretagne,1495.0,15492.0,2003,3009249
22,Centre-Val-de-Loire,1594.0,16560.0,2003,2484288
23,Corse,1360.0,14448.0,2003,279027
24,Grand Est,1653.0,16003.0,2003,5446445
25,Hauts-de-France,1427.0,14422.0,2003,5887707
26,Île-de-France,2223.0,20509.0,2003,11270074
27,Normandie,1534.0,15827.0,2003,3240840
28,Nouvelle-Aquitaine,1528.0,15921.0,2003,5431745
29,Occitanie,1474.0,15325.0,2003,5099077
30,Pays de la Loire,1543.0,15551.0,2003,3347675
31,Provence-Alpes-Côte d'Azur,1573.0,16475.0,2003,4675056
32,France métropolitaine,1679.0,16720.0,2003,60101841
33,DOM,499.0,10418.0,2003,1722189
34,Guadeloupe ,487.0,10206.0,2003,394881
35,Martinique ,635.0,11995.0,2003,391676
36,Guyane,435.0,8346.0,2003,184792
37,La Réunion,540.0,11844.0,2003,750840
38,Auvergne-Rhône-Alpes,1734.0,17344.0,2004,7231833
39,Bourgogne-Franche-Comté,1623.0,16928.0,2004,2762934
40,Bretagne,1549.0,16006.0,2004,3037077
41,Centre-Val-de-Loire,1651.0,17214.0,2004,2494279
42,Corse,1418.0,14836.0,2004,283972
43,Grand Est,1717.0,16709.0,2004,5458878
44,Hauts-de-France,1480.0,14958.0,2004,5893957
45,Île-de-France,2295.0,21315.0,2004,11350290
46,Normandie,1593.0,16386.0,2004,3249220
47,Nouvelle-Aquitaine,1581.0,16498.0,2004,5476513
48,Occitanie,1523.0,15782.0,2004,5167552
49,Pays de la Loire,1595.0,16106.0,2004,3379784
50,Provence-Alpes-Côte d'Azur,1630.0,17011.0,2004,4719132
51,France métropolitaine,1739.0,17340.0,2004,60505421
52,DOM,520.0,10852.0,2004,1745641
53,Guadeloupe ,497.0,10788.0,2004,396992
54,Martinique ,661.0,12490.0,2004,393852
55,Guyane,442.0,8611.0,2004,193167
56,La Réunion,572.0,12293.0,2004,761630
57,Auvergne-Rhône-Alpes,1755.0,17750.0,2005,7295515
58,Bourgogne-Franche-Comté,1577.0,17307.0,2005,2771934
59,Bretagne,1614.0,16628.0,2005,3066585
60,Centre-Val-de-Loire,1653.0,17463.0,2005,2507246
61,Corse,1460.0,15210.0,2005,289092
62,Grand Est,1603.0,16886.0,2005,5475270
63,Hauts-de-France,1490.0,15340.0,2005,5904641
64,Île-de-France,2617.0,21458.0,2005,11442143
65,Normandie,1573.0,16776.0,2005,3259102
66,Nouvelle-Aquitaine,1657.0,17007.0,2005,5526990
67,Occitanie,1587.0,16289.0,2005,5240791
68,Pays de la Loire,1656.0,16573.0,2005,3415391
69,Provence-Alpes-Côte d'Azur,1679.0,17383.0,2005,4768564
70,France métropolitaine,1812.0,17696.0,2005,60963264
71,DOM,553.0,11335.0,2005,1767273
72,Guadeloupe ,546.0,11199.0,2005,399178
73,Martinique ,688.0,12898.0,2005,395982
74,Guyane,458.0,8952.0,2005,199206
75,La Réunion,613.0,12918.0,2005,772907
76,Auvergne-Rhône-Alpes,1881.0,18522.0,2006,7357284
77,Bourgogne-Franche-Comté,1644.0,17849.0,2006,2779461
78,Bretagne,1692.0,17505.0,2006,3094534
79,Centre-Val-de-Loire,1751.0,18213.0,2006,2519567
80,Corse,1580.0,16480.0,2006,294118
81,Grand Est,1698.0,17529.0,2006,5490092
82,Hauts-de-France,1576.0,16076.0,2006,5912999
83,Île-de-France,2792.0,21679.0,2006,11532398
84,Normandie,1662.0,17405.0,2006,3267848
85,Nouvelle-Aquitaine,1762.0,17971.0,2006,5574821
86,Occitanie,1692.0,17269.0,2006,5310966
87,Pays de la Loire,1773.0,17532.0,2006,3450413
88,Provence-Alpes-Côte d'Azur,1777.0,17880.0,2006,4815232
89,France métropolitaine,1926.0,18363.0,2006,61399733
90,DOM,589.0,11944.0,2006,1786384
91,Guadeloupe ,582.0,11986.0,2006,400736
92,Martinique ,735.0,13675.0,2006,397732
93,Guyane,558.0,9488.0,2006,205954
94,La Réunion,635.0,13513.0,2006,781962
95,Auvergne-Rhône-Alpes,1928.0,19295.0,2007,7405206
96,Bourgogne-Franche-Comté,1716.0,18764.0,2007,2792562
97,Bretagne,1724.0,18088.0,2007,3120288
98,Centre-Val-de-Loire,1774.0,18912.0,2007,2526919
99,Corse,1641.0,17336.0,2007,299209
100,Grand Est,1731.0,18190.0,2007,5506616
101,Hauts-de-France,1606.0,16752.0,2007,5922030
102,Île-de-France,2900.0,23194.0,2007,11598866
103,Normandie,1700.0,18061.0,2007,3278145
104,Nouvelle-Aquitaine,1795.0,18621.0,2007,5627671
105,Occitanie,1730.0,18001.0,2007,5371117
106,Pays de la Loire,1807.0,18175.0,2007,3482594
107,Provence-Alpes-Côte d'Azur,1809.0,18587.0,2007,4864015
108,France métropolitaine,1977.0,19216.0,2007,61795238
109,DOM,607.0,12182.0,2007,1805452
110,Guadeloupe ,619.0,11721.0,2007,400584
111,Martinique ,774.0,13875.0,2007,397730
112,Guyane,554.0,9313.0,2007,213031
113,La Réunion,642.0,14155.0,2007,794107
114,Auvergne-Rhône-Alpes,1960.0,19746.0,2008,7459092
115,Bourgogne-Franche-Comté,1723.0,18988.0,2008,2802519
116,Bretagne,1799.0,18827.0,2008,3149701
117,Centre-Val-de-Loire,1831.0,19651.0,2008,2531588
118,Corse,1687.0,18282.0,2008,302966
119,Grand Est,1769.0,18458.0,2008,5521452
120,Hauts-de-France,1648.0,17322.0,2008,5931091
121,Île-de-France,2878.0,23535.0,2008,11659260
122,Normandie,1733.0,18997.0,2008,3293092
123,Nouvelle-Aquitaine,1851.0,19111.0,2008,5671076
124,Occitanie,1816.0,18323.0,2008,5419946
125,Pays de la Loire,1783.0,18832.0,2008,3510170
126,Provence-Alpes-Côte d'Azur,1921.0,19217.0,2008,4882913
127,France métropolitaine,2013.0,19705.0,2008,62134866
128,DOM,651.0,12537.0,2008,1826993
