,gender,year,region,total_men
0,male,2002,Auvergne-Rhône-Alpes,3464799
1,male,2002,Bourgogne-Franche-Comté,1341369
2,male,2002,Bretagne,1447224
3,male,2002,Centre-Val-de-Loire,1204878
4,male,2002,Corse,133448
5,male,2002,DOM,820329
6,male,2002,France métropolitaine,28939004
7,male,2002,France métropolitaine et DOM,29759333
8,male,2002,Grand Est,2654928
9,male,2002,Guadeloupe ,186827
10,male,2002,Guyane,88372
11,male,2002,Hauts-de-France,2853417
12,male,2002,La Réunion,361981
13,male,2002,Martinique ,183149
14,male,2002,Normandie,1567057
15,male,2002,Nouvelle-Aquitaine,2600622
16,male,2002,Occitanie,2432195
17,male,2002,Pays de la Loire,1615448
18,male,2002,Provence-Alpes-Côte d'Azur,2214503
19,male,2002,Île-de-France,5409116
20,male,2003,Auvergne-Rhône-Alpes,3492239
21,male,2003,Bourgogne-Franche-Comté,1343941
22,male,2003,Bretagne,1460571
23,male,2003,Centre-Val-de-Loire,1209734
24,male,2003,Corse,135747
25,male,2003,DOM,829533
26,male,2003,France métropolitaine,29127811
27,male,2003,France métropolitaine et DOM,29957344
28,male,2003,Grand Est,2660772
29,male,2003,Guadeloupe ,187151
30,male,2003,Guyane,92273
31,male,2003,Hauts-de-France,2854849
32,male,2003,La Réunion,366374
33,male,2003,Martinique ,183735
34,male,2003,Normandie,1569796
35,male,2003,Nouvelle-Aquitaine,2621715
36,male,2003,Occitanie,2463851
37,male,2003,Pays de la Loire,1631258
38,male,2003,Provence-Alpes-Côte d'Azur,2234814
39,male,2003,Île-de-France,5448524
40,male,2004,Auvergne-Rhône-Alpes,3519883
41,male,2004,Bourgogne-Franche-Comté,1346391
42,male,2004,Bretagne,1474225
43,male,2004,Centre-Val-de-Loire,1214167
44,male,2004,Corse,138054
45,male,2004,DOM,839261
46,male,2004,France métropolitaine,29312672
47,male,2004,France métropolitaine et DOM,30151933
48,male,2004,Grand Est,2666070
49,male,2004,Guadeloupe ,187603
50,male,2004,Guyane,96300
51,male,2004,Hauts-de-France,2855930
52,male,2004,La Réunion,371055
53,male,2004,Martinique ,184303
54,male,2004,Normandie,1572491
55,male,2004,Nouvelle-Aquitaine,2642237
56,male,2004,Occitanie,2495776
57,male,2004,Pays de la Loire,1646839
58,male,2004,Provence-Alpes-Côte d'Azur,2254791
59,male,2004,Île-de-France,5485818
60,male,2005,Auvergne-Rhône-Alpes,3549211
61,male,2005,Bourgogne-Franche-Comté,1349525
62,male,2005,Bretagne,1488490
63,male,2005,Centre-Val-de-Loire,1219529
64,male,2005,Corse,140447
65,male,2005,DOM,848231
66,male,2005,France métropolitaine,29517361
67,male,2005,France métropolitaine et DOM,30365592
68,male,2005,Grand Est,2672623
69,male,2005,Guadeloupe ,188158
70,male,2005,Guyane,99223
71,male,2005,Hauts-de-France,2858868
72,male,2005,La Réunion,376009
73,male,2005,Martinique ,184841
74,male,2005,Normandie,1575674
75,male,2005,Nouvelle-Aquitaine,2665474
76,male,2005,Occitanie,2529855
77,male,2005,Pays de la Loire,1663690
78,male,2005,Provence-Alpes-Côte d'Azur,2276768
79,male,2005,Île-de-France,5527207
80,male,2006,Auvergne-Rhône-Alpes,3577680
81,male,2006,Bourgogne-Franche-Comté,1353959
82,male,2006,Bretagne,1501294
83,male,2006,Centre-Val-de-Loire,1224184
84,male,2006,Corse,143084
85,male,2006,DOM,855633
86,male,2006,France métropolitaine,29714411
87,male,2006,France métropolitaine et DOM,30570044
