Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe2,Nom2,Prénom2,Nuance2,Voix2,Sexe3,Nom3,Prénom3,Nuance3,Voix3
2,AISNE,30,SISSONNE,7208,3646,3562,249,3313,M,LEBEE,Pierre-Marie,SOC,2055,M,LORAIN,Alain,DVD,1258,,,,,0
2,AISNE,32,VAILLY-SUR-AISNE,7395,3724,3671,214,3457,M,BATTEFORT,Arnaud,SOC,1528,F,VENET,Annick,DVD,1929,,,,,0
2,AISNE,34,VERVINS,5979,2787,3192,175,3017,M,BALLIGAND,Jean-Pierre,SOC,1969,M,TAQUET,Xavier,UMP,1048,,,,,0
2,AISNE,35,VIC-SUR-AISNE,7787,3938,3849,227,3622,M,MORAUX,Jean-Luc,SOC,1970,M,REBEROT,Nicolas,UMP,1652,,,,,0
2,AISNE,39,SAINT-QUENTIN-NORD,15578,8792,6786,854,5932,M,LAVRILLEUX,Jérôme,UMP,3460,M,TOMBOIS,Eddy,FN,2472,,,,,0
3,ALLIER,2,CÉRILLY,4824,1656,3168,109,3059,F,POBEAU-POUPARD,Françoise,COM,1330,M,DERIOT,Gérard,UMP,1729,,,,,0
3,ALLIER,6,CUSSET-NORD,9230,4869,4361,409,3952,M,BARDET,René,COM,2330,M,LALOY,Jean-Sébastien,DVD,1622,,,,,0
3,ALLIER,7,DOMPIERRE-SUR-BESBRE,6796,3437,3359,159,3200,M,VERNISSE,Pascal,DVG,2180,M,GIRARD,Pierre,DVD,1020,,,,,0
3,ALLIER,10,ESCUROLLES,14929,7616,7313,502,6811,M,TRILLET,Christian,SOC,2996,M,ROZIER,Jean-Jacques,DVD,3815,,,,,0
3,ALLIER,12,HÉRISSON,6864,2833,4031,320,3711,M,ROUSSAT,Daniel,COM,2170,M,FAUREAU,Bernard,DVD,1541,,,,,0
3,ALLIER,14,JALIGNY-SUR-BESBRE,3428,1560,1868,109,1759,M,CHERASSE,Jean-Paul,SOC,1153,M,CAILLAULT,Jacques,DVD,606,,,,,0
3,ALLIER,18,LE-MAYET-DE-MONTAGNE,3785,1609,2176,199,1977,M,SZYPULA,François,DVD,1135,M,BARRAUD,Jean-Dominique,DVD,842,,,,,0
3,ALLIER,21,MONTLUÇON-OUEST,9153,5408,3745,195,3550,M,POZZOLI,Bernard,SOC,2395,M,MOMCILOVIC,Jean-Pierre,DVD,1155,,,,,0
3,ALLIER,24,MOULINS-OUEST,11086,6446,4640,277,4363,M,DENIZOT,Alain,SOC,2821,F,ROUAULT-DELISEE,Françoise,DVD,1542,,,,,0
3,ALLIER,30,VICHY-SUD,8426,5166,3260,396,2864,M,CORNE,Christian,UMP,1972,M,SALVAN,David,FN,892,,,,,0
3,ALLIER,33,YZEURE,12480,8121,4359,807,3552,M,PERRIN,Pascal,SOC,3552,,,,,0,,,,,0
3,ALLIER,35,CUSSET-SUD,10562,5182,5380,350,5030,M,CHARASSE,Gérard,RDG,3734,M,CHANNET,Gilles,FN,1296,,,,,0
4,ALPES DE HAUTE PROVENCE,4,BARCELONNETTE,5439,2533,2906,192,2714,M,GILLY,Lucien,SOC,1663,M,LANFRANCHI,Michel,UMP,1051,,,,,0
4,ALPES DE HAUTE PROVENCE,5,BARRÊME,1249,370,879,25,854,M,MOLLING,Bernard,DVG,439,M,GIBELIN,Jean-Marie,DVD,415,,,,,0
4,ALPES DE HAUTE PROVENCE,10,FORCALQUIER,10267,5561,4706,636,4070,F,MAS,Sylvie,SOC,1496,M,ECHALON,Jacques,DVG,2574,,,,,0
4,ALPES DE HAUTE PROVENCE,13,MANOSQUE-NORD,8678,4645,4033,328,3705,M,AUBERT,Roland,SOC,2437,M,D'ORNANO,Michel,FN,1268,,,,,0
4,ALPES DE HAUTE PROVENCE,18,NOYERS-SUR-JABRON,1153,323,830,25,805,M,VADOT,Pierre-Yves,SOC,466,M,JAUFFRET,Christian,UMP,339,,,,,0
4,ALPES DE HAUTE PROVENCE,20,REILLANNE,2887,1196,1691,185,1506,M,BRESSAND,Raymond,COM,728,M,POURCIN,Pierre,SOC,778,,,,,0
4,ALPES DE HAUTE PROVENCE,21,RIEZ,4163,1798,2365,138,2227,M,ZORZAN,Michel,SOC,1268,M,BIANCHI,Christophe,DVG,959,,,,,0
4,ALPES DE HAUTE PROVENCE,29,VALENSOLE,5085,2504,2581,167,2414,M,CHASPOUL,Maurice,SOC,1695,M,DIEDRICH,Jean-Claude,FN,719,,,,,0
4,ALPES DE HAUTE PROVENCE,30,VOLONNE,8491,3842,4649,300,4349,M,FIAERT,Claude,SOC,3131,M,DROUAN,Jean-Marie,FN,1218,,,,,0
4,ALPES DE HAUTE PROVENCE,32,MANOSQUE-SUD-EST,6025,2920,3105,181,2924,M,PHILIPPONNEAU,Yannick,COM,1525,M,CASTEL,Jean-Claude,UMP,1399,,,,,0
5,HAUTES ALPES,2,L'ARGENTIÈRE-LA-BESSÉE,5222,2198,3024,193,2831,M,DENIS,Pierre,RDG,1471,F,DISDIER,Marie-Noëlle,DVD,1360,,,,,0
5,HAUTES ALPES,6,BRIANÇON-NORD,3675,1943,1732,175,1557,M,FROMM,Gérard,SOC,992,M,GRYZKA,Romain,UMP,565,,,,,0
5,HAUTES ALPES,7,CHORGES,3675,1244,2431,123,2308,M,ALLARD-LATOUR,Bernard,RDG,1351,M,DURAND,Alain,UMP,957,,,,,0
5,HAUTES ALPES,13,MONÊTIER-LES-BAINS,3170,1505,1665,60,1605,M,FARDELLA,Alain,RDG,836,F,FORGEOUX-DAMARIUS,Anne-Marie,DVD,769,,,,,0
5,HAUTES ALPES,20,SAINT-FIRMIN,1658,395,1263,42,1221,M,ZECCONI,Marc,DVG,630,M,FREYNET,Alain,AUT,591,,,,,0
5,HAUTES ALPES,22,SERRES,2152,639,1513,55,1458,M,AUBERIC,André,COM,670,M,ROY,Michel,UMP,788,,,,,0
5,HAUTES ALPES,23,TALLARD,4683,1247,3436,109,3327,M,GAY-PARA,Michel,DVG,793,M,ARNAUD,Jean-Michel,UMP,1331,M,GRIMAUD,Roger,DVD,1203
5,HAUTES ALPES,26,GAP-CENTRE,5658,3179,2479,133,2346,M,EYRAUD,Jean-Claude,PG,1065,M,DIDIER,Roger,M-NC,1281,,,,,0
5,HAUTES ALPES,29,GAP-SUD-EST,6282,3693,2589,218,2371,M,JAUSSAUD,Bernard,SOC,1261,M,LISSY,Pascal,M-NC,1110,,,,,0
6,ALPES MARITIMES,5,ST-LAURENT-DU-VAR-CAGNES-EST,27153,15625,11528,983,10545,M,REVEL,Henri,UMP,5421,M,BONNIER,Sébastien,FN,5124,,,,,0
6,ALPES MARITIMES,10,GRASSE-SUD,21843,13087,8756,560,8196,M,VINCIGUERRA,Jean-Raymond,ECO,4286,M,PIBOU,Gilbert,UMP,3910,,,,,0
6,ALPES MARITIMES,12,LEVENS,15978,8635,7343,606,6737,M,FRERE,Alain,UMP,4380,M,THIERY,Jean,FN,2357,,,,,0
6,ALPES MARITIMES,16,NICE-3,21373,12097,9276,634,8642,M,VICTOR,Jacques,COM,4422,M,TIVOLI,Lionel,FN,4220,,,,,0
6,ALPES MARITIMES,18,PUGET-THÉNIERS,2673,779,1894,74,1820,F,GRILLI,Nathalie,PG,768,M,VELAY,Robert,UMP,1052,,,,,0
6,ALPES MARITIMES,25,SAINT-VALLIER-DE-THIEY,15816,8422,7394,592,6802,M,DELIA,Jean-Marc,M-NC,3848,M,COULLET,Maxime,UMP,2954,,,,,0
6,ALPES MARITIMES,29,VILLARS-SUR-VAR,2799,851,1948,124,1824,M,DANNA,Pierre-Paul,DVG,738,M,CIAIS,Roger,UMP,1086,,,,,0
6,ALPES MARITIMES,30,VILLEFRANCHE-SUR-MER,16932,9250,7682,609,7073,M,BECK,Xavier,UMP,3646,M,VESTRI,René,DVD,3427,,,,,0
6,ALPES MARITIMES,32,NICE-5,18296,10855,7441,475,6966,M,MOTTARD,Patrick,RDG,3905,M,MASCAGNI,Alexandre,FN,3061,,,,,0
6,ALPES MARITIMES,35,VALLAURIS-ANTIBES-OUEST,29352,17746,11606,1092,10514,M,GUMIEL,Alain,UMP,5877,M,DE MESMAY,Hubert,FN,4637,,,,,0
6,ALPES MARITIMES,36,MANDELIEU-CANNES-OUEST,28315,16028,12287,1017,11270,M,LEROY,Henri,UMP,6596,M,GROSJEAN,Adrien,FN,4674,,,,,0
6,ALPES MARITIMES,37,NICE-7,14915,9246,5669,532,5137,M,BAUDIN,Bernard,UMP,2820,M,VENEM,Thierry,FN,2317,,,,,0
6,ALPES MARITIMES,38,NICE-8,12987,8190,4797,394,4403,M,BETTATI,Olivier,UMP,2832,M,LIGONIE,Bruno,FN,1571,,,,,0
6,ALPES MARITIMES,40,NICE-10,20919,13264,7655,592,7063,M,ASSO,Bernard,UMP,3892,M,LEFEVRE,Jean-Philippe,FN,3171,,,,,0
6,ALPES MARITIMES,41,NICE-11,19188,11639,7549,694,6855,M,BENCHIMOL,Daniel,UMP,3551,M,PARIS,William,FN,3304,,,,,0
6,ALPES MARITIMES,42,NICE-12,12492,7421,5071,449,4622,M,KANDEL,Benoît,UMP,2660,M,COTTA,Michel,FN,1962,,,,,0
6,ALPES MARITIMES,44,NICE-14,13852,8548,5304,380,4924,M,CUTURELLO,Paul,SOC,2243,F,ESTROSI-SASSONE,Dominique,UMP,2681,,,,,0
6,ALPES MARITIMES,47,ANTIBES-CENTRE,19658,12806,6852,510,6342,M,ROUX,Georges,UMP,3851,M,GARCIA,Richard,FN,2491,,,,,0
6,ALPES MARITIMES,48,CAGNES-SUR-MER-CENTRE,18022,10638,7384,587,6797,F,BANDECCHI,Marie-José,UMP,3455,F,LARTIGUE,Monique,FN,3342,,,,,0
6,ALPES MARITIMES,51,GRASSE-NORD,15253,9518,5735,612,5123,M,VIAUD,Jérôme,UMP,3297,M,DEGIOANNI,Jean-Marc,FN,1826,,,,,0
7,ARDECHE,1,ANNONAY-NORD,13726,7910,5816,363,5453,M,LACOMBE,Denis,SOC,3039,M,ZAHM,Alain,M,2414,,,,,0
7,ARDECHE,2,ANTRAIGUES,2541,1013,1528,116,1412,M,ROUX,Robert,SOC,746,M,CHIRAUSSEL,Alain,DVG,666,,,,,0
7,ARDECHE,6,LE CHEYLARD,5297,1819,3478,117,3361,F,LAFFONT,Corine,SOC,1581,M,CHABAL,Jacques,UMP,1780,,,,,0
7,ARDECHE,9,JOYEUSE,7959,3687,4272,242,4030,M,L'HERMINIER,Raoul,SOC,2480,M,SALEL,Matthieu,M,1550,,,,,0
7,ARDECHE,10,LAMASTRE,5225,1557,3668,136,3532,M,BOSC,Philippe,MODM,1635,M,VALLON,Jean-Paul,DVD,1897,,,,,0
7,ARDECHE,12,MONTPEZAT-SOUS-BAUZON,1836,519,1317,135,1182,M,COUDENE,Patrick,M,617,M,LESPINASSE,Eric,UMP,565,,,,,0
7,ARDECHE,13,PRIVAS,14187,7318,6869,582,6287,M,SAULIGNAC,Hervé,SOC,4586,M,GRANGIS,Christian,FN,1701,,,,,0
7,ARDECHE,16,SAINT-ETIENNE-DE-LUGDARÈS,883,207,676,16,660,M,GROS,Jérôme,DVG,331,M,CHAMPEL,Marc,UMP,329,,,,,0
7,ARDECHE,17,SAINT-FÉLICIEN,3097,1111,1986,97,1889,M,BERTRAND,Michel,SOC,835,M,CHAUVIN,Jean-Paul,DVD,1054,,,,,0
7,ARDECHE,18,SAINT-MARTIN-DE-VALAMAS,2903,979,1924,78,1846,M,CHANTRE,Michel,DVG,1115,M,LE BON,Yves,DVD,731,,,,,0
7,ARDECHE,27,LES VANS,7094,2908,4186,202,3984,M,MANIFACIER,Jean-Paul,SOC,2554,M,VIGIER,Bruno,M-NC,1430,,,,,0
7,ARDECHE,30,VIVIERS,10509,4847,5662,322,5340,M,PEVERELLI,Olivier,SOC,3518,M,ARSAC,Thierry,FN,1822,,,,,0
7,ARDECHE,31,LA-VOULTE-SUR-RHÔNE,11198,6219,4979,335,4644,M,BOLOMEY,Marc,SOC,2785,M,AVOUAC,Thierry,M-NC,1859,,,,,0
7,ARDECHE,32,ANNONAY-SUD,11516,6709,4807,450,4357,M,PLENET,Simon,SOC,2673,M,SIBILLE,François,UMP,1684,,,,,0
8,ARDENNES,13,JUNIVILLE,3648,1801,1847,120,1727,M,JENIN,Bertrand,SOC,918,M,COGNIARD,Christian,DVD,809,,,,,0
8,ARDENNES,16,MONTHERMÉ,8905,4854,4051,191,3860,M,PILARDEAU,Erik,SOC,2581,M,BATAILLE,Roland,FN,1279,,,,,0
8,ARDENNES,21,RAUCOURT-ET-FLABA,2963,1210,1753,133,1620,F,DURU,Véronique,AUT,958,M,JOSEPH,Pierre,DVD,662,,,,,0
8,ARDENNES,22,RENWEZ,5940,2996,2944,234,2710,M,DRUMEL,Gérard,DVG,1715,M,THIERY,Jean-François,UMP,995,,,,,0
8,ARDENNES,23,RETHEL,9477,5338,4139,225,3914,M,JADOT,Pierre,SOC,1429,M,AFRIBO,Joseph,DVD,2485,,,,,0
8,ARDENNES,26,SEDAN-NORD,7138,4227,2911,215,2696,F,LOUIS,Rachelle,SOC,1357,F,BARON,Anne,DVD,1339,,,,,0
8,ARDENNES,27,SEDAN-EST,8904,5320,3584,301,3283,M,APOTHELOZ,Christian,SOC,1826,M,GRASMUCK,Jean-Paul,DVD,1457,,,,,0
8,ARDENNES,28,SIGNY-L'ABBAYE,3094,1420,1674,110,1564,M,TOUCHON,Baptiste,SOC,596,F,FAILLE,Elisabeth,UMP,968,,,,,0
8,ARDENNES,29,SIGNY-LE-PETIT,2779,916,1863,53,1810,F,DESCARTES,Martine,SOC,747,M,HURE,Benoît,UMP,1063,,,,,0
8,ARDENNES,31,VOUZIERS,4477,2078,2399,167,2232,M,ANCELME,Claude,SOC,1424,F,PAYEN,Françoise,DVD,808,,,,,0
9,ARIEGE,6,LE FOSSAT,4587,1857,2730,339,2391,M,COURET,Jean-Luc,SOC,1374,M,CAUHAPE,Patrick,DVG,1017,,,,,0
9,ARIEGE,7,LAVELANET,10293,4695,5598,409,5189,M,SABOY,Pierre,SOC,2659,M,SGOBBO,Gérald,M-NC,2530,,,,,0
9,ARIEGE,8,LE-MAS-D'AZIL,3450,1488,1962,179,1783,M,BERDOU,Raymond,SOC,1279,M,DOUSSIET,Claude,M-NC,504,,,,,0
9,ARIEGE,11,OUST,2736,1154,1582,77,1505,F,TEQUI,Christine,SOC,977,M,ROZES,Vincent,AUT,528,,,,,0
9,ARIEGE,12,PAMIERS-OUEST,7513,4154,3359,287,3072,F,VILAPLANA,Marie-France,SOC,1941,M,DEYMIER,Claude,DVD,1131,,,,,0
9,ARIEGE,18,TARASCON-SUR-ARIEGE,6715,1811,4904,266,4638,M,DURAN,Alain,SOC,2364,M,SUTRA,Alain,RDG,2274,,,,,0
9,ARIEGE,22,PAMIERS-EST,9669,5204,4465,411,4054,M,MONTANE,André,SOC,2716,M,LOPEZ,Hubert,DVD,1338,,,,,0
10,AUBE,2,ARCIS-SUR-AUBE,6924,3449,3475,275,3200,M,MERLIN,Jean-Marie,M-NC,1889,M,FOURNILLON,Sébastien,FN,1311,,,,,0
10,AUBE,5,BOUILLY,7839,3386,4453,136,4317,M,FERREBEUF,Francis,SOC,1513,M,MARASSE,Jean-Charles,UMP,1362,M,CIANNI,Gérard,FN,1442
10,AUBE,6,BRIENNE-LE-CHÂTEAU,5766,2414,3352,209,3143,M,DHUICQ,Nicolas,UMP,1133,M,COUTORD,Jean-Marie,DVD,2010,,,,,0
10,AUBE,9,ERVY-LE-CHÂTEL,4296,2019,2277,204,2073,M,VILLALONGA,André,SOC,1043,M,BATAILLE,Roger,UMP,1030,,,,,0
10,AUBE,11,ESTISSAC,4441,2093,2348,165,2183,M,LANGLOIS,Didier,SOC,896,M,LEPRINCE,Didier,UMP,1287,,,,,0
10,AUBE,13,MARCILLY-LE-HAYER,5088,2473,2615,192,2423,M,JUILLET,Nicolas,DVD,1593,M,TETE,Vladimir,FN,830,,,,,0
10,AUBE,15,MUSSY-SUR-SEINE,2578,1139,1439,131,1308,M,DEROIN,Alain,M-NC,446,M,PETIT DE BANTEL,Henri,DVD,862,,,,,0
10,AUBE,16,NOGENT-SUR-SEINE,7546,3981,3565,285,3280,M,ANCELIN,Gérard,UMP,1963,M,LUCQUIN,Frédéric,FN,1317,,,,,0
10,AUBE,18,RAMERUPT,2863,1213,1650,116,1534,M,BEAURIEUX,Gérard,UMP,713,M,BERNIER,Guy,DVD,821,,,,,0
10,AUBE,23,TROYES-2,10037,5679,4358,273,4085,M,RAGUIN,Jacky,UMP,2607,M,SUBTIL,Bruno,FN,1478,,,,,0
10,AUBE,24,TROYES-3,8022,5277,2745,265,2480,F,PHILIPPON,Elisabeth,UMP,1690,M,ROCHE,André,FN,790,,,,,0
10,AUBE,26,VILLENAUXE-LA-GRANDE,2844,1325,1519,116,1403,M,DHAM,Christophe,DVD,938,M,GUICHARD,Pierre,FN,465,,,,,0
10,AUBE,27,ROMILLY-SUR-SEINE-2,6812,3922,2890,208,2682,M,TRICHE,Joë,COM,1639,F,COMMENIL,Marie-Annick,UMP,1043,,,,,0
10,AUBE,30,TROYES-5,5079,3285,1794,125,1669,F,COUSIN,Virginie,VEC,724,F,BERTAIL,Sibylle,UMP,945,,,,,0
10,AUBE,32,TROYES-7,10910,6693,4217,341,3876,F,BRULEFERT,Olivia,SOC,1770,M,RIGAUD,Jacques,UMP,2106,,,,,0
10,AUBE,33,LA-CHAPELLE-SAINT-LUC,5966,3515,2451,201,2250,F,PAUTRAS,Marie-Françoise,COM,1484,M,JEANSON,Eric,FN,766,,,,,0
11,AUDE,1,ALAIGNE,3880,1356,2524,171,2353,M,DURAND,Jacques,SOC,1461,M,TANNEAU,Gilles,AUT,892,,,,,0
11,AUDE,5,BELPECH,1709,607,1102,117,985,M,ARMENGAUD,Pierre,AUT,478,M,MARIO,Julien,UMP,507,,,,,0
11,AUDE,7,CARCASSONNE-1,13945,6818,7127,564,6563,F,RIVEL,Tamara,SOC,3859,M,MORIO,Robert,FN,2704,,,,,0
11,AUDE,9,CASTELNAUDARY-NORD,7078,3288,3790,496,3294,M,OURLIAC,Roger,SOC,1609,M,LINOU,Stéphane,VEC,1685,,,,,0
11,AUDE,11,CHALABRE,2523,722,1801,84,1717,M,ROSICH,Roger,SOC,809,M,AULOMBARD,Jean-Jacques,AUT,908,,,,,0
11,AUDE,14,COURSAN,20092,9448,10644,898,9746,M,PLA,Gilbert,COM,5826,M,DESMOUDT,Gérard,FN,3920,,,,,0
11,AUDE,15,DURBAN-CORBIÈRES,3199,995,2204,125,2079,F,AMIGOU,Fabienne,SOC,884,M,BRISSOT,Eric,AUT,1195,,,,,0
11,AUDE,18,LAGRASSE,2633,884,1749,49,1700,M,LEPINE,Serge,COM,366,M,MAISONNADE,Jean-Pierre,SOC,760,M,TAUDOU,Bernard,AUT,574
11,AUDE,19,LÉZIGNAN-CORBIÈRES,15285,6387,8898,619,8279,M,ESCARE,Jules,SOC,5421,M,OLIVIER,Philippe,FN,2858,,,,,0
11,AUDE,21,MAS-CABARDÈS,1876,544,1332,106,1226,M,GERI,Daniel,COM,545,M,BELS,Francis,SOC,681,,,,,0
11,AUDE,24,NARBONNE-EST,14387,7653,6734,639,6095,M,FRANCOIS,Patrick,SOC,3501,M,NADAL,Jean-Pierre,FN,2594,,,,,0
11,AUDE,25,PEYRIAC-MINERVOIS,9619,3908,5711,431,5280,M,GINIES,Alain,SOC,3280,M,DESTREM,Pierre,UMP,2000,,,,,0
11,AUDE,35,CARCASSONNE II-SUD,6300,3210,3090,225,2865,M,TARLIER,Alain,SOC,1675,M,GUILLAUME,Grégory,FN,1190,,,,,0
12,AVEYRON,3,BOZOULS,5597,2387,3210,124,3086,M,CARRIERE,Philippe,RDG,1358,M,LALLE,Jean-Michel,UMP,1728,,,,,0
12,AVEYRON,11,ENTRAYGUES-SUR-TRUYÈRE,2154,763,1391,86,1305,M,SERIEYS,Guilhem,PG,482,M,ALBESPY,Jean-François,DVD,823,,,,,0
12,AVEYRON,14,LAGUIOLE,1999,520,1479,115,1364,M,ALAZARD,Vincent,DVD,815,M,CHAUFFOUR,Joseph,DVD,549,,,,,0
12,AVEYRON,19,MUR-DE-BARREZ,2568,550,2018,24,1994,M,TARRISSE,Daniel,SOC,1065,M,MIQUEL,Pierre,DVD,929,,,,,0
12,AVEYRON,21,NANT,2776,735,2041,118,1923,M,SAQUET,Bernard,SOC,863,M,GALLIARD,Jean-Francois,DVD,1060,,,,,0
12,AVEYRON,28,RODEZ-EST,9276,4819,4457,241,4216,M,BULTEL,Stéphane,SOC,2011,M,SAULES,Bernard,DVD,2205,,,,,0
12,AVEYRON,29,SAINT-AFFRIQUE,9540,3655,5885,471,5414,M,MALET,Jean-Luc,SOC,3370,M,DAVID,Sébastien,DVD,2044,,,,,0
12,AVEYRON,42,VILLEFRANCHE-DE-ROUERGUE,12755,5548,7207,239,6968,M,CANTOURNET,Eric,RDG,3818,M,ROQUES,Serge,UMP,3150,,,,,0
12,AVEYRON,44,MILLAU-OUEST,14031,6868,7163,592,6571,M,GONZALES,Jean Dominique,SOC,3318,M,RAMONDENC,Philippe,DVD,3253,,,,,0
13,BOUCHES DU RHONE,2,AIX-EN-PROVENCE-SUD-OUEST,46456,29801,16655,1329,15326,M,GUINDE,André,SOC,8472,M,DAGORNE,Robert,M-NC,6854,,,,,0
13,BOUCHES DU RHONE,4,ARLES-OUEST,17786,9575,8211,389,7822,M,SCHIAVETTI,Hervé,COM,5314,M,LIMONTA,Jean-Louis,FN,2508,,,,,0
13,BOUCHES DU RHONE,6,BERRE-L'ETANG,23510,12716,10794,630,10164,M,MARTINET,Mario,SOC,5975,M,GERIN,Gérald,FN,4189,,,,,0
13,BOUCHES DU RHONE,8,LA CIOTAT,29928,16981,12947,1690,11257,M,BORE,Patrick,UMP,6599,M,FARINA,Yann,FN,4658,,,,,0
13,BOUCHES DU RHONE,9,EYGUIÈRES,17727,9315,8412,487,7925,M,CONTE,Daniel,SOC,4887,M,DELCROIX,José,FN,3038,,,,,0
13,BOUCHES DU RHONE,12,LAMBESC,20228,10121,10107,652,9455,M,GERARD,Jacky,SOC,6502,M,DOREAU,Alex,FN,2953,,,,,0
13,BOUCHES DU RHONE,14,MARSEILLE-NOTRE-DAME-DU-MONT,16960,10931,6029,876,5153,F,BIAGGI,Solange,UMP,3341,F,BARDE,Mireille,FN,1812,,,,,0
