Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe2,Nom2,Prénom2,Nuance2,Voix2,Sexe3,Nom3,Prénom3,Nuance3,Voix3
1,AIN,2,BÂGÉ-LE-CHÂTEL,10638,5768,4870,327,4543,M,CLERE,Daniel,DVG,2013,M,BILLOUDET,Guy,DVD,2530,,,,,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,10657,6118,4539,204,4335,M,LARMANJAT,Guy,SOC,2964,M,FILLION,Jean-Pierre,AUT,1371,,,,,0
1,AIN,4,BELLEY,12238,5832,6406,384,6022,M,FOGNINI,Jean-Marc,SOC,3186,M,TRAVERS,Jean Claude,DVD,2836,,,,,0
1,AIN,10,CHÂTILLON-SUR-CHALARONNE,12550,7239,5311,317,4994,M,CHAFFURIN,Nicolas,SOC,2124,M,CLAYETTE,Yves,UMP,2870,,,,,0
1,AIN,11,COLIGNY,5032,2010,3022,140,2882,M,GESTAS,Alain,DVG,1565,M,BERNADAC,Jean,UMP,1317,,,,,0
1,AIN,13,FERNEY-VOLTAIRE,16768,10742,6026,248,5778,M,LAURENSON,Jean-Paul,DVG,3110,F,BOCH,Jocelyne,UMP,2668,,,,,0
1,AIN,15,HAUTEVILLE-LOMPNES,3559,1708,1851,70,1781,M,RABUT,Jacques,DVG,985,M,STEYAERT,Frank,DVD,796,,,,,0
1,AIN,18,LHUIS,4087,1869,2218,111,2107,M,BEGUET,Daniel,DVG,1108,M,ROMEGGIO,René,DVD,999,,,,,0
1,AIN,20,MONTLUEL,14103,7932,6171,288,5883,M,BERNARD,Jacky,SOC,2801,F,BOUCHARD,Danielle,DVD,3082,,,,,0
1,AIN,22,NANTUA,7607,4257,3350,258,3092,M,DEGUERRY,Jean,DVD,1858,M,PELLEGRINI,Bruno,DVD,1234,,,,,0
1,AIN,24,PONCIN,4914,2429,2485,197,2288,M,CHABRY,Jean,AUT,1335,M,GIROUX,Jean-Michel,UMP,953,,,,,0
1,AIN,25,PONT-D'AIN,9152,5075,4077,259,3818,M,FONDRAZ,Serge,DVG,2265,M,FERRY,André,DVD,1553,,,,,0
1,AIN,27,PONT-DE-VEYLE,8943,4551,4392,254,4138,M,GREFFET,Christophe,SOC,2441,M,CHAPPELON,Yves-Augustin,UMP,1697,,,,,0
1,AIN,31,SEYSSEL,4111,2113,1998,98,1900,M,BERARDI,Christophe,SOC,1029,M,DESBOS,Michel,DVD,871,,,,,0
1,AIN,32,THOISSEY,10190,5790,4400,308,4092,M,PHILIPPON,André,DVG,2619,F,PERRIN,Nadine,FN,1473,,,,,0
1,AIN,34,TRÉVOUX,11852,7210,4642,240,4402,M,ROUSSET,Patrick,DVG,2550,M,PECHOUX,Marc,UMP,1852,,,,,0
1,AIN,35,VILLARS-LES-DOMBES,6725,3928,2797,179,2618,M,FAVERJON,Georges,DVG,1463,M,BERNIGAUD,Roland,M-NC,1155,,,,,0
1,AIN,36,VIRIEU-LE-GRAND,3248,1446,1802,98,1704,F,GUILLON,Pascale,DVG,1037,F,MICHALLET,Eliane,UMP,667,,,,,0
1,AIN,39,PÉRONNAS,9942,5452,4490,145,4345,M,QUIVET,Bernard,SOC,1879,M,CHANEL,Christian,DVD,2466,,,,,0
1,AIN,40,MIRIBEL,14225,8833,5392,304,5088,M,GOUBET,Pierre,DVG,2906,F,TERRIER,Caroline,UMP,2182,,,,,0
1,AIN,43,VIRIAT,12216,5636,6580,185,6395,M,NALLET,Jacques,DVG,3096,M,PERRET,Bernard,DVD,3299,,,,,0
2,AISNE,1,ANIZY-LE-CHÂTEAU,7470,3751,3719,247,3472,M,COUNOT,Daniel,DVG,2382,M,JAHRLING,Gerhard,FN,1090,,,,,0
2,AISNE,3,BOHAIN-EN-VERMANDOIS,9831,4943,4888,377,4511,M,COLLET,Michel,SOC,2926,M,NAIN,José,FN,1585,,,,,0
2,AISNE,4,BRAINE,8175,4110,4065,228,3837,M,TEMPLIER,Ernest,DVD,2559,M,FACCINI,Christophe,FN,1278,,,,,0
2,AISNE,8,CHÂTEAU-THIERRY,19797,10416,9381,818,8563,M,KRABAL,Jacques,RDG,5697,M,PADIEU,Dominique,FN,2866,,,,,0
2,AISNE,12,CRAONNE,4099,1810,2289,141,2148,M,GENTEUR,Noël,DVG,1276,M,RAVERDY,Thierry,M,872,,,,,0
2,AISNE,15,FÈRE-EN-TARDENOIS,6537,3194,3343,340,3003,F,VASSEUR,Isabelle,UMP,1628,F,CHEVET,Mireille,FN,1375,,,,,0
2,AISNE,18,LAON-NORD,10281,5605,4676,284,4392,M,KARIMET,Fawaz,SOC,3332,M,DE CARPENTIER,Baudouin,FN,1060,,,,,0
2,AISNE,21,NEUFCHÂTEL-SUR-AISNE,7014,3811,3203,237,2966,M,TIMMERMAN,Philippe,DVD,1827,F,BEAUVILLAIN,Simone,FN,1139,,,,,0
2,AISNE,23,LE-NOUVION-EN-THIÉRACHE,4814,2123,2691,159,2532,M,THOMAS,Thierry,SOC,1354,F,CAIL,Roselyne,DVD,1178,,,,,0
2,AISNE,28,SAINT-QUENTIN-CENTRE,11987,7066,4921,622,4299,F,BLERIOT,Colette,UMP,2641,M,LEJEUNE,Yannick,FN,1658,,,,,0
