Résultats des cantonales 2011 2nd tour (27 mars 2011)

citation : Résultats des élections cantonales second tour du 27/03/2011, cdsp_cant2011t2_canton.xls [fichier informatique], Ministère de l'Intérieur [producteur], Centre de Données Socio-Politiques [diffuseur], Janvier 2012.

Nuances :
EXG	Extrême gauche
COM	Communiste
PG	Parti de Gauche
SOC	Socialiste
RDG	Radical de Gauche
DVG	Divers gauche
VEC	Europe Ecologie / Les Verts
ECO	Ecologiste
REG	Régionaliste
AUT	Autres
MODM	MoDem
M-NC	Majorité présidentielle
M	Autres candidats majorité présidentielle
UMP	Union pour un Mouvement Populaire
DVD	Divers droite
FN	Front National
EXD	Extrême droite

