Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,taux de participation (%),Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe 02,Nom 02,Prenom 02,Nuance 02,Voix 02,Sexe 03,Nom 03,Prenom 03,Nuance 03,Voix 03,Sexe 04,Nom 04,Prenom 04,Nuance 04,Voix 04,Sexe 05,Nom 05,Prenom 05,Nuance 05,Voix 05,Sexe 06,Nom 06,Prenom 06,Nuance 06,Voix 06,Sexe 07,Nom 07,Prenom 07,Nuance 07,Voix 07,Sexe 08,Nom 08,Prenom 08,Nuance 08,Voix 08,Sexe 09,Nom 09,Prenom 09,Nuance 09,Voix 09,Sexe 10,Nom 10,Prenom 10,Nuance 10,Voix 10,Sexe 11,Nom 11,Prenom 11,Nuance 11,Voix 11
1,AIN,19,MEXIMIEUX,13947,5162,8785,"62,99",212,8573,M,MARCOU,Claude,UMP,3050,M,CAVET,Arnaud,SOC,2112,M,PELLETIER,Jean-Alex,DVD,1768,M,BOUCHARD,Patrick,FN,844,F,GUERIN,Brigitte,VEC,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,21,MONTREVEL-EN-BRESSE,11038,3461,7577,"68,64",278,7299,M,ROCHE,Jean-Pierre,DVG,2860,M,GALLET,Gérard,UMP,2432,M,THETE,Patrice,UDFD,1015,F,FAVRE ,Maryse,ECO,436,M,BENOIT ,Morgan,FN,394,M,HENNEBERT,Jacques,COM,162,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,23,OYONNAX-NORD,10265,4335,5930,"57,77",167,5763,M,TACHDJIAN,Alexandre,UMP,2916,F,FERRI,Mylène,COM,920,M,GOBET,Jacques,DVD,807,F,GOUHAUT,Christiane ,FN,484,M,CHERGUI,Toufik,UDFD,400,F,ROBERT-WYSS,Bernadette,VEC,236,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,26,PONT-DE-VAUX,6497,2189,4308,"66,31",498,3810,M,GUILLERMIN,Henri,UMP,3202,M,JOURDAN,Richard,FN,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,28,SAINT-RAMBERT-EN-BUGEY,3753,1096,2657,"70,8",92,2565,M,BOUCHON,Gilbert,DVG,1294,M,MARQUIS,Jean-Claude,DVD,871,M,MARINO-MORABITO,Antonio,COM,212,M,CHEVALLIER,Fabrice,FN,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,30,SAINT-TRIVIER-SUR-MOIGNANS,9888,3669,6219,"62,89",249,5970,F,GONNU,Christine,SOC,2023,M,EYRAUD,Benoît,UMP,1917,M,LANIER,Marcel,M-NC,769,M,COLOVRAY,Gilbert,FN,613,M,FAVRE,Bernard,ECO,420,M,THETE,Paul,COM,228,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,33,TREFFORT-CUISIAT,5860,1750,4110,"70,14",106,4004,M,PERRON,Denis,DVG,2356,M,COLLET,Christian,UMP,999,M,LAPORTE,Georges,ECO,417,M,LARGE,Thibaut,FN,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,37,BOURG-EN-BRESSE-NORD-CENTRE,6727,2727,4000,"59,46",108,3892,M,FEILLENS,Christophe,UMP,1689,M,LACROIX,Guillaume,RDG,1548,M,DEVOLDER,Frantz,UDFD,262,M,BORGO,Pascal,COM,227,F,CATHERIN,Marie Lucienne,FN,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,38,BOURG-EN-BRESSE-SUD,7501,3010,4491,"59,87",158,4333,M,RODET,Jean-Paul,SOC,2349,F,BOZON,Françoise,UMP,1734,F,GIMENEZ,Lydie,COM,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,41,OYONNAX-SUD,10332,4418,5914,"57,24",145,5769,M,PERRAUD,Michel,DVD,2892,M,PUPUNAT,Franck,SOC,1754,M,BERTHOUX,Pierre,DVD,712,M,DUBOUCHET,Gilbert,FN,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,42,REYRIEUX,15016,5225,9791,"65,2",226,9565,M,EYRAUD,Olivier,UMP,4397,M,BERTHAUD,Charles,DVG,3285,M,MICHAUD,Pierre,VEC,1071,M,DE LACHEISSERIE,Jean-Loup,FN,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,2,AUBENTON,2611,383,2228,"85,33",81,2147,M,NOE,Bernard,DVD,1145,M,MANTEAU,Gérard,SOC,439,M,RENAUD,Jean-Guy,DVD,230,F,DEVAUX,Françoise,COM,183,M,CHABOT,Pierre,FN,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,6,LE CATELET,6228,1300,4928,"79,13",206,4722,M,FROMENT,Raymond,COM,2384,M,LECLERE,Marcel,DVD,1852,M,LUISETTI,Jean-Jacques,FN,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,7,CHARLY,9863,3316,6547,"66,38",196,6351,M,FOURRE,Georges,DVG,3672,M,ROBERT,Denis,UMP,2043,M,CHEVET,Gilles,FN,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,10,CONDE-EN-BRIE,6418,1811,4607,"71,78",197,4410,M,MANGIN,Eric,UMP,2444,M,JACQUIN,Claude,DVG,934,F,CHEVET,Mireille,FN,578,M,LEFORT,Bernard,COM,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,11,COUCY-LE-CHATEAU-AUFFRIQUE,8599,2339,6260,"72,8",254,6006,M,DUMONT,Jean-Claude,COM,3827,M,SIMON,Jean-Serge,DVD,1058,M,DALL'ARA,Xavier,FN,653,M,DELFORGE-PONCE,Alban,UDFD,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,13,CRECY-SUR-SERRE,5625,1127,4498,"79,96",196,4302,M,RONSIN,Bernard,DVD,1981,M,WATTIER,Jean-Michel,SOC,1205,M,TELLIER,Hervé,DVG,845,M,PAWLOWSKI,Jacques,FN,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,14,LA FERE,8425,2705,5720,"67,89",237,5483,M,MATHIEU,Frédéric,DVG,1432,M,DENEUVILLE,Raymond,DVD,1309,M,DEGOUY,Michel,UMP,1127,M,CHANTEREAUX,Alain,SOC,1097,M,ROUX,Jean-Louis,FN,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,16,GUISE,7721,1957,5764,"74,65",268,5496,M,CUVELIER,Daniel,SOC,3226,M,LACOMBLEZ,Christian,UMP,1573,F,LEBRAND,Angélique,FN,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,17,HIRSON,14219,4646,9573,"67,33",321,9252,M,THOMAS,Jean-Jacques,SOC,4920,M,HEUEL,Marc-Antoine,DVD,2921,F,DEVAUX,Ginette,COM,755,F,FOURNIER,Anne-Marie,FN,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,20,MOY-DE-L'AISNE,6112,1335,4777,"78,16",209,4568,M,MARTIN,Frédéric,SOC,1557,M,VANSTEENBERGHE,Vincent,DVD,1150,M,ANTHONY,Stéphan,DVG,885,M,BETEMS,Alain,AUT,657,M,PHOYU,Arnaud,FN,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,22,NEUILLY-SAINT-FRONT,7174,2112,5062,"70,56",231,4831,M,RIGAUD,André,DVD,2369,M,LHERMITTE,André,SOC,1440,M,PADIEU,Dominique,FN,674,M,RAFFANEL,Michel,COM,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,24,OULCHY-LE-CHATEAU,4146,1010,3136,"75,64",366,2770,M,MUZART,Hervé,UMP,2025,F,HENROTTE,Elisabeth,FN,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
