Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe2,Nom2,Prénom2,Nuance2,Voix2,Sexe3,Nom3,Prénom3,Nuance3,Voix3,Sexe4,Nom4,Prénom4,Nuance4,Voix4,Sexe5,Nom5,Prénom5,Nuance5,Voix5,Sexe6,Nom6,Prénom6,Nuance6,Voix6,Sexe7,Nom7,Prénom7,Nuance7,Voix7,Sexe8,Nom8,Prénom8,Nuance8,Voix8,Sexe9,Nom9,Prénom9,Nuance9,Voix9,Sexe10,Nom10,Prénom10,Nuance10,Voix10,Sexe11,Nom11,Prénom11,Nuance11,Voix11,Sexe12,Nom12,Prénom12,Nuance12,Voix12,Sexe13,Nom13,Prénom13,Nuance13,Voix13
1,AIN,24,PONCIN,4914,2267,2647,25,2622,M,VUAILLAT,Jacques,COM,93,M,BILLET,Jean Marie,DVG,290,M,CAGNAC,Jacques,VEC,358,M,CHABRY,Jean,AUT,779,M,GIROUX,Jean-Michel,UMP,623,M,BATAILLY,Christian,DVD,154,F,BAUDRAT,Annick,FN,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,25,PONT-D'AIN,9152,4991,4161,74,4087,F,FAVIER,Noëlle,COM,227,M,FONDRAZ,Serge,DVG,1389,M,MONGHAL,Frédéric,VEC,422,M,FERRY,André,DVD,1116,F,MICHAUD,Anne-Marie,FN,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,27,PONT-DE-VEYLE,8943,4588,4355,95,4260,M,THETE,Paul,COM,77,M,GREFFET,Christophe,SOC,1957,F,VICET,Michèle,VEC,306,M,CHAPPELON,Yves-Augustin,UMP,1236,M,CANCIAN,Gilles,FN,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,29,SAINT-TRIVIER-DE-COURTES,4219,2036,2183,28,2155,M,CHOSSAT,Gilbert,COM,82,M,PEISSON,Gilles,SOC,361,M,DUCAROY,Sylvestre,VEC,145,M,MOREL,Armel,DVD,1248,M,LINARI,Rudy,FN,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,31,SEYSSEL,4111,2261,1850,22,1828,M,PLANCHE,Alain,COM,68,M,BERARDI,Christophe,SOC,493,M,BACHELET,Yvon,DVG,129,M,COUX,Emmanuel,VEC,173,M,DESBOS,Michel,DVD,447,M,THIBOUD,Bernard,DVD,215,M,RISSE,Hervé,FN,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,32,THOISSEY,10187,6003,4184,82,4102,F,BLANCHET,Marinette,COM,112,M,PHILIPPON,André,DVG,1603,M,FORESTIER,Jean-Christian,UMP,820,M,DESCHIZEAUX,Jean Claude,DVD,647,F,PERRIN,Nadine,FN,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,34,TRÉVOUX,11852,7300,4552,64,4488,M,DESCOLLONGES,Daniel,COM,179,M,ROUSSET,Patrick,DVG,1597,F,SIVADE,Marie-Laure,VEC,538,M,PECHOUX,Marc,UMP,1144,M,ROBIN,Thierry,FN,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,35,VILLARS-LES-DOMBES,6725,3811,2914,45,2869,M,NALLET,Albert,COM,73,M,FAVERJON,Georges,DVG,1133,F,COQUE,Bernadette,VEC,204,M,BERNIGAUD,Roland,M-NC,798,M,JOURDAN,Richard,FN,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,36,VIRIEU-LE-GRAND,3248,1394,1854,27,1827,M,MOISSET,Yves,COM,51,F,GUILLON,Pascale,DVG,449,F,GARNIER,Simone,DVG,317,M,MERIC,Jean-Claude,VEC,191,F,MICHALLET,Eliane,UMP,377,M,RAMON,Michel,DVD,149,M,BUISSON,Jérôme,FN,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,39,PÉRONNAS,9942,5650,4292,93,4199,M,BLATRIX,Daniel,COM,147,M,QUIVET,Bernard,SOC,1395,M,ROUX,Jean-Luc,VEC,415,M,CHANEL,Christian,DVD,2055,M,BERODIER,Arnaud,DVD,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,40,MIRIBEL,14225,8783,5442,64,5378,M,CORGIER,Guy,COM,225,M,GOUBET,Pierre,DVG,1921,M,NOUVELOT,Bertrand,VEC,656,F,TERRIER,Caroline,UMP,1460,M,BOUCHARD,Patrick,FN,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,43,VIRIAT,12216,6156,6060,84,5976,M,TESORIELLI,Olivier,PG,235,M,NALLET,Jacques,DVG,2407,M,PERRET,Bernard,DVD,2617,M,CHEVREL,Anthony,FN,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,1,ANIZY-LE-CHÂTEAU,7466,3925,3541,81,3460,M,ROGER,Benoît,COM,347,M,COUNOT,Daniel,DVG,1440,M,GADRET,Guénolé,ECO,608,M,ROHAT,Nicolas,UMP,372,M,JAHRLING,Gerhard,FN,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,3,BOHAIN-EN-VERMANDOIS,9831,5067,4764,156,4608,M,BLANDIN,Paul,COM,537,M,COLLET,Michel,SOC,2057,M,LANDA,William,M,919,M,NAIN,José,FN,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,4,BRAINE,8175,4111,4064,83,3981,M,ROBERT,Fabrice,RDG,561,M,LEJEUNE,Alain,DVG,270,M,RAMPELBERG,François,M,577,M,TEMPLIER,Ernest,DVD,1654,M,FACCINI,Christophe,FN,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,5,LA CAPELLE,6170,3157,3013,122,2891,M,QUEVAL,Bernard,PG,390,M,COLPIN,Didier,DVG,204,M,MEURA,Frédéric,UMP,1608,F,FRECHT,Françoise,FN,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,8,CHÂTEAU-THIERRY,19797,10982,8815,232,8583,M,COPIN,Christian,COM,680,M,KRABAL,Jacques,RDG,3010,M,JOURDAIN,Dominique,VEC,1802,F,YONNET,Frédérique,UMP,1212,M,PADIEU,Dominique,FN,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,9,CHAUNY,17080,9529,7551,169,7382,M,LANOUILH,Jean-Luc,COM,4542,M,KOSCIELNIAK,Jean,UMP,856,F,PIETRE,Evelyne,FN,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,12,CRAONNE,4105,1846,2259,57,2202,M,GENTEUR,Noël,DVG,1012,M,DAGRY,Gérard,DVG,237,M,RAVERDY,Thierry,M,544,M,AGOUTIN,Jean-Pierre,FN,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,15,FÈRE-EN-TARDENOIS,6537,3289,3248,72,3176,F,POTIN,Marie-Jeanne,PG,452,M,LENOBLE,Pierre,SOC,380,M,HOUSSEAUX,Gérald,VEC,240,F,VASSEUR,Isabelle,UMP,1131,F,CHEVET,Mireille,FN,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,18,LAON-NORD,10281,5782,4499,116,4383,F,ALLUCHON,Laurianne,COM,350,M,KARIMET,Fawaz,SOC,2461,M,HAOUASS,Habib,UMP,763,M,DE CARPENTIER,Baudouin,FN,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,19,MARLE,5301,2176,3125,219,2906,M,BESSE,Patrick,COM,514,M,DAUDIGNY,Yves,SOC,1602,F,PALVADEAU,Séverine,FN,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,21,NEUFCHÂTEL-SUR-AISNE,7014,3856,3158,87,3071,M,MEJEAN,Gérard,RDG,846,M,TIMMERMAN,Philippe,DVD,1354,F,BEAUVILLAIN,Simone,FN,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,23,LE-NOUVION-EN-THIÉRACHE,4814,2212,2602,63,2539,M,GOBEAUT,Michel,COM,84,M,THOMAS,Thierry,SOC,992,M,PETIAU,Eric,UMP,449,F,CAIL,Roselyne,DVD,528,F,FOURNIER,Anne-Marie,FN,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,25,RIBEMONT,6375,3064,3311,94,3217,M,POTELET,Michel,SOC,1820,M,CAPLIN,Emmanuel,UMP,618,M,ROUX,Jean-Louis,FN,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,27,SAINS-RICHAUMONT,3328,1169,2159,71,2088,M,LEFEVRE,Michel,SOC,1074,F,DOUCY,Béatrice,M,606,M,CHABOT,Pierre,FN,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,28,SAINT-QUENTIN-CENTRE,11987,7283,4704,129,4575,M,TOURNAY,Olivier,COM,304,M,ANDURAND,Stéphane,SOC,1046,M,WARGNIER,Daniel,ECO,157,M,MONNOYER,Stéphane,MODM,210,F,BLERIOT,Colette,UMP,1695,M,LEJEUNE,Yannick,FN,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,30,SISSONNE,7207,3560,3647,101,3546,M,LOIZON,Willy,COM,231,M,LEBEE,Pierre-Marie,SOC,1569,M,LORAIN,Alain,DVD,987,F,KIWADE,Viviane,FN,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,32,VAILLY-SUR-AISNE,7395,3659,3736,76,3660,M,GRELOT,Claude,COM,265,M,BATTEFORT,Arnaud,SOC,1056,F,VENET,Annick,DVD,1507,M,GOSSET,Dominique,FN,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,33,VERMAND,7325,3454,3871,143,3728,M,LEFEVRE,Thierry,DVG,1962,M,JOSSE,Philippe,UMP,843,F,PLONQUET,Christiane,FN,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,34,VERVINS,5979,2775,3204,73,3131,F,COLPIN,Chantal,PG,192,M,BALLIGAND,Jean-Pierre,SOC,1534,M,MEURICE,José,ECO,117,M,TAQUET,Xavier,UMP,690,M,FONTAINE,André,FN,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,35,VIC-SUR-AISNE,7776,4045,3731,105,3626,F,VAN-TREECK,Sarah,COM,146,M,LESTRAT,Jacques,PG,180,M,MORAUX,Jean-Luc,SOC,1252,M,REBEROT,Nicolas,UMP,1096,M,BLANDIN,Jacky,FN,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,39,SAINT-QUENTIN-NORD,15578,8974,6604,209,6395,M,AURIGNY,Michel,EXG,215,F,LE MEUR,Maria,COM,412,F,BERLEMONT,Carole,SOC,1503,M,DAUMONT,Jean-Philippe,VEC,349,M,RIBEIRO,Antonio,M-NC,178,M,LAVRILLEUX,Jérôme,UMP,2079,M,TOMBOIS,Eddy,FN,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,1,BOURBON-L'ARCHAMBAULT,4824,2127,2697,219,2478,M,MAZUEL,Gilles,COM,1465,M,POUSSET,Alain,SOC,254,M,BOUREUX,François,VEC,226,M,GUILLAUMIN,Jean-Marie,ECO,165,M,JACCAUD,Thierry,ECO,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,2,CÉRILLY,4824,1977,2847,123,2724,F,POBEAU-POUPARD,Françoise,COM,804,M,GAUBERT,Alain,SOC,566,M,DERIOT,Gérard,UMP,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,3,CHANTELLE,4188,1905,2283,91,2192,F,BOULARD,Corinne,SOC,441,M,DOCHEZ,François,VEC,329,M,BIDAUD,André,DVD,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,6,CUSSET-NORD,9230,5031,4199,144,4055,M,BARDET,René,COM,1061,F,CHERVET-TEIXEIRA,Nathalie,SOC,394,M,DAUBERNARD,Jacques,RDG,380,M,CHEGUT,Jean-Yves,DVG,771,M,LALOY,Jean-Sébastien,DVD,800,F,FLEUR,Jeanne,FN,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,7,DOMPIERRE-SUR-BESBRE,6796,3344,3452,121,3331,M,FLEURY,Roland,SOC,1019,M,VERNISSE,Pascal,DVG,1404,M,GIRARD,Pierre,DVD,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,10,ESCUROLLES,14932,7861,7071,169,6902,M,GACON,Michel,COM,538,M,TRILLET,Christian,SOC,1348,M,MAZAL,Raymond,DVG,379,F,BABIAN-LHERMET,Anne,VEC,665,M,HOUBE,Pierre,M-NC,310,M,ROZIER,Jean-Jacques,DVD,2427,M,LESAGE,Jean-Pierre,FN,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,12,HÉRISSON,6864,2925,3939,141,3798,M,ROUSSAT,Daniel,COM,1280,M,BOULADE,Serge,SOC,798,M,JUMEAU,Daniel,VEC,281,F,DE NICOLAY,Marie,DVD,525,M,FAUREAU,Bernard,DVD,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,14,JALIGNY-SUR-BESBRE,3428,1587,1841,87,1754,M,MATHIEU,Robert,COM,110,M,CHERASSE,Jean-Paul,SOC,771,M,PUJOS,Henri,DVG,358,M,LEVASSEUR,Philippe,VEC,107,M,MERELLE,Philippe,M-NC,38,M,CAILLAULT,Jacques,DVD,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,17,MARCILLAT-EN-COMBRAILLE,4819,2334,2485,87,2398,M,MOTHET,Pierre,COM,260,M,MAIRE,Patrick,SOC,449,M,DIALLO,Abdou,RDG,176,F,GAGNEPAIN,Nicole,VEC,197,M,DELAIRE,Nicolas,MODM,51,M,CHITO,Christian,DVD,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,18,LE-MAYET-DE-MONTAGNE,3786,1600,2186,79,2107,M,MATICHARD,Guy,SOC,195,M,BATUT,Paul,RDG,242,M,TERRACOL,Jacques,DVG,83,M,BERTRAND,Philippe,VEC,181,M,BARRAUD,Jean-Dominique,DVD,548,M,SZYPULA,François,DVD,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,19,LE MONTET,3831,1355,2476,97,2379,F,LACARIN,Marie-Françoise,COM,1251,M,DORSIT,Jean-Luc,SOC,144,M,SIMON,Yves,DVD,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,21,MONTLUÇON-OUEST,9153,5466,3687,156,3531,M,MORET,Jean-Paul,EXG,72,M,CASILLA,René,EXG,165,M,RADY,Hicham,COM,414,M,POZZOLI,Bernard,SOC,1697,M,MOMCILOVIC,Jean-Pierre,DVD,1032,M,TAILLANDIER,Bernard,DVD,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,24,MOULINS-OUEST,11086,6587,4499,161,4338,M,LARTIGAU,Gilbert,COM,629,M,DENIZOT,Alain,SOC,1826,M,ROUAULT,Bernard,VEC,386,F,ROUAULT-DELISEE,Françoise,DVD,1105,M,TAILLANDIER,Bernard,EXD,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,27,SOUVIGNY,4984,2143,2841,84,2757,M,DUFREGNE,Jean-Paul,COM,1881,M,ETIENNE,Jean-Marc,SOC,150,F,GARDIEN,Isabelle,UMP,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,30,VICHY-SUD,8426,5138,3288,65,3223,M,GAGNIERE,Pierre,SOC,528,M,POMMERAY,Christophe,RDG,390,M,LECA,André,DVG,333,M,RONDEPIERRE,Daniel,VEC,224,M,CARCASSIN,Jean-Marc,M-NC,67,M,CORNE,Christian,UMP,1115,M,SALVAN,David,FN,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,33,YZEURE,12480,6552,5928,162,5766,M,CABANNE,Jacques,COM,1264,M,PERRIN,Pascal,SOC,2565,M,MATICHARD,Gérard,VEC,413,M,TALON,Joël,DVD,880,M,BERTRAND,Michel,FN,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,34,DOMÉRAT-MONTLUÇON-NORD-OUEST,8889,4782,4107,174,3933,F,HALM,Christiane,EXG,130,F,AURAT,Virginie,COM,702,M,MALBET,Marc,SOC,2483,M,GAULTIER,Gérard,DVD,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,35,CUSSET-SUD,10562,5505,5057,179,4878,M,THIN,Georges,COM,329,F,EYMARD,Nicole,SOC,703,M,CHARASSE,Gérard,RDG,2086,M,HERNANDEZ,Jean-Claude,VEC,350,M,SENNEPIN,François,DVD,582,M,CHANNET,Gilles,FN,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,2,ANNOT,1957,594,1363,45,1318,M,DROGOUL-SPANU,David,PG,190,M,RIGAULT,Philippe,DVD,454,M,BALLESTER,Jean,DVD,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,3,BANON,2455,878,1577,46,1531,M,CUISSON,Thierry,PG,112,M,ADRIAN,Jean-Louis,SOC,1254,M,COLOMBU,Rémi,FN,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,4,BARCELONNETTE,5440,2719,2721,107,2614,M,LEMAIRE,Gilles,COM,264,M,GILLY,Lucien,SOC,1202,M,LANFRANCHI,Michel,UMP,791,M,REGORD,Hervé,FN,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,5,BARRÊME,1240,403,837,17,820,F,TAVERNIER,Sonia,COM,62,M,MOLLING,Bernard,DVG,318,M,GIBELIN,Jean-Marie,DVD,371,M,VIDAL,Robert,FN,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,6,CASTELLANE,2061,787,1274,112,1162,M,DESGRANGES,Alain,COM,56,M,SAUVAN,Gilbert,SOC,970,M,AUBLIGINE,Boris,VEC,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,10,FORCALQUIER,10266,5050,5216,115,5101,F,JOLLIVET,Béatrice,EXG,401,F,MAS,Sylvie,SOC,959,M,ECHALON,Jacques,DVG,1470,F,LEY,Marie-Noëlle,VEC,649,F,LEFORT,Bernadette,UMP,688,F,REGORD,Virginie,FN,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,11,LA JAVIE,1604,623,981,75,906,F,LAURENT,Andrée,PG,87,M,ROUX,Jean-Yves,SOC,654,M,POULAIN,Henry,VEC,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,13,MANOSQUE-NORD,8679,4913,3766,95,3671,M,VILLENEUVE,Daniel,COM,278,M,AUBERT,Roland,SOC,1164,F,BERTHONNECHE,Catherine,VEC,456,M,ARNAUD,Claude,AUT,57,M,ANTIQ,Pascal,UMP,685,M,RAYMONDO,Laurent,DVD,205,M,CHUISANO,Noël,DVD,38,M,D'ORNANO,Michel,FN,788,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,15,MÉZEL,1724,603,1121,57,1064,M,PONCE,Olivier,COM,163,M,LAURENS,André,SOC,630,M,LUCAS,Christophe,VEC,150,M,RAMOS,Pierre,AUT,22,F,TEBAR,Joëlle,M-NC,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,18,NOYERS-SUR-JABRON,1153,328,825,4,821,M,JOUVEAU,Norbert,PG,31,M,VADOT,Pierre-Yves,SOC,375,M,WATT,Michel,VEC,76,M,CROUVIZIER,Jean-Paul,AUT,45,M,JAUFFRET,Christian,UMP,250,M,PIERRE,Henri,FN,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,20,REILLANNE,2887,1066,1821,61,1760,M,BRESSAND,Raymond,COM,479,M,POURCIN,Pierre,SOC,512,M,MENEGAZZI,Georges,VEC,165,M,BAUMEL,Gérard,UMP,334,M,DURBEC,Stéphane,FN,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,21,RIEZ,4163,1677,2486,58,2428,M,BATUT,Alain,COM,143,M,ZORZAN,Michel,SOC,916,M,BIANCHI,Christophe,DVG,538,M,ESPITALIER,Jacques,VEC,281,M,BIGLIA,Robert,DVD,162,F,DEVERLY,Antonia,FN,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,22,SAINT-ANDRÉ-LES-ALPES,1420,516,904,18,886,M,VALLET,Dominique,COM,87,M,DOMEIZEL,Claude,SOC,225,M,BOETTI,Jacques,UMP,449,M,CHUYEN,Stéphane,FN,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,29,VALENSOLE,5085,2580,2505,60,2445,M,BEC,Philippe,COM,383,M,CHASPOUL,Maurice,SOC,1128,F,CARAT,Christiane,UMP,394,M,DIEDRICH,Jean-Claude,FN,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
