Code département,Département,Code canton,Canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Sexe 01,Nom 01,Prenom 01,Nuance 01,Voix 01,Sexe2,Nom2,Prénom2,Nuance2,Voix2,Sexe3,Nom3,Prénom3,Nuance3,Voix3,Sexe4,Nom4,Prénom4,Nuance4,Voix4,Sexe5,Nom5,Prénom5,Nuance5,Voix5,Sexe6,Nom6,Prénom6,Nuance6,Voix6,Sexe7,Nom7,Prénom7,Nuance7,Voix7,Sexe8,Nom8,Prénom8,Nuance8,Voix8,Sexe9,Nom9,Prénom9,Nuance9,Voix9,Sexe10,Nom10,Prénom10,Nuance10,Voix10,Sexe11,Nom11,Prénom11,Nuance11,Voix11,Sexe12,Nom12,Prénom12,Nuance12,Voix12,Sexe13,Nom13,Prénom13,Nuance13,Voix13
1,AIN,2,BÂGÉ-LE-CHÂTEL,10638,5712,4926,117,4809,M,MONTERRAT,Dominique,PG,119,M,CLERE,Daniel,DVG,1169,M,BRETON,Michel,VEC,390,M,PAQUELIER,François,AUT,562,M,BILLOUDET,Guy,DVD,1791,F,CATHERIN,Marie-Lucienne,FN,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,3,BELLEGARDE-SUR-VALSERINE,10657,5974,4683,57,4626,M,BLOCH,Jean-Sébastien,COM,188,M,LARMANJAT,Guy,SOC,2174,F,PERROUD,Brigitte,VEC,185,M,FILLION,Jean-Pierre,AUT,795,M,DE SOUZA,Michel,UMP,448,M,MULTIN,Roland,DVD,205,M,SOKOLOWSKI,Patrick,FN,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,4,BELLEY,12238,6042,6196,118,6078,M,THOUMINE,Yves,COM,362,M,FOGNINI,Jean-Marc,SOC,1736,M,PASQUALIN,Alain,VEC,473,M,BETTANT,Gérard,DVD,1251,M,TRAVERS,Jean Claude,DVD,1306,M,POLI,Olivier,FN,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,10,CHÂTILLON-SUR-CHALARONNE,12550,7140,5410,116,5294,F,BONNET,Pascale,COM,140,M,CHAFFURIN,Nicolas,SOC,1452,F,PIGUET-LACROIX,Karine,VEC,463,M,CLAYETTE,Yves,UMP,2153,F,BOISSON,Nicole,FN,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,11,COLIGNY,5032,2280,2752,52,2700,M,CHOSSAT,Martial,PG,74,M,GESTAS,Alain,DVG,1066,M,LELONG,Alexandre,VEC,240,M,BERNADAC,Jean,UMP,966,M,PRIEUR,Yves,FN,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,13,FERNEY-VOLTAIRE,16774,10767,6007,92,5915,M,DARVES,Jacques,COM,127,M,BERTRAND,Hubert,RDG,759,M,LAURENSON,Jean-Paul,DVG,1266,M,LOOSLI,Peter,VEC,948,F,BOCH,Jocelyne,UMP,1714,F,CHENU-DURAFOUR,Michelle,DVD,325,M,PLANQUE-BONINI,Eric,FN,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,15,HAUTEVILLE-LOMPNES,3560,1796,1764,68,1696,F,COCHARD,Françoise,COM,479,M,RABUT,Jacques,DVG,563,M,STEYAERT,Frank,DVD,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,18,LHUIS,4087,2004,2083,50,2033,F,PHILIPPE,Katia,COM,93,M,BABOLAT,Gilbert,SOC,410,M,BEGUET,Daniel,DVG,521,M,ROMEGGIO,René,DVD,713,M,COMMERE,Jean-Pierre,FN,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,20,MONTLUEL,14103,8250,5853,74,5779,M,BELTHIER,Albert,COM,223,M,BERNARD,Jacky,SOC,1775,M,MALLET,Laurent,VEC,528,F,BOUCHARD,Danielle,DVD,1817,F,DE LACHEISSERIE,Nicole,FN,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,22,NANTUA,7608,4003,3605,41,3564,M,MONNIER,Jean-Pierre,COM,110,M,DRUT,Nicolas,SOC,411,M,CHAMBOLLE,Florian,VEC,237,M,DEGUERRY,Jean,DVD,1312,M,PELLEGRINI,Bruno,DVD,875,M,NOBLET,Gaëtan,FN,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
