Résultats des présidentielles par circonscription 2012 1er tour (22 avril 2012)

citation : Résultats de l'élection présidentielle française premier tour du 22/04/2012 par circonscription, cdsp_presi2012t1_circ.xls [fichier informatique], Ministère de l'Intérieur [producteur], Centre de Données Socio-politiques [diffuseur], avril 2012.

577 circonscriptions

Candidat	Sigle	Parti
Nathalie ARTHAUD	LO	Lutte Ouvrière
Philippe POUTOU	NPA	Nouveau Parti Anticapitaliste
Jean-Luc MELENCHON	FG	Front de Gauche
François HOLLANDE	PS	Parti Socialiste
Eva JOLY	EELV	Europe Ecologie Les Verts
François BAYROU	MODEM	Mouvement Démocrate
Nicolas SARKOZY	UMP	Union pour un Mouvement Populaire
Nicolas DUPONT-AIGNAN	DLR	Debout La République
Marine LE PEN	FN	Front National
Jacques Cheminade	SP	Solidarité et Progrès

