region,year,election,Votants,Inscrits,social-contribution,gross-salary,Total,Metric
Auvergne-Rhône-Alpes,2002,legislative,2796920.0,4493882.5,1611.0,16411.0,7115944,Salary
Auvergne-Rhône-Alpes,2002,presidential,3609544.0,4650467.0,1611.0,16411.0,7115944,Salary
Auvergne-Rhône-Alpes,2004,cantonales,1444151.0,2242130.0,1734.0,17344.0,7231833,Salary
Auvergne-Rhône-Alpes,2007,legislative,2634939.5,4422235.5,1928.0,19295.0,7405206,Salary
Auvergne-Rhône-Alpes,2007,presidential,5259116.0,6124008.5,1928.0,19295.0,7405206,Salary
Auvergne-Rhône-Alpes,2008,cantonales,1243923.5,2059676.0,1960.0,19746.0,7459092,Salary
Auvergne-Rhône-Alpes,2011,cantonales,1058998.0,2445975.0,1998.0,20370.0,7634223,Salary
Auvergne-Rhône-Alpes,2012,legislative,2961681.5,5156120.0,2086.0,20448.0,7695264,Salary
Auvergne-Rhône-Alpes,2012,presidential,4310287.0,5228178.5,2086.0,20448.0,7695264,Salary
Bourgogne-Franche-Comté,2002,legislative,1167137.5,1822838.0,1497.0,15911.0,2749892,Salary
Bourgogne-Franche-Comté,2002,presidential,1493588.5,1915027.0,1497.0,15911.0,2749892,Salary
Bourgogne-Franche-Comté,2004,cantonales,553150.0,832054.5,1623.0,16928.0,2762934,Salary
Bourgogne-Franche-Comté,2007,legislative,1106818.0,1791768.0,1716.0,18764.0,2792562,Salary
Bourgogne-Franche-Comté,2007,presidential,2492149.0,2924731.5,1716.0,18764.0,2792562,Salary
Bourgogne-Franche-Comté,2008,cantonales,525989.0,816237.5,1723.0,18988.0,2802519,Salary
Bourgogne-Franche-Comté,2011,cantonales,426448.5,872438.0,1754.0,19823.0,2816174,Salary
Bourgogne-Franche-Comté,2012,legislative,1203823.5,1998315.5,1824.0,19695.0,2816814,Salary
Bourgogne-Franche-Comté,2012,presidential,1642599.5,1997794.0,1824.0,19695.0,2816814,Salary
Bretagne,2002,legislative,1342192.5,2002782.5,1437.0,15161.0,2981765,Salary
Bretagne,2002,presidential,1724891.0,2181668.5,1437.0,15161.0,2981765,Salary
Bretagne,2004,cantonales,704037.5,1035763.0,1549.0,16006.0,3037077,Salary
Bretagne,2007,legislative,1466103.0,2263472.0,1724.0,18088.0,3120288,Salary
Bretagne,2007,presidential,3004688.0,3425389.5,1724.0,18088.0,3120288,Salary
Bretagne,2008,cantonales,619843.0,938094.0,1799.0,18827.0,3149701,Salary
Bretagne,2011,cantonales,509443.0,1112427.5,1839.0,19493.0,3217767,Salary
Bretagne,2012,legislative,1455364.0,2382639.0,1902.0,19453.0,3237097,Salary
Bretagne,2012,presidential,2017890.0,2380430.0,1902.0,19453.0,3237097,Salary
Centre-Val-de-Loire,2002,legislative,893893.5,1396878.5,1529.0,16178.0,2472978,Salary
Centre-Val-de-Loire,2002,presidential,1112325.0,1427806.5,1529.0,16178.0,2472978,Salary
Centre-Val-de-Loire,2004,cantonales,411165.0,633408.0,1651.0,17214.0,2494279,Salary
Centre-Val-de-Loire,2007,legislative,889603.0,1446260.5,1774.0,18912.0,2526919,Salary
Centre-Val-de-Loire,2007,presidential,1814145.5,2129771.5,1774.0,18912.0,2526919,Salary
Centre-Val-de-Loire,2008,cantonales,393235.5,622503.0,1831.0,19651.0,2531588,Salary
Centre-Val-de-Loire,2011,cantonales,314045.0,681513.0,1849.0,20136.0,2556835,Salary
Centre-Val-de-Loire,2012,legislative,889629.0,1504352.0,1918.0,20004.0,2563586,Salary
Centre-Val-de-Loire,2012,presidential,1233978.0,1503696.5,1918.0,20004.0,2563586,Salary
Corse,2002,legislative,118907.0,191402.0,1301.0,14022.0,274093,Salary
Corse,2002,presidential,120887.0,191286.0,1301.0,14022.0,274093,Salary
Corse,2004,cantonales,53555.0,70616.5,1418.0,14836.0,283972,Salary
Corse,2007,legislative,118302.0,181478.5,1641.0,17336.0,299209,Salary
Corse,2007,presidential,318054.0,412823.0,1641.0,17336.0,299209,Salary
Corse,2008,cantonales,62057.5,81540.0,1687.0,18282.0,302966,Salary
Corse,2011,cantonales,48385.5,74477.0,1714.0,18831.0,314486,Salary
Corse,2012,legislative,134148.5,220114.0,1868.0,19126.0,316257,Salary
Corse,2012,presidential,165911.0,220332.0,1868.0,19126.0,316257,Salary
DOM,2002,legislative,147302.0,291783.5,485.0,10071.0,1699171,Salary
DOM,2002,presidential,153230.5,291784.0,485.0,10071.0,1699171,Salary
DOM,2007,legislative,191732.0,326553.0,607.0,12182.0,1805452,Salary
DOM,2007,presidential,264500.0,409847.5,607.0,12182.0,1805452,Salary
DOM,2012,legislative,188728.0,366336.5,919.0,13949.0,1865270,Salary
DOM,2012,presidential,207242.5,366056.0,919.0,13949.0,1865270,Salary
Grand Est,2002,legislative,1927956.0,3344771.0,1597.0,15742.0,5432715,Salary
