Code région,Région,Code département,Département,Circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation,Nuance 1,Prénom candidat 1,Nom candidat 1,Liste 1,Nombre de voix 1,Nuance 2,Prénom candidat 2,Nom candidat 2,Liste 2,Nombre de voix 2,Nuance 3,Prénom candidat 3,Nom candidat 3,Liste 3,Nombre de voix 3,Nuance 4,Prénom candidat 4,Nom candidat 4,Liste 4,Nombre de voix 4
82,RHONE-ALPES,1,AIN,1,86874,44422,42757,1665,"51,13",SOC-autreG,JEAN-JACK,QUEYRANNE,"LISTE DE RASSEMBLEMENT DE LA GAUCHE ET DES ECOLOGISTES (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",21835,UMP,FRANCOISE,GROSSETETE,"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",14972,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES ET NOS PROVINCES,5950,,,,,
82,RHONE-ALPES,1,AIN,2,92620,43478,41982,1496,"46,94",SOC-autreG,JEAN-JACK,QUEYRANNE,"LISTE DE RASSEMBLEMENT DE LA GAUCHE ET DES ECOLOGISTES (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",19188,UMP,FRANCOISE,GROSSETETE,"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",14487,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES ET NOS PROVINCES,8307,,,,,
82,RHONE-ALPES,1,AIN,3,87556,40736,39200,1536,"46,53",SOC-autreG,JEAN-JACK,QUEYRANNE,"LISTE DE RASSEMBLEMENT DE LA GAUCHE ET DES ECOLOGISTES (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",19263,UMP,FRANCOISE,GROSSETETE,"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",14045,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES ET NOS PROVINCES,5892,,,,,
82,RHONE-ALPES,1,AIN,4,111374,54206,52240,1966,"48,67",SOC-autreG,JEAN-JACK,QUEYRANNE,"LISTE DE RASSEMBLEMENT DE LA GAUCHE ET DES ECOLOGISTES (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",23014,UMP,FRANCOISE,GROSSETETE,"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",20044,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES ET NOS PROVINCES,9182,,,,,
22,PICARDIE,2,AISNE,1,71705,36513,35090,1423,"50,92",SOC-autreG,CLAUDE,GEWERC,"AVEC LA GAUCHE ET LES ECOLOGISTES RASSEMBLES POUR LA PICARDIE LISTE PRESENTEE PAR LE PARTI SOCIALISTE, EUROPE ECOLOGIE, INITIATIVE DEMOCRATIQUE DE GAUCHE, LE MOUVEMENT REPUBLICAIN ET CITOYEN, LE MOUVEMENT UNITAIRE ET PROGRESSISTE ET LE PARTI RADICAL DE  (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE)",18508,UMP,CAROLINE,CAYEUX,"ENVIE DE PICARDIE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",10499,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE ET LE PEUPLE FRANCAIS ! CONDUITE PAR MICHEL GUINIOT,6083,,,,,
22,PICARDIE,2,AISNE,2,73344,39257,37461,1796,"53,52",SOC-autreG,CLAUDE,GEWERC,"AVEC LA GAUCHE ET LES ECOLOGISTES RASSEMBLES POUR LA PICARDIE LISTE PRESENTEE PAR LE PARTI SOCIALISTE, EUROPE ECOLOGIE, INITIATIVE DEMOCRATIQUE DE GAUCHE, LE MOUVEMENT REPUBLICAIN ET CITOYEN, LE MOUVEMENT UNITAIRE ET PROGRESSISTE ET LE PARTI RADICAL DE  (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE)",18218,UMP,CAROLINE,CAYEUX,"ENVIE DE PICARDIE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",12188,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE ET LE PEUPLE FRANCAIS ! CONDUITE PAR MICHEL GUINIOT,7055,,,,,
22,PICARDIE,2,AISNE,3,71130,36651,34758,1893,"51,53",SOC-autreG,CLAUDE,GEWERC,"AVEC LA GAUCHE ET LES ECOLOGISTES RASSEMBLES POUR LA PICARDIE LISTE PRESENTEE PAR LE PARTI SOCIALISTE, EUROPE ECOLOGIE, INITIATIVE DEMOCRATIQUE DE GAUCHE, LE MOUVEMENT REPUBLICAIN ET CITOYEN, LE MOUVEMENT UNITAIRE ET PROGRESSISTE ET LE PARTI RADICAL DE  (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE)",16539,UMP,CAROLINE,CAYEUX,"ENVIE DE PICARDIE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",10987,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE ET LE PEUPLE FRANCAIS ! CONDUITE PAR MICHEL GUINIOT,7232,,,,,
22,PICARDIE,2,AISNE,4,78293,37199,35785,1414,"47,51",SOC-autreG,CLAUDE,GEWERC,"AVEC LA GAUCHE ET LES ECOLOGISTES RASSEMBLES POUR LA PICARDIE LISTE PRESENTEE PAR LE PARTI SOCIALISTE, EUROPE ECOLOGIE, INITIATIVE DEMOCRATIQUE DE GAUCHE, LE MOUVEMENT REPUBLICAIN ET CITOYEN, LE MOUVEMENT UNITAIRE ET PROGRESSISTE ET LE PARTI RADICAL DE  (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE)",18295,UMP,CAROLINE,CAYEUX,"ENVIE DE PICARDIE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",10043,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE ET LE PEUPLE FRANCAIS ! CONDUITE PAR MICHEL GUINIOT,7447,,,,,
22,PICARDIE,2,AISNE,5,79839,38891,37175,1716,"48,71",SOC-autreG,CLAUDE,GEWERC,"AVEC LA GAUCHE ET LES ECOLOGISTES RASSEMBLES POUR LA PICARDIE LISTE PRESENTEE PAR LE PARTI SOCIALISTE, EUROPE ECOLOGIE, INITIATIVE DEMOCRATIQUE DE GAUCHE, LE MOUVEMENT REPUBLICAIN ET CITOYEN, LE MOUVEMENT UNITAIRE ET PROGRESSISTE ET LE PARTI RADICAL DE  (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE)",16966,UMP,CAROLINE,CAYEUX,"ENVIE DE PICARDIE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",12047,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE ET LE PEUPLE FRANCAIS ! CONDUITE PAR MICHEL GUINIOT,8162,,,,,
83,AUVERGNE,3,ALLIER,1,57484,30315,28482,1833,"52,74",SOC,RENE,SOUCHON,"RASSEMBLEMENT POUR L'AUVERGNE JUSTE ET SOLIDAIRE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE, FRONT DE GAUCHE)",17750,UMP,ALAIN,MARLEIX,"UNION POUR LE RENOUVEAU DE L'AUVERGNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",10732,,,,,,,,,,
83,AUVERGNE,3,ALLIER,2,65645,35737,33924,1813,"54,44",SOC,RENE,SOUCHON,"RASSEMBLEMENT POUR L'AUVERGNE JUSTE ET SOLIDAIRE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE, FRONT DE GAUCHE)",20520,UMP,ALAIN,MARLEIX,"UNION POUR LE RENOUVEAU DE L'AUVERGNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",13404,,,,,,,,,,
83,AUVERGNE,3,ALLIER,3,69404,40118,37701,2417,"57,8",SOC,RENE,SOUCHON,"RASSEMBLEMENT POUR L'AUVERGNE JUSTE ET SOLIDAIRE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE, FRONT DE GAUCHE)",22719,UMP,ALAIN,MARLEIX,"UNION POUR LE RENOUVEAU DE L'AUVERGNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",14982,,,,,,,,,,
83,AUVERGNE,3,ALLIER,4,63965,33426,31137,2289,"52,26",SOC,RENE,SOUCHON,"RASSEMBLEMENT POUR L'AUVERGNE JUSTE ET SOLIDAIRE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, AUTRE GAUCHE, FRONT DE GAUCHE)",17125,UMP,ALAIN,MARLEIX,"UNION POUR LE RENOUVEAU DE L'AUVERGNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",14012,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,4,ALPES-DE-HAUTE-PROVENCE,1,58879,34658,33137,1521,"58,86",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",18081,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",9139,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,5917,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,4,ALPES-DE-HAUTE-PROVENCE,2,61769,35538,34203,1335,"57,53",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",18035,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",10484,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,5684,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,5,HAUTES-ALPES,1,58563,33344,31782,1562,"56,94",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",17072,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",9695,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,5015,,,,,
