Code région,Région,Code département,Département,Circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation,Nuance 1,Prénom candidat 1,Nom candidat 1,Liste 1,Nombre de voix 1,Nuance 2,Prénom candidat 2,Nom candidat 2,Liste 2,Nombre de voix 2,Nuance 3,Prénom candidat 3,Nom candidat 3,Liste 3,Nombre de voix 3,Nuance 4,Prénom candidat 4,Nom candidat 4,Liste 4,Nombre de voix 4
93,PROVENCE-ALPES-COTE D'AZUR,5,HAUTES-ALPES,2,46150,26144,25235,909,"56,65",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",13669,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",8423,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,3143,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,1,58233,29852,28981,871,"51,26",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",12058,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",9740,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,7183,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,2,61863,30955,30098,857,"50,04",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",11366,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",11696,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,7036,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,3,70018,35164,34211,953,"50,22",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",12981,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",12553,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,8677,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,4,73017,36158,34794,1364,"49,52",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",12470,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",13404,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,8920,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,5,87962,48225,46687,1538,"54,82",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",18950,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",15878,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,11859,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,6,108207,54322,52519,1803,"50,2",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",19120,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",20443,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,12956,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,7,99150,49623,48134,1489,"50,05",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",18296,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",19849,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,9989,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,8,66928,33314,32474,840,"49,78",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",10258,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",14587,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,7629,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,9,108917,54836,53354,1482,"50,35",SOC-autreG,MICHEL,VAUZELLE,"MICHEL VAUZELLE, NOTRE REGION RASSEMBLEE, SOLIDAIRE ET ECOLOGIQUE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",21210,UMP,THIERRY,MARIANI,"LA FRANCE CHANGE, MA REGION DOIT CHANGER AUSSI (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",20249,FN,JEAN-MARIE ,LE PEN,LISTE FRONT NATIONAL,11895,,,,,
82,RHONE-ALPES,7,ARDECHE,1,75070,40773,38982,1791,"54,31",SOC-autreG,JEAN-JACK,QUEYRANNE,"LISTE DE RASSEMBLEMENT DE LA GAUCHE ET DES ECOLOGISTES (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",22281,UMP,FRANCOISE,GROSSETETE,"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",10426,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES ET NOS PROVINCES,6275,,,,,
82,RHONE-ALPES,7,ARDECHE,2,88929,48303,46335,1968,"54,32",SOC-autreG,JEAN-JACK,QUEYRANNE,"LISTE DE RASSEMBLEMENT DE LA GAUCHE ET DES ECOLOGISTES (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",23471,UMP,FRANCOISE,GROSSETETE,"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",16341,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES ET NOS PROVINCES,6523,,,,,
82,RHONE-ALPES,7,ARDECHE,3,74353,43065,41145,1920,"57,92",SOC-autreG,JEAN-JACK,QUEYRANNE,"LISTE DE RASSEMBLEMENT DE LA GAUCHE ET DES ECOLOGISTES (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",22338,UMP,FRANCOISE,GROSSETETE,"AUJOURD'HUI ET DEMAIN, ENSEMBLE POUR RHONE-ALPES. (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",13056,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES ET NOS PROVINCES,5751,,,,,
21,CHAMPAGNE-ARDENNE,8,ARDENNES,1,72603,36825,35383,1442,"50,72",SOC-COM-autreG,JEAN-PAUL,BACHY,"AVEC JEAN-PAUL BACHY, LA GAUCHE RASSEMBLEE EN ACTION (TETE DE LISTE PS, LISTE PS, PC, MRC, EUROPE ECOLOGIE, DIVERS GAUCHE)",16690,UMP,JEAN-LUC,WARSMANN,"UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",13230,FN,BRUNO,SUBTIL,LISTE FRONT NATIONAL - LES FRANCAIS D'ABORD ,5463,,,,,
21,CHAMPAGNE-ARDENNE,8,ARDENNES,2,65334,30838,29636,1202,"47,2",SOC-COM-autreG,JEAN-PAUL,BACHY,"AVEC JEAN-PAUL BACHY, LA GAUCHE RASSEMBLEE EN ACTION (TETE DE LISTE PS, LISTE PS, PC, MRC, EUROPE ECOLOGIE, DIVERS GAUCHE)",16232,UMP,JEAN-LUC,WARSMANN,"UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",8578,FN,BRUNO,SUBTIL,LISTE FRONT NATIONAL - LES FRANCAIS D'ABORD ,4826,,,,,
21,CHAMPAGNE-ARDENNE,8,ARDENNES,3,58471,32256,31213,1043,"55,17",SOC-COM-autreG,JEAN-PAUL,BACHY,"AVEC JEAN-PAUL BACHY, LA GAUCHE RASSEMBLEE EN ACTION (TETE DE LISTE PS, LISTE PS, PC, MRC, EUROPE ECOLOGIE, DIVERS GAUCHE)",13529,UMP,JEAN-LUC,WARSMANN,"UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",13976,FN,BRUNO,SUBTIL,LISTE FRONT NATIONAL - LES FRANCAIS D'ABORD ,3708,,,,,
73,MIDI-PYRENEES,9,ARIEGE,1,56061,30514,27841,2673,"54,43",SOC-autreG,MARTIN,MALVY,"POUR VOUS, UNE REGION RASSEMBLEE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",21032,UMP,BRIGITTE,BAREGES,"BRIGITTE BAREGES OSONS MIDI-PYRENEES (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",6809,,,,,,,,,,
73,MIDI-PYRENEES,9,ARIEGE,2,58450,32342,29961,2381,"55,33",SOC-autreG,MARTIN,MALVY,"POUR VOUS, UNE REGION RASSEMBLEE (TETE DE LISTE PS, LISTE PS, EUROPE ECOLOGIE, MRC, FRONT DE GAUCHE, AUTRE GAUCHE)",21075,UMP,BRIGITTE,BAREGES,"BRIGITTE BAREGES OSONS MIDI-PYRENEES (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",8886,,,,,,,,,,
21,CHAMPAGNE-ARDENNE,10,AUBE,1,56804,29021,27577,1444,"51,09",SOC-COM-autreG,JEAN-PAUL,BACHY,"AVEC JEAN-PAUL BACHY, LA GAUCHE RASSEMBLEE EN ACTION (TETE DE LISTE PS, LISTE PS, PC, MRC, EUROPE ECOLOGIE, DIVERS GAUCHE)",10712,UMP,JEAN-LUC,WARSMANN,"UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",11233,FN,BRUNO,SUBTIL,LISTE FRONT NATIONAL - LES FRANCAIS D'ABORD ,5632,,,,,
21,CHAMPAGNE-ARDENNE,10,AUBE,2,71983,36769,35273,1496,"51,08",SOC-COM-autreG,JEAN-PAUL,BACHY,"AVEC JEAN-PAUL BACHY, LA GAUCHE RASSEMBLEE EN ACTION (TETE DE LISTE PS, LISTE PS, PC, MRC, EUROPE ECOLOGIE, DIVERS GAUCHE)",14894,UMP,JEAN-LUC,WARSMANN,"UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",13848,FN,BRUNO,SUBTIL,LISTE FRONT NATIONAL - LES FRANCAIS D'ABORD ,6531,,,,,
21,CHAMPAGNE-ARDENNE,10,AUBE,3,72484,35325,33771,1554,"48,73",SOC-COM-autreG,JEAN-PAUL,BACHY,"AVEC JEAN-PAUL BACHY, LA GAUCHE RASSEMBLEE EN ACTION (TETE DE LISTE PS, LISTE PS, PC, MRC, EUROPE ECOLOGIE, DIVERS GAUCHE)",15122,UMP,JEAN-LUC,WARSMANN,"UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",12333,FN,BRUNO,SUBTIL,LISTE FRONT NATIONAL - LES FRANCAIS D'ABORD ,6316,,,,,
