Numéro de département,Département,Numéro de commune,Nom de commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Divers gauche,Génération écologie,Verts,UDF/RPR,Divers droite,Front national,Extrême droite,Régionalistes,Catégoriel
1,AIN,4,Ambérieu-en-Bugey,6486,3990,3799,0,475,467,270,269,354,1086,178,649,0,0,51
1,AIN,33,Bellegarde-sur-Valserine,5866,3529,3311,0,288,589,145,198,240,1224,69,511,0,0,47
1,AIN,53,Bourg-en-Bresse,21278,13390,12861,0,650,2165,1059,796,1235,4405,637,1643,0,0,271
1,AIN,283,Oyonnax,10580,6257,5964,0,506,578,322,354,415,2050,193,1317,0,0,229
2,AISNE,168,Château-Thierry,9099,5991,5705,78,598,1253,125,385,442,1882,66,745,0,0,131
2,AISNE,173,Chauny,8183,5379,5097,243,494,406,1296,245,370,1237,28,633,0,0,145
2,AISNE,381,Hirson,7311,4661,4374,58,664,786,84,200,491,1423,35,490,0,0,143
2,AISNE,408,Laon,16063,10311,9849,273,583,2062,299,581,1039,3681,79,976,0,0,276
2,AISNE,691,Saint-Quentin,36944,23713,22237,592,3025,3173,495,1619,2016,7277,154,3090,0,0,796
2,AISNE,722,Soissons,17085,10192,9823,168,768,1722,446,733,773,3485,72,1421,0,0,235
2,AISNE,738,Tergnier,10691,7272,6876,640,722,2218,179,354,486,1208,31,764,0,0,274
3,ALLIER,95,Cusset,9969,6626,6113,0,1259,1002,0,380,461,1763,300,731,0,0,217
3,ALLIER,185,Montluçon,30425,19467,18256,0,5215,2363,0,1293,808,5460,720,1688,0,0,709
3,ALLIER,190,Moulins,14468,8784,8316,0,1115,1519,0,557,518,2703,832,832,0,0,240
3,ALLIER,310,Vichy,18740,11835,11326,0,718,1700,0,648,709,4976,492,1889,0,0,194
3,ALLIER,321,Yzeure,9512,6424,6038,0,983,1647,0,364,427,1619,362,451,0,0,185
4,ALPES DE HAUTE PROVENCE,70,Digne-les-Bains,10681,7657,7368,0,564,1992,0,483,531,2708,0,802,0,0,288
4,ALPES DE HAUTE PROVENCE,112,Manosque,12810,9236,8843,0,684,2216,0,666,489,2732,0,1748,0,0,308
5,HAUTES ALPES,23,Briançon,7041,4490,4332,0,270,450,575,0,497,2064,0,380,0,0,96
5,HAUTES ALPES,61,Gap,22513,15774,14919,0,837,588,4235,0,1629,5095,0,1912,0,0,623
6,ALPES MARITIMES,4,Antibes,45334,31269,30390,0,1218,4979,0,0,3277,10654,494,9094,233,0,441
