Numéro de département,Département,Numéro de commune,Nom de commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Divers gauche,Génération écologie,Verts,UDF/RPR,Divers droite,Front national,Extrême droite,Régionalistes,Catégoriel
6,ALPES MARITIMES,12,Beausoleil,9224,5644,5468,0,512,1034,0,0,676,1628,148,1324,36,0,110
6,ALPES MARITIMES,27,Cagnes-sur-Mer,26462,19086,18325,0,751,3141,0,0,1809,6430,370,5223,327,0,274
6,ALPES MARITIMES,29,Cannes,47769,33710,32892,0,1150,4450,0,0,3156,13733,457,9441,197,0,308
6,ALPES MARITIMES,33,Carros,5880,4092,3980,0,394,1074,0,0,395,803,66,1124,33,0,91
6,ALPES MARITIMES,69,Grasse,23725,16824,16258,0,1120,2543,0,0,2929,5187,238,3738,165,0,338
6,ALPES MARITIMES,149,La Trinité,6546,4623,4490,0,1084,734,0,0,419,725,130,1252,34,0,112
6,ALPES MARITIMES,30,Le Cannet,26535,17317,16974,0,676,2670,0,0,2337,6030,177,4734,146,0,204
6,ALPES MARITIMES,79,Mandelieu-la-Napoule,10760,8238,7989,0,310,1178,0,0,939,2832,107,2422,59,0,142
6,ALPES MARITIMES,83,Menton,19684,13438,13079,0,805,2582,0,0,1296,3804,306,3744,106,0,436
6,ALPES MARITIMES,85,Mougins,8876,6351,6215,0,171,744,0,0,1125,2335,91,1638,42,0,69
6,ALPES MARITIMES,88,Nice,231082,154369,150126,0,9985,30895,0,0,12105,40394,7123,45231,1035,0,3358
6,ALPES MARITIMES,104,Roquebrune-Cap-Martin,8837,5633,5520,0,252,1127,0,0,608,1780,107,1467,41,0,138
6,ALPES MARITIMES,123,Saint-Laurent-du-Var,15991,11659,11313,0,482,2029,0,0,1392,3644,273,3182,99,0,212
6,ALPES MARITIMES,152,Valbonne,4732,3401,3338,0,98,822,0,0,694,886,75,678,34,0,51
6,ALPES MARITIMES,155,Vallauris,15137,10785,10299,0,646,1797,0,0,1210,3146,194,3052,105,0,149
6,ALPES MARITIMES,157,Vence,10221,7067,6904,0,343,1394,0,0,878,2432,138,1569,70,0,80
6,ALPES MARITIMES,161,Villeneuve-Loubet,7149,5084,4971,0,184,882,0,0,486,1853,151,1317,37,0,61
7,ARDECHE,10,Annonay,12147,7486,7134,0,934,1292,0,0,1020,3030,0,858,0,0,0
7,ARDECHE,19,Aubenas,7182,4964,4643,0,322,877,0,0,642,1784,0,1018,0,0,0
7,ARDECHE,102,Guilherand-Granges,7294,5071,4906,0,219,1096,0,0,922,1968,0,701,0,0,0
7,ARDECHE,186,Privas,5896,3907,3704,0,277,719,0,0,573,1744,0,391,0,0,0
7,ARDECHE,324,Tournon-sur-Rhône,6408,4180,3967,0,260,834,0,0,756,1622,0,495,0,0,0
8,ARDENNES,105,Charleville-Mézières,30783,18101,17414,0,1726,4105,0,1189,1273,5291,617,2835,0,0,378
8,ARDENNES,363,Revin,5168,3389,3266,0,337,875,0,164,194,655,134,436,0,0,471
8,ARDENNES,409,Sedan,11530,6976,6690,0,481,1824,0,503,446,2096,161,991,0,0,188
9,ARIEGE,122,Foix,6189,4275,4040,0,333,1365,0,0,513,1075,428,295,0,0,31
9,ARIEGE,225,Pamiers,8850,6295,5825,0,838,1230,0,0,463,1684,862,700,0,0,48
10,AUBE,81,La Chapelle-Saint-Luc,6892,4087,3890,0,332,605,0,306,463,775,421,754,0,0,234
10,AUBE,323,Romilly-sur-Seine,10065,5989,5651,0,1653,668,0,288,503,1185,208,800,0,0,346
10,AUBE,333,Saint-André-les-Vergers,7562,4589,4352,0,265,809,0,285,380,858,818,693,0,0,244
10,AUBE,362,Sainte-Savine,7230,4326,4122,0,285,784,0,262,402,866,596,689,0,0,238
10,AUBE,387,Troyes,31374,18401,17632,0,1314,3095,0,966,1466,3764,3173,2902,0,0,952
11,AUDE,69,Carcassonne,28325,19139,18077,0,2009,2895,1358,961,1170,6606,0,2457,0,275,346
11,AUDE,76,Castelnaudary,7684,5393,5101,0,331,1000,351,247,297,2110,0,537,0,60,168
11,AUDE,206,Limoux,6785,4744,4465,0,525,1173,229,236,264,1329,0,525,0,88,96
11,AUDE,262,Narbonne,30278,20601,19702,0,1919,2675,689,949,1387,8573,0,2939,0,195,376
12,AVEYRON,145,Millau,15975,10929,10158,0,673,2081,0,1092,587,3424,1307,994,0,0,0
12,AVEYRON,176,Onet-le-Château,6097,4668,4466,0,225,803,0,361,281,2317,222,257,0,0,0
12,AVEYRON,202,Rodez,14706,10184,9715,0,296,1583,0,566,543,5535,644,548,0,0,0
12,AVEYRON,300,Villefranche-de-Rouergue,8602,5954,5621,0,166,1947,0,388,339,1479,883,419,0,0,0
13,BOUCHES DU RHONE,1,Aix-en-Provence,70508,49338,48231,276,2343,12869,0,2148,2771,14632,1153,10392,0,324,1323
13,BOUCHES DU RHONE,2,Allauch,12998,9737,9467,49,785,3065,0,350,332,2191,165,2061,0,30,439
13,BOUCHES DU RHONE,4,Arles,32351,22618,21794,159,3464,5103,0,639,1043,5183,330,4089,0,103,1681
13,BOUCHES DU RHONE,5,Aubagne,25747,18290,17753,95,3766,3762,0,541,881,3874,227,3880,0,83,644
13,BOUCHES DU RHONE,14,Berre-l'Etang,6914,5228,4997,25,795,2034,0,128,134,601,64,1055,0,22,139
13,BOUCHES DU RHONE,15,Bouc-Bel-Air,7565,5830,5671,21,442,1401,0,249,277,1693,119,1266,0,17,186
13,BOUCHES DU RHONE,26,Châteauneuf-les-Martigues,7473,5794,5611,41,366,2378,0,196,299,853,107,1093,0,43,235
13,BOUCHES DU RHONE,27,Châteaurenard,7501,5562,5340,54,440,1090,0,163,256,1701,100,1268,0,25,243
13,BOUCHES DU RHONE,39,Fos-sur-Mer,7665,5583,5421,41,499,1871,0,175,357,932,84,1064,0,3,395
13,BOUCHES DU RHONE,41,Gardanne,11548,7911,7716,34,1591,1960,0,228,356,1459,102,1593,0,43,350
13,BOUCHES DU RHONE,47,Istres,22005,15563,14987,109,988,5084,0,716,1201,3058,382,2911,0,56,482
13,BOUCHES DU RHONE,28,La Ciotat,22894,17124,16665,100,2441,4435,0,407,676,4925,225,3008,0,82,366
13,BOUCHES DU RHONE,71,Les Pennes-Mirabeau,13744,9324,9058,52,1065,2790,0,263,484,1820,116,2125,0,43,300
13,BOUCHES DU RHONE,54,Marignane,19989,13812,13373,68,853,3320,0,504,739,3112,229,3914,0,114,520
13,BOUCHES DU RHONE,55,Marseille,451474,291086,284328,1504,29156,77148,0,6129,10529,79954,3948,70063,0,1086,4811
13,BOUCHES DU RHONE,56,Martigues,26757,19244,18622,157,4015,4420,0,763,1302,3358,369,3560,0,127,551
13,BOUCHES DU RHONE,63,Miramas,13238,9638,9262,67,1529,2120,0,341,615,2041,144,1971,0,68,366
13,BOUCHES DU RHONE,75,Plan-de-Cuques,7174,5425,5247,22,323,1409,0,181,198,1513,103,1253,0,30,215
13,BOUCHES DU RHONE,77,Port-de-Bouc,10378,7325,7116,58,2725,1382,0,197,280,754,92,1432,0,36,160
13,BOUCHES DU RHONE,81,Rognac,6890,5046,4914,32,414,1473,0,350,266,908,97,1166,0,53,155
13,BOUCHES DU RHONE,97,Saint-Martin-de-Crau,7044,5162,4971,46,368,1569,0,166,281,1097,101,964,0,36,343
13,BOUCHES DU RHONE,100,Saint-Rémy-de-Provence,6773,4849,4625,42,399,1181,0,156,242,1481,123,672,0,49,280
13,BOUCHES DU RHONE,103,Salon-de-Provence,22205,15695,15141,80,655,3907,0,609,857,4090,340,3954,0,114,535
13,BOUCHES DU RHONE,106,Septèmes-les-Vallons,6770,4836,4712,31,1197,1121,0,127,202,676,70,1123,0,23,142
13,BOUCHES DU RHONE,108,Tarascon,8110,5867,5632,37,371,1374,0,174,244,1646,101,1271,0,55,359
13,BOUCHES DU RHONE,117,Vitrolles,17800,13108,12730,90,991,3478,0,521,1006,2292,284,3636,0,74,358
14,CALVADOS,47,Bayeux,9728,5793,5467,0,280,1027,0,485,787,2188,264,436,0,0,0
14,CALVADOS,118,Caen,65571,38584,37196,0,1948,9082,0,3484,3662,13383,2099,3538,0,0,0
14,CALVADOS,327,Hérouville-Saint-Clair,12178,7626,7226,0,718,2391,0,786,1049,1263,275,744,0,0,0
14,CALVADOS,366,Lisieux,14804,9723,8984,0,490,2082,0,731,1018,3053,654,956,0,0,0
14,CALVADOS,437,Mondeville,6520,4289,4003,0,486,1398,0,369,445,760,169,376,0,0,0
14,CALVADOS,762,Vire,9144,6138,5754,0,220,1570,0,430,510,2438,153,433,0,0,0
15,CANTAL,14,Aurillac,19514,13267,12674,0,789,4083,471,0,976,4815,0,727,0,0,813
16,CHARENTE,15,Angoulême,26629,16320,15384,254,922,2386,825,1408,1581,5714,0,1755,0,0,539
16,CHARENTE,102,Cognac,11931,6905,6619,109,293,811,196,586,459,3481,0,533,0,0,151
16,CHARENTE,374,Soyaux,6135,3940,3744,99,296,594,198,367,391,1124,0,498,0,0,177
17,CHARENTE MARITIME,300,La Rochelle,42384,26770,25638,0,2676,6002,0,2595,2005,8096,550,2767,0,0,947
17,CHARENTE MARITIME,299,Rochefort,14911,9325,8831,0,621,1448,0,751,638,3496,255,1038,0,0,584
17,CHARENTE MARITIME,306,Royan,12951,8417,8127,0,385,1123,0,543,389,2880,1408,970,0,0,429
17,CHARENTE MARITIME,415,Saintes,18161,11509,11033,0,1090,3072,0,887,729,3406,366,946,0,0,537
18,CHER,33,Bourges,46507,29343,28148,398,7814,2814,0,1896,1589,10173,0,3464,0,0,0
18,CHER,197,Saint-Amand-Montrond,8454,5780,5430,127,744,992,0,501,263,2287,0,516,0,0,0
18,CHER,205,Saint-Doulchard,6009,4048,3877,88,587,513,0,389,224,1543,0,533,0,0,0
18,CHER,279,Vierzon,21020,13497,12918,305,3849,849,0,2909,683,2720,0,1603,0,0,0
19,CORREZE,31,Brive-la-Gaillarde,33324,23218,22176,0,2512,4379,2268,0,1996,8086,0,1978,0,0,957
19,CORREZE,272,Tulle,11046,8269,7930,0,1636,1709,146,0,560,3204,0,342,0,0,333
19,CORREZE,275,Ussel,7277,5433,5179,0,475,805,122,0,442,2649,0,304,0,0,382
21,COTE D'OR,54,Beaune,11911,7678,7345,135,208,556,1005,641,489,2703,233,1375,0,0,0
21,COTE D'OR,166,Chenôve,9946,5758,5496,66,292,152,2312,321,266,1074,102,911,0,0,0
21,COTE D'OR,231,Dijon,73787,47384,45886,491,1719,4746,6715,3756,2750,18707,1086,5916,0,0,0
21,COTE D'OR,515,Quetigny,4939,3292,3178,36,126,976,378,359,235,538,188,342,0,0,0
21,COTE D'OR,617,Talant,7580,5101,4956,66,163,535,669,434,426,1927,106,630,0,0,0
22,COTES D'ARMOR,50,Dinan,7846,5325,5036,45,200,877,0,578,308,1798,308,476,0,178,268
22,COTES D'ARMOR,93,Lamballe,7312,5100,4949,74,199,1141,0,548,279,1824,159,300,0,164,261
22,COTES D'ARMOR,113,Lannion,11862,7674,7397,101,537,1777,0,645,483,2214,165,520,0,492,463
22,COTES D'ARMOR,136,Loudéac,7041,5030,4758,109,227,897,0,413,283,850,1256,273,0,208,242
22,COTES D'ARMOR,187,Plérin,9113,6272,5994,90,799,994,0,737,492,1395,274,519,0,267,427
22,COTES D'ARMOR,215,Ploufragan,7524,5310,5116,98,976,805,0,553,326,1304,134,391,0,169,360
22,COTES D'ARMOR,278,Saint-Brieuc,32204,21271,20613,272,2086,4339,0,2249,1503,5346,842,1807,0,721,1448
23,CREUSE,96,Guéret,9658,6322,6000,0,577,2023,0,0,647,2404,0,349,0,0,0
24,DORDOGNE,37,Bergerac,19435,14254,13496,0,1092,2635,0,1212,922,4788,0,1808,0,0,1039
24,DORDOGNE,322,Périgueux,20888,14182,13554,0,1483,2611,0,1131,568,6187,0,1092,0,0,482
24,DORDOGNE,520,Sarlat-la-Canéda,7021,5292,5039,0,1051,818,0,368,206,2107,0,254,0,0,235
25,DOUBS,31,Audincourt,8894,5354,5042,1294,147,452,0,353,322,1178,164,957,0,0,175
25,DOUBS,56,Besançon,58540,38197,36410,3496,1138,5549,0,3623,2859,11858,960,4687,0,0,2240
25,DOUBS,388,Montbéliard,16083,10069,9516,1140,231,1171,0,973,710,3308,169,1393,0,0,421
25,DOUBS,462,Pontarlier,10952,7461,6908,454,144,1237,0,533,451,2777,217,725,0,0,370
25,DOUBS,580,Valentigney,7800,4718,4458,662,92,604,0,417,294,1290,183,744,0,0,172
26,DROME,57,Bourg-de-Péage,6042,3847,3672,176,146,715,0,236,183,1265,130,620,0,0,201
26,DROME,58,Bourg-lès-Valence,11715,7963,7584,444,424,1705,0,762,421,1964,246,1240,0,0,378
26,DROME,198,Montélimar,17917,12849,12259,941,664,2010,0,1209,613,3595,557,1971,0,0,699
26,DROME,235,Pierrelatte,7682,5102,4883,193,253,443,0,294,189,2101,358,880,0,0,172
26,DROME,281,Romans-sur-Isère,19359,11977,11550,951,691,1917,0,928,561,3130,320,2267,0,0,785
26,DROME,362,Valence,37171,23900,23047,983,1139,4750,0,2003,1025,7755,592,3973,0,0,827
27,EURE,56,Bernay,7158,4612,4350,0,305,743,0,341,540,1490,0,504,0,0,427
27,EURE,229,Evreux,24371,15326,14777,0,1800,2589,0,1311,1426,4472,0,2253,0,0,926
27,EURE,284,Gisors,6162,4250,4101,0,1583,248,0,239,250,956,0,579,0,0,246
27,EURE,375,Louviers,10367,6428,6093,0,328,1421,0,549,578,1867,0,944,0,0,406
27,EURE,701,Val-de-Reuil,4687,2860,2758,0,180,869,0,324,237,508,0,463,0,0,177
27,EURE,681,Vernon,12940,8566,8306,0,445,1487,0,704,718,2678,0,1805,0,0,469
28,EURE ET LOIR,85,Chartres,21512,13931,13277,0,758,2642,0,1568,1130,4244,612,2088,0,0,235
28,EURE ET LOIR,88,Châteaudun,8862,6235,5753,0,583,607,0,444,556,2425,268,794,0,0,76
28,EURE ET LOIR,134,Dreux,15726,9092,8788,0,483,1108,0,778,587,2386,125,3217,0,0,104
28,EURE ET LOIR,218,Lucé,11066,6817,6391,0,421,1285,0,822,602,1411,271,1461,0,0,118
28,EURE ET LOIR,229,Mainvilliers,6080,3794,3572,0,260,859,0,315,318,882,133,666,0,0,139
28,EURE ET LOIR,280,Nogent-le-Rotrou,8278,5897,5598,0,215,444,0,1810,339,2044,91,596,0,0,59
28,EURE ET LOIR,404,Vernouillet,5992,3920,3757,0,152,546,0,256,422,836,80,1421,0,0,44
29,FINISTERE,19,Brest,90748,57954,55837,2351,2418,14124,0,4751,4045,19749,623,6208,0,1568,0
29,FINISTERE,39,Concarneau,14912,9657,9129,993,477,2199,0,759,890,2676,104,830,0,201,0
29,FINISTERE,46,Douarnenez,13020,8086,7744,245,720,1519,0,726,541,2967,60,701,0,265,0
29,FINISTERE,75,Guipavas,8339,5957,5694,184,159,1132,0,616,410,2401,78,543,0,171,0
29,FINISTERE,103,Landerneau,9894,6299,6064,531,100,1442,0,484,494,2374,86,432,0,121,0
29,FINISTERE,235,Le Relecq-Kerhuon,7430,5221,5015,183,352,1299,0,496,344,1612,67,512,0,150,0
29,FINISTERE,151,Morlaix,10659,6858,6635,343,456,1865,0,650,412,2178,68,487,0,176,0
29,FINISTERE,189,Plougastel-Daoulas,8348,5784,5584,119,110,1149,0,421,746,2385,57,426,0,171,0
29,FINISTERE,212,Plouzané,7746,5429,5150,363,116,1360,0,508,417,1710,53,466,0,157,0
29,FINISTERE,232,Quimper,38841,26701,25647,902,1053,6334,0,2611,2470,8861,262,2332,0,822,0
29,FINISTERE,233,Quimperlé,7916,5124,4894,108,278,1700,0,415,354,1456,66,384,0,133,0
30,GARD,7,Alès,26685,17885,16915,148,3634,2734,824,846,1018,4234,0,3075,0,0,402
30,GARD,28,Bagnols-sur-Cèze,12075,7736,7430,40,520,2497,286,375,319,1654,0,1479,0,0,260
30,GARD,32,Beaucaire,8205,5913,5667,28,1115,519,215,213,239,1687,0,1405,0,0,246
30,GARD,189,Nîmes,75912,49054,47350,588,6205,7791,2089,3098,2715,14101,0,9844,0,0,919
30,GARD,202,Pont-Saint-Esprit,6342,4733,4600,30,197,2683,103,134,159,669,0,531,0,0,94
30,GARD,258,Saint-Gilles,7095,4745,4539,38,422,693,206,247,214,1195,0,1282,0,0,242
30,GARD,341,Vauvert,6358,4835,4599,53,491,1043,258,220,275,999,0,1012,0,0,248
30,GARD,351,Villeneuve-lès-Avignon,7116,5237,5011,40,257,1003,209,430,288,1699,0,949,0,0,136
31,HAUTE GARONNE,44,Balma,7447,5689,5506,62,254,1074,0,0,487,2400,403,605,0,0,221
31,HAUTE GARONNE,69,Blagnac,10939,7867,7570,103,589,1748,0,0,785,2699,483,794,0,0,369
31,HAUTE GARONNE,149,Colomiers,17186,12424,11948,178,720,3051,0,0,1268,4106,748,1280,0,0,597
31,HAUTE GARONNE,157,Cugnaux,7327,5524,5278,98,320,1205,0,0,533,1935,300,659,0,0,228
31,HAUTE GARONNE,561,L'Union,8964,6592,6318,54,359,1304,0,0,592,2620,355,754,0,0,280
31,HAUTE GARONNE,395,Muret,11182,8078,7754,126,339,1512,0,0,594,3160,755,919,0,0,349
31,HAUTE GARONNE,424,Plaisance-du-Touch,6341,4773,4586,73,288,997,0,0,474,1558,354,514,0,0,328
31,HAUTE GARONNE,446,Ramonville-Saint-Agne,7981,5678,5517,66,215,1208,0,0,879,2170,328,493,0,0,158
31,HAUTE GARONNE,483,Saint-Gaudens,8693,5754,5495,59,169,1239,0,0,296,2504,368,477,0,0,383
31,HAUTE GARONNE,506,Saint-Orens-de-Gameville,6286,5198,5009,65,333,857,0,0,470,2325,291,411,0,0,257
31,HAUTE GARONNE,555,Toulouse,201051,125890,121970,1483,7415,23519,0,0,10298,55581,6345,13956,0,0,3373
31,HAUTE GARONNE,557,Tournefeuille,10418,7980,7638,115,421,1587,0,0,828,3039,512,804,0,0,332
32,GERS,13,Auch,14817,10288,9559,0,839,2301,0,0,1552,3924,0,943,0,0,0
33,GIRONDE,3,Ambarès-et-Lagrave,6776,4536,4259,121,295,1099,0,454,280,863,116,553,0,0,478
33,GIRONDE,9,Arcachon,10232,6584,6332,88,165,741,0,540,288,2465,606,941,0,0,498
33,GIRONDE,39,Bègles,13886,10029,9502,264,2553,865,0,2375,417,1302,181,815,0,0,730
33,GIRONDE,56,Blanquefort,7426,5025,4843,141,282,710,0,736,287,1255,198,575,0,0,659
33,GIRONDE,63,Bordeaux,112728,67700,65491,1204,3429,9918,0,7993,3529,25117,1997,9305,0,0,2999
33,GIRONDE,119,Cenon,11537,7444,7146,254,799,1728,0,718,434,1382,242,1130,0,0,459
33,GIRONDE,122,Cestas,11069,8149,7824,157,520,1661,0,1190,585,1872,275,833,0,0,731
33,GIRONDE,162,Eysines,10119,6991,6734,138,343,1390,0,852,373,1969,215,815,0,0,639
33,GIRONDE,167,Floirac,9317,5564,5312,149,682,1036,0,683,454,988,160,750,0,0,410
33,GIRONDE,192,Gradignan,13105,8957,8663,171,482,1425,0,1407,625,2726,316,963,0,0,548
33,GIRONDE,199,Gujan-Mestras,8518,6047,5848,88,226,802,0,635,272,2044,160,824,0,0,797
33,GIRONDE,529,La Teste-de-Buch,14215,9707,9321,153,368,1290,0,984,416,2334,336,1318,0,0,2122
33,GIRONDE,69,Le Bouscat,14226,9602,9292,157,498,1402,0,1027,423,3644,297,1216,0,0,628
33,GIRONDE,243,Libourne,14393,9612,9156,198,363,2031,0,1013,511,2960,267,1166,0,0,647
33,GIRONDE,249,Lormont,9139,6183,5932,194,509,1582,0,679,330,989,171,1091,0,0,387
33,GIRONDE,281,Mérignac,34250,23576,22581,512,1135,5350,0,2938,1308,6230,653,2879,0,0,1576
33,GIRONDE,318,Pessac,31431,20363,19674,452,1214,4199,0,2541,1278,5683,584,2369,0,0,1354
33,GIRONDE,449,Saint-Médard-en-Jalles,15509,11096,10660,180,468,2366,0,1314,539,2784,338,1185,0,0,1486
33,GIRONDE,522,Talence,19397,12640,12184,210,671,2137,0,1882,858,4214,314,1312,0,0,586
33,GIRONDE,550,Villenave-d'Ornon,16174,10853,10347,249,1094,1988,0,1403,726,2384,328,1238,0,0,937
34,HERAULT,3,Agde,12683,9200,8822,0,692,1793,0,550,490,0,2694,2181,0,0,422
34,HERAULT,32,Béziers,48659,30147,28603,0,3326,4128,0,2537,1196,0,9933,6066,0,0,1417
34,HERAULT,57,Castelnau-le-Lez,8740,6247,6003,0,203,729,0,550,275,0,3037,984,0,0,225
34,HERAULT,108,Frontignan,11521,7668,7232,0,1045,1083,0,854,361,0,1830,1457,0,0,602
34,HERAULT,129,Lattes,7310,5260,5089,0,234,653,0,534,304,0,2038,1057,0,0,269
34,HERAULT,145,Lunel,11571,8197,7757,0,624,1436,0,524,534,0,2224,1902,0,0,513
34,HERAULT,154,Mauguio,8401,6079,5792,0,439,1116,0,445,386,0,1807,1249,0,0,350
34,HERAULT,172,Montpellier,109187,66586,64362,0,3794,13616,0,7319,3876,0,20301,12948,0,0,2508
34,HERAULT,301,Sète,29635,19806,18999,0,3983,1686,0,1510,735,0,7222,3070,0,0,793
35,ILLE ET VILAINE,51,Cesson-Sévigné,9534,6751,6423,92,145,1075,152,840,631,2889,0,423,0,176,0
35,ILLE ET VILAINE,93,Dinard,7277,4789,4602,64,158,523,141,505,239,2243,0,618,0,111,0
35,ILLE ET VILAINE,115,Fougères,16705,10602,10008,162,353,3105,191,745,757,3867,0,662,0,166,0
35,ILLE ET VILAINE,236,Redon,6253,4079,3925,47,318,926,93,266,217,1679,0,264,0,115,0
35,ILLE ET VILAINE,238,Rennes,116218,69323,66552,1378,3264,14641,1202,8216,6528,23364,0,5984,0,1975,0
35,ILLE ET VILAINE,288,Saint-Malo,35625,22167,21132,431,734,2135,2502,1929,1462,9078,0,2287,0,574,0
35,ILLE ET VILAINE,360,Vitré,10429,6581,6145,159,121,876,149,640,485,3203,0,371,0,141,0
36,INDRE,44,Châteauroux,33147,21920,20504,0,1490,5526,895,962,1825,6456,0,2618,0,0,732
36,INDRE,88,Issoudun,4579,3466,3205,0,174,1398,48,50,194,944,0,277,0,0,120
37,INDRE ET LOIRE,3,Amboise,7124,5034,4703,130,261,728,0,638,293,1936,185,532,0,0,0
37,INDRE ET LOIRE,122,Joué-lès-Tours,22777,14207,13419,313,585,2470,0,1895,878,3776,1601,1901,0,0,0
37,INDRE ET LOIRE,208,Saint-Avertin,8402,5734,5526,93,231,939,0,809,332,2251,236,635,0,0,0
37,INDRE ET LOIRE,214,Saint-Cyr-sur-Loire,10893,7140,6887,123,266,1059,0,989,401,3016,233,800,0,0,0
37,INDRE ET LOIRE,233,Saint-Pierre-des-Corps,11203,6900,6513,194,1815,892,0,741,449,1231,150,1041,0,0,0
37,INDRE ET LOIRE,261,Tours,73398,44812,42681,1053,2250,6971,0,5613,2852,16374,1748,5820,0,0,0
38,ISERE,53,Bourgoin-Jallieu,12633,7728,7374,94,531,1332,0,494,322,1975,758,1589,0,0,279
38,ISERE,151,Echirolles,18479,12285,11858,180,2245,1666,0,1039,660,1664,1819,2186,0,0,399
38,ISERE,169,Fontaine,12722,7689,7430,202,1732,1209,0,692,456,1040,586,1229,0,0,284
38,ISERE,185,Grenoble,80652,49920,48216,699,2869,8837,0,4730,3683,13119,4800,7892,0,0,1587
38,ISERE,317,Le Pont-de-Claix,5525,3582,3468,75,482,483,0,250,179,475,607,803,0,0,114
38,ISERE,229,Meylan,11353,7921,7772,59,213,1412,0,864,734,2408,955,832,0,0,295
38,ISERE,382,Saint-Egrève,9944,6927,6727,110,454,1208,0,654,686,1604,757,951,0,0,303
38,ISERE,421,Saint-Martin-d'Hères,15386,9427,9074,200,1759,1535,0,959,713,1348,730,1467,0,0,363
38,ISERE,474,Sassenage,5686,4010,3875,72,242,732,0,380,275,1089,338,562,0,0,185
38,ISERE,485,Seyssinet-Pariset,6995,4596,4436,70,280,866,0,473,309,1020,538,685,0,0,195
38,ISERE,544,Vienne,17153,11557,11077,118,489,2920,0,749,509,2935,855,2090,0,0,412
38,ISERE,553,Villefontaine,6729,4312,4170,73,274,829,0,454,324,780,464,823,0,0,149
38,ISERE,563,Voiron,11060,7264,6902,72,681,1102,0,521,577,2011,555,1086,0,0,297
39,JURA,97,Champagnole,5832,4214,3947,0,204,465,248,785,316,1262,211,456,0,0,0
39,JURA,198,Dole,15238,10132,9614,0,778,1310,704,865,1116,3010,541,1290,0,0,0
39,JURA,300,Lons-le-Saunier,12439,7934,7556,0,514,583,1067,687,590,2657,441,1017,0,0,0
39,JURA,478,Saint-Claude,6447,4039,3839,0,369,602,196,336,255,1274,168,639,0,0,0
40,LANDES,46,Biscarrosse,6860,4376,4186,0,93,880,105,294,281,1262,54,594,0,0,623
40,LANDES,88,Dax,13195,8614,8234,0,386,2023,159,458,454,3154,95,1003,0,0,502
40,LANDES,192,Mont-de-Marsan,19222,12830,12266,0,656,4012,278,680,491,3536,327,1249,0,0,1037
40,LANDES,279,Saint-Paul lès Dax,7371,5157,4738,0,365,1758,110,249,328,1059,50,386,0,0,433
40,LANDES,312,Tarnos,6850,4950,4772,0,1377,875,69,334,217,930,50,389,0,0,531
41,LOIR ET CHER,18,Blois,27236,19040,18136,0,941,7135,725,979,752,5303,0,2032,0,0,269
