Code région,Région,Code département,Département,Circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation,Nuance 1,Prénom candidat 1,Nom candidat 1,Liste 1,Nombre de voix 1,Nuance 2,Prénom candidat 2,Nom candidat 2,Liste 2,Nombre de voix 2,Nuance 3,Prénom candidat 3,Nom candidat 3,Liste 3,Nombre de voix 3,Nuance 4,Prénom candidat 4,Nom candidat 4,Liste 4,Nombre de voix 4,Nuance 5,Prénom candidat 5,Nom candidat 5,Liste 5,Nombre de voix 5,Nuance 6,Prénom candidat 6,Nom candidat 6,Liste 6,Nombre de voix 6,Nuance 7,Prénom candidat 7,Nom candidat 7,Liste 7,Nombre de voix 7
83,AUVERGNE,3,ALLIER,2,65273,42990,41037,1953,"65,86",SOC-COM-ECO,P.JOEL,BONTE,"AVEC PIERRE-JOEL BONTE, VIVONS L'AUVERGNE SOLIDAIRE",24023,UDF-UMP,VALERY,GISCARD D'ESTAING,LISTE UNION POUR L'AUVERGNE,17014,,,,,,,,,,,,,,,,,,,,,,,,,
83,AUVERGNE,3,ALLIER,3,69567,48866,46421,2445,"70,24",SOC-COM-ECO,P.JOEL,BONTE,"AVEC PIERRE-JOEL BONTE, VIVONS L'AUVERGNE SOLIDAIRE",25426,UDF-UMP,VALERY,GISCARD D'ESTAING,LISTE UNION POUR L'AUVERGNE,20995,,,,,,,,,,,,,,,,,,,,,,,,,
83,AUVERGNE,3,ALLIER,4,62256,41331,39068,2263,"66,39",SOC-COM-ECO,P.JOEL,BONTE,"AVEC PIERRE-JOEL BONTE, VIVONS L'AUVERGNE SOLIDAIRE",19697,UDF-UMP,VALERY,GISCARD D'ESTAING,LISTE UNION POUR L'AUVERGNE,19371,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,4,ALPES-DE-HAUTE-PROVENCE,1,55133,39103,37454,1649,"70,92",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,20365,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,11365,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",5724,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,4,ALPES-DE-HAUTE-PROVENCE,2,56712,40755,39201,1554,"71,86",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,20221,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,13319,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",5661,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,5,HAUTES-ALPES,1,54086,38792,37317,1475,"71,72",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,19648,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,12705,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",4964,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,5,HAUTES-ALPES,2,43342,30148,29181,967,"69,56",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,15017,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,10918,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",3246,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,1,53982,33903,32807,1096,"62,8",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,14129,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,11425,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",7253,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,2,58031,36377,35338,1039,"62,69",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,14137,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,14154,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",7047,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,3,64555,40282,38993,1289,"62,4",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,15353,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,15056,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",8584,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,4,69956,42140,40663,1477,"60,24",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,15646,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,15842,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",9175,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,5,80495,53952,52171,1781,"67,03",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,22361,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,18303,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",11507,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,6,96579,62070,60276,1794,"64,27",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,23305,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,24006,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",12965,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,7,91002,56527,54905,1622,"62,12",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,20881,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,23459,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",10565,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,8,62001,38378,37438,940,"61,9",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,12261,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,17025,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",8152,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,9,96828,62086,60581,1505,"64,12",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,25175,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,24028,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",11378,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,7,ARDECHE,1,70139,49084,46936,2148,"69,98",SOC,J.JACK,QUEYRANNE,"RHONE-ALPES POUR TOUS, AVEC LA GAUCHE.",24657,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,15001,FN,BRUNO,GOLLNISCH,"FRONT NATIONAL POUR RHONE-ALPES, LISTE PRESENTEE PAR JEAN-MARIE LE PEN, CONDUITE PAR BRUNO GOLLNISCH",7278,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,7,ARDECHE,2,84056,56783,54666,2117,"67,55",SOC,J.JACK,QUEYRANNE,"RHONE-ALPES POUR TOUS, AVEC LA GAUCHE.",25500,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,21563,FN,BRUNO,GOLLNISCH,"FRONT NATIONAL POUR RHONE-ALPES, LISTE PRESENTEE PAR JEAN-MARIE LE PEN, CONDUITE PAR BRUNO GOLLNISCH",7603,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,7,ARDECHE,3,69120,48745,46755,1990,"70,52",SOC,J.JACK,QUEYRANNE,"RHONE-ALPES POUR TOUS, AVEC LA GAUCHE.",23434,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,16946,FN,BRUNO,GOLLNISCH,"FRONT NATIONAL POUR RHONE-ALPES, LISTE PRESENTEE PAR JEAN-MARIE LE PEN, CONDUITE PAR BRUNO GOLLNISCH",6375,,,,,,,,,,,,,,,,,,,,
21,CHAMPAGNE-ARDENNE,8,ARDENNES,1,70625,46123,44552,1571,"65,31",SOC-COM-autreG,JEAN-PAUL,BACHY,"ENSEMBLE A GAUCHE - L'ESPOIR POUR CHANGER LA REGION SOUTENUE PAR LE PS, LE PCF, LE PRG ET LE MRC",20096,UMP,JEAN-CLAUDE,ETIENNE,"LISTE D'UNION POUR L'AVENIR DE LA CHAMPAGNE-ARDENNE LISTE SOUTENUE PAR L'UMP, LE CNI, LE PARTI RADICAL, LE MPF ET DIVERS DROITE",16839,FN,BRUNO,SUBTIL,"FRONT NATIONAL POUR CHAMPAGNE ARDENNE, LISTE PRESENTEE PAR JEAN-MARIE LE PEN",7617,,,,,,,,,,,,,,,,,,,,
21,CHAMPAGNE-ARDENNE,8,ARDENNES,2,64051,39969,38672,1297,"62,4",SOC-COM-autreG,JEAN-PAUL,BACHY,"ENSEMBLE A GAUCHE - L'ESPOIR POUR CHANGER LA REGION SOUTENUE PAR LE PS, LE PCF, LE PRG ET LE MRC",20695,UMP,JEAN-CLAUDE,ETIENNE,"LISTE D'UNION POUR L'AVENIR DE LA CHAMPAGNE-ARDENNE LISTE SOUTENUE PAR L'UMP, LE CNI, LE PARTI RADICAL, LE MPF ET DIVERS DROITE",10715,FN,BRUNO,SUBTIL,"FRONT NATIONAL POUR CHAMPAGNE ARDENNE, LISTE PRESENTEE PAR JEAN-MARIE LE PEN",7262,,,,,,,,,,,,,,,,,,,,
21,CHAMPAGNE-ARDENNE,8,ARDENNES,3,58311,38607,37068,1539,"66,21",SOC-COM-autreG,JEAN-PAUL,BACHY,"ENSEMBLE A GAUCHE - L'ESPOIR POUR CHANGER LA REGION SOUTENUE PAR LE PS, LE PCF, LE PRG ET LE MRC",16597,UMP,JEAN-CLAUDE,ETIENNE,"LISTE D'UNION POUR L'AVENIR DE LA CHAMPAGNE-ARDENNE LISTE SOUTENUE PAR L'UMP, LE CNI, LE PARTI RADICAL, LE MPF ET DIVERS DROITE",14232,FN,BRUNO,SUBTIL,"FRONT NATIONAL POUR CHAMPAGNE ARDENNE, LISTE PRESENTEE PAR JEAN-MARIE LE PEN",6239,,,,,,,,,,,,,,,,,,,,
73,MIDI-PYRENEES,9,ARIEGE,1,54109,36312,33712,2600,"67,11",SOC-COM,MARTIN,MALVY,AVEC MARTIN MALVY NOTRE REGION FORTE ET SOLIDAIRE,23006,UMP,JACQUES,GODFRAIN,"DEMAIN, MIDI-PYRENEES POUR TOUS",6483,FN,LOUIS,ALIOT,LISTE FRONT NATIONAL POUR MIDI-PYRENEES PRESENTEE PAR JEAN-MARIE LE PEN,4223,,,,,,,,,,,,,,,,,,,,
73,MIDI-PYRENEES,9,ARIEGE,2,55399,38560,35770,2790,"69,6",SOC-COM,MARTIN,MALVY,AVEC MARTIN MALVY NOTRE REGION FORTE ET SOLIDAIRE,22574,UMP,JACQUES,GODFRAIN,"DEMAIN, MIDI-PYRENEES POUR TOUS",8563,FN,LOUIS,ALIOT,LISTE FRONT NATIONAL POUR MIDI-PYRENEES PRESENTEE PAR JEAN-MARIE LE PEN,4633,,,,,,,,,,,,,,,,,,,,
21,CHAMPAGNE-ARDENNE,10,AUBE,1,55894,36446,34858,1588,"65,21",SOC-COM-autreG,JEAN-PAUL,BACHY,"ENSEMBLE A GAUCHE - L'ESPOIR POUR CHANGER LA REGION SOUTENUE PAR LE PS, LE PCF, LE PRG ET LE MRC",12415,UMP,JEAN-CLAUDE,ETIENNE,"LISTE D'UNION POUR L'AVENIR DE LA CHAMPAGNE-ARDENNE LISTE SOUTENUE PAR L'UMP, LE CNI, LE PARTI RADICAL, LE MPF ET DIVERS DROITE",14820,FN,BRUNO,SUBTIL,"FRONT NATIONAL POUR CHAMPAGNE ARDENNE, LISTE PRESENTEE PAR JEAN-MARIE LE PEN",7623,,,,,,,,,,,,,,,,,,,,
21,CHAMPAGNE-ARDENNE,10,AUBE,2,69258,44850,43211,1639,"64,76",SOC-COM-autreG,JEAN-PAUL,BACHY,"ENSEMBLE A GAUCHE - L'ESPOIR POUR CHANGER LA REGION SOUTENUE PAR LE PS, LE PCF, LE PRG ET LE MRC",17112,UMP,JEAN-CLAUDE,ETIENNE,"LISTE D'UNION POUR L'AVENIR DE LA CHAMPAGNE-ARDENNE LISTE SOUTENUE PAR L'UMP, LE CNI, LE PARTI RADICAL, LE MPF ET DIVERS DROITE",17370,FN,BRUNO,SUBTIL,"FRONT NATIONAL POUR CHAMPAGNE ARDENNE, LISTE PRESENTEE PAR JEAN-MARIE LE PEN",8729,,,,,,,,,,,,,,,,,,,,
21,CHAMPAGNE-ARDENNE,10,AUBE,3,70113,44034,42350,1684,"62,8",SOC-COM-autreG,JEAN-PAUL,BACHY,"ENSEMBLE A GAUCHE - L'ESPOIR POUR CHANGER LA REGION SOUTENUE PAR LE PS, LE PCF, LE PRG ET LE MRC",17198,UMP,JEAN-CLAUDE,ETIENNE,"LISTE D'UNION POUR L'AVENIR DE LA CHAMPAGNE-ARDENNE LISTE SOUTENUE PAR L'UMP, LE CNI, LE PARTI RADICAL, LE MPF ET DIVERS DROITE",16213,FN,BRUNO,SUBTIL,"FRONT NATIONAL POUR CHAMPAGNE ARDENNE, LISTE PRESENTEE PAR JEAN-MARIE LE PEN",8939,,,,,,,,,,,,,,,,,,,,
91,LANGUEDOC-ROUSSILLON,11,AUDE,1,66346,47451,45070,2381,"71,52",SOC-COM-autreG,GEORGES,FRECHE,LISTE UNION TOUTE CONDUITE PAR GEORGES FRECHE,26348,UMP,JACQUES,BLANC,LISTE UNION POUR LE LANGUEDOC-ROUSSILLON CONDUITE PAR JACQUES BLANC,12541,FN,ALAIN,JAMET,"LISTE FN POUR LE LANGUEDOC-ROUSSILLON, CONDUITE PAR ALAIN JAMET",6181,,,,,,,,,,,,,,,,,,,,
91,LANGUEDOC-ROUSSILLON,11,AUDE,2,102328,71880,68567,3313,"70,24",SOC-COM-autreG,GEORGES,FRECHE,LISTE UNION TOUTE CONDUITE PAR GEORGES FRECHE,38400,UMP,JACQUES,BLANC,LISTE UNION POUR LE LANGUEDOC-ROUSSILLON CONDUITE PAR JACQUES BLANC,20638,FN,ALAIN,JAMET,"LISTE FN POUR LE LANGUEDOC-ROUSSILLON, CONDUITE PAR ALAIN JAMET",9529,,,,,,,,,,,,,,,,,,,,
91,LANGUEDOC-ROUSSILLON,11,AUDE,3,71697,52116,49646,2470,"72,69",SOC-COM-autreG,GEORGES,FRECHE,LISTE UNION TOUTE CONDUITE PAR GEORGES FRECHE,28999,UMP,JACQUES,BLANC,LISTE UNION POUR LE LANGUEDOC-ROUSSILLON CONDUITE PAR JACQUES BLANC,14411,FN,ALAIN,JAMET,"LISTE FN POUR LE LANGUEDOC-ROUSSILLON, CONDUITE PAR ALAIN JAMET",6236,,,,,,,,,,,,,,,,,,,,
73,MIDI-PYRENEES,12,AVEYRON,1,72820,51541,48624,2917,"70,78",SOC-COM,MARTIN,MALVY,AVEC MARTIN MALVY NOTRE REGION FORTE ET SOLIDAIRE,22341,UMP,JACQUES,GODFRAIN,"DEMAIN, MIDI-PYRENEES POUR TOUS",21995,FN,LOUIS,ALIOT,LISTE FRONT NATIONAL POUR MIDI-PYRENEES PRESENTEE PAR JEAN-MARIE LE PEN,4288,,,,,,,,,,,,,,,,,,,,
73,MIDI-PYRENEES,12,AVEYRON,2,71271,50615,47576,3039,"71,02",SOC-COM,MARTIN,MALVY,AVEC MARTIN MALVY NOTRE REGION FORTE ET SOLIDAIRE,27741,UMP,JACQUES,GODFRAIN,"DEMAIN, MIDI-PYRENEES POUR TOUS",16409,FN,LOUIS,ALIOT,LISTE FRONT NATIONAL POUR MIDI-PYRENEES PRESENTEE PAR JEAN-MARIE LE PEN,3426,,,,,,,,,,,,,,,,,,,,
73,MIDI-PYRENEES,12,AVEYRON,3,70343,52457,49001,3456,"74,57",SOC-COM,MARTIN,MALVY,AVEC MARTIN MALVY NOTRE REGION FORTE ET SOLIDAIRE,23618,UMP,JACQUES,GODFRAIN,"DEMAIN, MIDI-PYRENEES POUR TOUS",21048,FN,LOUIS,ALIOT,LISTE FRONT NATIONAL POUR MIDI-PYRENEES PRESENTEE PAR JEAN-MARIE LE PEN,4335,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,13,BOUCHES-DU-RHONE,1,56542,36388,35450,938,"64,36",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,16601,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,12466,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",6383,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,13,BOUCHES-DU-RHONE,2,60410,39144,38362,782,"64,8",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,15560,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,17182,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",5620,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,13,BOUCHES-DU-RHONE,3,43973,27736,27185,551,"63,08",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,14456,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,8153,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",4576,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,13,BOUCHES-DU-RHONE,4,43600,26491,25974,517,"60,76",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,15987,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,3798,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",6189,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,13,BOUCHES-DU-RHONE,5,49760,31814,30961,853,"63,93",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,15576,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,10136,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",5249,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,13,BOUCHES-DU-RHONE,6,65085,41409,40197,1212,"63,62",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,18518,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,14191,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",7488,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,13,BOUCHES-DU-RHONE,7,47612,29087,28482,605,"61,09",SOC-COM-ECO,MICHEL,VAUZELLE,GAUCHE UNIE ET ECOLOGISTES,16540,UMP,RENAUD,MUSELIER,CHOISISSONS LA CARTE DE L'AVENIR,5018,FN,GUY,MACARY,"LISTE FRONT NATIONAL POUR LA PROVENCE, LES ALPES ET LA COTE D'AZUR LISTE PRESENTEE PAR JEAN-MARIE LE PEN",6924,,,,,,,,,,,,,,,,,,,,
