Code région,Région,Code département,Département,Circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation,Nuance 1,Prénom candidat 1,Nom candidat 1,Liste 1,Nombre de voix 1,Nuance 2,Prénom candidat 2,Nom candidat 2,Liste 2,Nombre de voix 2,Nuance 3,Prénom candidat 3,Nom candidat 3,Liste 3,Nombre de voix 3,Nuance 4,Prénom candidat 4,Nom candidat 4,Liste 4,Nombre de voix 4,Nuance 5,Prénom candidat 5,Nom candidat 5,Liste 5,Nombre de voix 5,Nuance 6,Prénom candidat 6,Nom candidat 6,Liste 6,Nombre de voix 6,Nuance 7,Prénom candidat 7,Nom candidat 7,Liste 7,Nombre de voix 7
82,RHONE-ALPES,1,AIN,1,80891,52216,50386,1830,"64,55",SOC,J.JACK,QUEYRANNE,"RHONE-ALPES POUR TOUS, AVEC LA GAUCHE.",23107,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,20055,FN,BRUNO,GOLLNISCH,"FRONT NATIONAL POUR RHONE-ALPES, LISTE PRESENTEE PAR JEAN-MARIE LE PEN, CONDUITE PAR BRUNO GOLLNISCH",7224,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,1,AIN,2,84748,53105,51373,1732,"62,66",SOC,J.JACK,QUEYRANNE,"RHONE-ALPES POUR TOUS, AVEC LA GAUCHE.",21845,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,18694,FN,BRUNO,GOLLNISCH,"FRONT NATIONAL POUR RHONE-ALPES, LISTE PRESENTEE PAR JEAN-MARIE LE PEN, CONDUITE PAR BRUNO GOLLNISCH",10834,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,1,AIN,3,78757,47411,45705,1706,"60,2",SOC,J.JACK,QUEYRANNE,"RHONE-ALPES POUR TOUS, AVEC LA GAUCHE.",20410,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,18000,FN,BRUNO,GOLLNISCH,"FRONT NATIONAL POUR RHONE-ALPES, LISTE PRESENTEE PAR JEAN-MARIE LE PEN, CONDUITE PAR BRUNO GOLLNISCH",7295,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,1,AIN,4,100387,64156,61645,2511,"63,91",SOC,J.JACK,QUEYRANNE,"RHONE-ALPES POUR TOUS, AVEC LA GAUCHE.",25398,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,25396,FN,BRUNO,GOLLNISCH,"FRONT NATIONAL POUR RHONE-ALPES, LISTE PRESENTEE PAR JEAN-MARIE LE PEN, CONDUITE PAR BRUNO GOLLNISCH",10851,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,1,69678,46498,45034,1464,"66,73",SOC-COM-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,22543,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,14762,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,7729,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,2,73005,49857,48182,1675,"68,29",SOC-COM-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,22639,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,16066,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,9477,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,3,71800,48410,46333,2077,"67,42",SOC-COM-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,21717,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,14689,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,9927,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,4,76244,49518,48069,1449,"64,95",SOC-COM-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,24272,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,13789,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,10008,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,5,75855,50224,48501,1723,"66,21",SOC-COM-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,21097,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,17131,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,10273,,,,,,,,,,,,,,,,,,,,
83,AUVERGNE,3,ALLIER,1,57748,37193,35290,1903,"64,41",SOC-COM-ECO,P.JOEL,BONTE,"AVEC PIERRE-JOEL BONTE, VIVONS L'AUVERGNE SOLIDAIRE",20411,UDF-UMP,VALERY,GISCARD D'ESTAING,LISTE UNION POUR L'AUVERGNE,14879,,,,,,,,,,,,,,,,,,,,,,,,,
