Code région,Région,Code département,Département,Circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation,Nuance 1,Prénom candidat 1,Nom candidat 1,Liste 1,Nombre de voix 1,Nuance 2,Prénom candidat 2,Nom candidat 2,Liste 2,Nombre de voix 2,Nuance 3,Prénom candidat 3,Nom candidat 3,Liste 3,Nombre de voix 3,Nuance 4,Prénom candidat 4,Nom candidat 4,Liste 4,Nombre de voix 4,Nuance 5,Prénom candidat 5,Nom candidat 5,Liste 5,Nombre de voix 5,Nuance 6,Prénom candidat 6,Nom candidat 6,Liste 6,Nombre de voix 6,Nuance 7,Prénom candidat 7,Nom candidat 7,Liste 7,Nombre de voix 7,Nuance 8,Prénom candidat 8,Nom candidat 8,Liste 8,Nombre de voix 8,Nuance 9,Prénom candidat 9,Nom candidat 9,Liste 9,Nombre de voix 9,Nuance 10,Prénom candidat 10,Nom candidat 10,Liste 10,Nombre de voix 10,Nuance 11,Prénom candidat 11,Nom candidat 11,Liste 11,Nombre de voix 11,Nuance 12,Prénom candidat 12,Nom candidat 12,Liste 12,Nombre de voix 12,Nuance 13,Prénom candidat 13,Nom candidat 13,Liste 13,Nombre de voix 13,Nuance 14,Prénom candidat 14,Nom candidat 14,Liste 14,Nombre de voix 14,Nuance 15,Prénom candidat 15,Nom candidat 15,Liste 15,Nombre de voix 15,Nuance 16,Prénom candidat 16,Nom candidat 16,Liste 16,Nombre de voix 16,Nuance 17,Prénom candidat 17,Nom candidat 17,Liste 17,Nombre de voix 17,Nuance 18,Prénom candidat 18,Nom candidat 18,Liste 18,Nombre de voix 18,Nuance 19,Prénom candidat 19,Nom candidat 19,Liste 19,Nombre de voix 19,Nuance 20,Prénom candidat 20,Nom candidat 20,Liste 20,Nombre de voix 20,Nuance 21,Prénom candidat 21,Nom candidat 21,Liste 22,Nombre de voix 22,Nuance 22,Prénom candidat 22,Nom candidat 22,Liste 22,Nombre de voix 22
83,AUVERGNE,3,ALLIER,3,70852,46638,44271,2367,"65,82",COM-SOC,PIERRE,GOLDBERG,"TETE DE LISTE COM, UNION COM-SOC",19034,ECO,BERNARD,DEVOUCOUX,LES VERTS,2827,RPR-UDF,PIERRE-ANDRE,PERISSOL,"TETE DE LISTE RPR, UNION RPR-UDF",15290,DVD,CLAUDE,BONNET,ALLIER 2000 - UDF DISSIDENT,1662,FRN,JACQUES,MAYADOUX,FRONT NATIONAL,4038,DIV,CLAUDE,CHEZEAU,"CHASSE, PECHE, NATURE ET TRADITIONS",1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,AUVERGNE,3,ALLIER,4,63458,37687,35296,2391,"59,39",COM-SOC,PIERRE,GOLDBERG,"TETE DE LISTE COM, UNION COM-SOC",11809,ECO,BERNARD,DEVOUCOUX,LES VERTS,2977,RPR-UDF,PIERRE-ANDRE,PERISSOL,"TETE DE LISTE RPR, UNION RPR-UDF",12295,DVD,CLAUDE,BONNET,ALLIER 2000 - UDF DISSIDENT,1512,FRN,JACQUES,MAYADOUX,FRONT NATIONAL,5558,DIV,CLAUDE,CHEZEAU,"CHASSE, PECHE, NATURE ET TRADITIONS",1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,4,ALPES-DE-HAUTE-PROVENCE,1,51336,33847,32005,1842,"65,93",SOC-COM-autreG,JEAN-LOUIS,BIANCO,"TETE DE LISTE SOC, UNION SOC-COM-PRG",14244,ECO,PIERRE-ALAIN,CAMBEFORT,MOUVEMENT ECOLOGISTE INDEPENDANT,2202,RPR-UDF,DANIEL,SPAGNOU,"TETE DE LISTE RPR, UNION RPR-UDF",9753,FRN,MIREILLE,D'ORNANO,FRONT NATIONAL,5300,DIV,GABRIEL,DRUGEON,FEDERALISTES POUR LA PROVENCE,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,4,ALPES-DE-HAUTE-PROVENCE,2,53067,35071,33154,1917,"66,09",SOC-COM-autreG,JEAN-LOUIS,BIANCO,"TETE DE LISTE SOC, UNION SOC-COM-PRG",12613,ECO,PIERRE-ALAIN,CAMBEFORT,MOUVEMENT ECOLOGISTE INDEPENDANT,2276,RPR-UDF,DANIEL,SPAGNOU,"TETE DE LISTE RPR, UNION RPR-UDF",11723,FRN,MIREILLE,D'ORNANO,FRONT NATIONAL,5939,DIV,GABRIEL,DRUGEON,FEDERALISTES POUR LA PROVENCE,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,5,HAUTES-ALPES,1,50279,33002,30779,2223,"65,64",SOC-COM-ECO,CHRISTIAN,GRAGLIA,"TETE DE LISTE SOC, UNION SOC-COM-ECO",11600,DVG,JOEL,GIRAUD,PRIORITE HAUTES-ALPES,2854,UDF-RPR,ALAIN,BAYROU,"TETE DE LISTE UDF, UNION UDF-RPR",11536,FRN,VANESSA,BICKERS-GARCIA,FRONT NATIONAL,4366,DIV,ABRAHAM,SELLAM,FEDERALISTES POUR LA PROVENCE,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,5,HAUTES-ALPES,2,39640,25465,24020,1445,"64,24",SOC-COM-ECO,CHRISTIAN,GRAGLIA,"TETE DE LISTE SOC, UNION SOC-COM-ECO",6337,DVG,JOEL,GIRAUD,PRIORITE HAUTES-ALPES,5350,UDF-RPR,ALAIN,BAYROU,"TETE DE LISTE UDF, UNION UDF-RPR",9044,FRN,VANESSA,BICKERS-GARCIA,FRONT NATIONAL,3019,DIV,ABRAHAM,SELLAM,FEDERALISTES POUR LA PROVENCE,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,1,62093,31390,30155,1235,"50,55",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,658,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",9052,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,176,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",710,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",7910,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,1026,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",132,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,741,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,8871,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",125,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,438,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,2,68273,33891,32820,1071,"49,64",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,550,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",8786,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,186,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",727,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",9768,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,1232,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",168,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,1291,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,9471,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",124,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,256,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,3,72769,36945,35569,1376,"50,77",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,737,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",10158,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,202,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",956,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",9842,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,1280,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",154,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,1120,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,10384,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",220,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,259,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,4,69112,38792,36973,1819,"56,13",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,842,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",9224,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,209,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",1138,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",11927,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,1526,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",181,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,772,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,9812,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",577,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,446,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,5,81477,49236,47361,1875,"60,43",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,1022,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",14042,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,253,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",1219,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",15301,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,1435,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",150,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,1069,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,11184,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",951,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,378,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,6,88367,50861,49324,1537,"57,56",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,982,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",13247,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,421,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",1573,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",14424,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,2441,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",313,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,1197,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,13131,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",738,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,453,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,7,86003,48335,46886,1449,"56,2",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,920,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",11513,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,326,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",1653,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",15127,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,1900,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",315,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,872,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,12903,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",668,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,292,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PROVENCE-ALPES-COTE D'AZUR,6,ALPES-MARITIMES,8,60128,34328,33174,1154,"57,09",EXG,DANIELE,PECOUT,LUTTE OUVRIERE,644,SOC-COM-ECO,PATRICK,ALLEMAND,"TETE DE LISTE SOC, UNION SOC-COM-ECO",6926,DVG,FRANCIS,GIOLITTI,ACTION SOLIDARITE,250,ECO,PATRICE,MIRAN,"UNION MOUVEMENT ECOLOGISTE INDEPENDANT, GENERATION ECOLOGIE",891,RPR-UDF,CHRISTIAN,ESTROSI,"TETE DE LISTE RPR, UNION RPR-UDF",10861,DVD,MARTINE,RADIX,LA VOIX DES FEMMES - UDF DISSIDENT,1340,DVD,JEAN-NICOLAS,CALITRI,"PARTI LIBERAL POUR L'ECONOMIE, LA REGION ET L'ENVIRONNEMENT",205,DVD,BRUNO,MIRAGLIA,COMBAT COTE D'AZUR,446,FRN,JEAN-MARIE,LE PEN,FRONT NATIONAL,10961,DIV,BERNARD,BAUDIN,"CHASSE, PECHE, NATURE ET TRADITIONS",121,DIV,MICHEL,COTTA,OUI A UNE NOUVELLE REGION,273,DIV,SAMUEL,ALIE,ASSEZ ! . LISTE DES CHOMEURS,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
