Code région,Région,Code département,Département,Circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation,Nuance 1,Prénom candidat 1,Nom candidat 1,Liste 1,Nombre de voix 1,Nuance 2,Prénom candidat 2,Nom candidat 2,Liste 2,Nombre de voix 2,Nuance 3,Prénom candidat 3,Nom candidat 3,Liste 3,Nombre de voix 3,Nuance 4,Prénom candidat 4,Nom candidat 4,Liste 4,Nombre de voix 4,Nuance 5,Prénom candidat 5,Nom candidat 5,Liste 5,Nombre de voix 5,Nuance 6,Prénom candidat 6,Nom candidat 6,Liste 6,Nombre de voix 6,Nuance 7,Prénom candidat 7,Nom candidat 7,Liste 7,Nombre de voix 7,Nuance 8,Prénom candidat 8,Nom candidat 8,Liste 8,Nombre de voix 8,Nuance 9,Prénom candidat 9,Nom candidat 9,Liste 9,Nombre de voix 9,Nuance 10,Prénom candidat 10,Nom candidat 10,Liste 10,Nombre de voix 10,Nuance 11,Prénom candidat 11,Nom candidat 11,Liste 11,Nombre de voix 11,Nuance 12,Prénom candidat 12,Nom candidat 12,Liste 12,Nombre de voix 12,Nuance 13,Prénom candidat 13,Nom candidat 13,Liste 13,Nombre de voix 13,Nuance 14,Prénom candidat 14,Nom candidat 14,Liste 14,Nombre de voix 14,Nuance 15,Prénom candidat 15,Nom candidat 15,Liste 15,Nombre de voix 15,Nuance 16,Prénom candidat 16,Nom candidat 16,Liste 16,Nombre de voix 16,Nuance 17,Prénom candidat 17,Nom candidat 17,Liste 17,Nombre de voix 17,Nuance 18,Prénom candidat 18,Nom candidat 18,Liste 18,Nombre de voix 18,Nuance 19,Prénom candidat 19,Nom candidat 19,Liste 19,Nombre de voix 19,Nuance 20,Prénom candidat 20,Nom candidat 20,Liste 20,Nombre de voix 20,Nuance 21,Prénom candidat 21,Nom candidat 21,Liste 22,Nombre de voix 22,Nuance 22,Prénom candidat 22,Nom candidat 22,Liste 22,Nombre de voix 22
82,RHONE-ALPES,1,AIN,1,77505,39916,38016,1900,"51,5",EXG,YVES,PETIOT,LUTTE OUVRIERE,1451,SOC-COM-ECO,DOMINIQUE,SAINT-PIERRE,"TETE DE LISTE SOC, UNION SOC-COM-ECO",13471,DVG,ALAIN,COQUARD,INITIATIVE REPUBLICAINE,711,RPR-UDF,GERARD,ARMAND,"TETE DE LISTE RPR, UNION RPR-UDF",12780,DVD,LUC,BILLARD,CENTRE NATIONAL DES INDEPENDANTS,1035,DVD,JACKY,GARNIER,TERROIR 2000,1817,FRN,ANDRE,CLAVEL,FRONT NATIONAL,5931,DIV,BERNARD,PRIGENT,LISTE FEDERALISTE DE L'AIN,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,1,AIN,2,77670,40644,38967,1677,"52,33",EXG,YVES,PETIOT,LUTTE OUVRIERE,1850,SOC-COM-ECO,DOMINIQUE,SAINT-PIERRE,"TETE DE LISTE SOC, UNION SOC-COM-ECO",11582,DVG,ALAIN,COQUARD,INITIATIVE REPUBLICAINE,486,RPR-UDF,GERARD,ARMAND,"TETE DE LISTE RPR, UNION RPR-UDF",12192,DVD,LUC,BILLARD,CENTRE NATIONAL DES INDEPENDANTS,721,DVD,JACKY,GARNIER,TERROIR 2000,1806,FRN,ANDRE,CLAVEL,FRONT NATIONAL,9448,DIV,BERNARD,PRIGENT,LISTE FEDERALISTE DE L'AIN,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,1,AIN,3,74352,39566,37729,1837,"53,21",EXG,YVES,PETIOT,LUTTE OUVRIERE,1653,SOC-COM-ECO,DOMINIQUE,SAINT-PIERRE,"TETE DE LISTE SOC, UNION SOC-COM-ECO",11519,DVG,ALAIN,COQUARD,INITIATIVE REPUBLICAINE,349,RPR-UDF,GERARD,ARMAND,"TETE DE LISTE RPR, UNION RPR-UDF",14963,DVD,LUC,BILLARD,CENTRE NATIONAL DES INDEPENDANTS,832,DVD,JACKY,GARNIER,TERROIR 2000,1855,FRN,ANDRE,CLAVEL,FRONT NATIONAL,5707,DIV,BERNARD,PRIGENT,LISTE FEDERALISTE DE L'AIN,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,RHONE-ALPES,1,AIN,4,90773,47612,45165,2447,"52,45",EXG,YVES,PETIOT,LUTTE OUVRIERE,1857,SOC-COM-ECO,DOMINIQUE,SAINT-PIERRE,"TETE DE LISTE SOC, UNION SOC-COM-ECO",13765,DVG,ALAIN,COQUARD,INITIATIVE REPUBLICAINE,1033,RPR-UDF,GERARD,ARMAND,"TETE DE LISTE RPR, UNION RPR-UDF",13982,DVD,LUC,BILLARD,CENTRE NATIONAL DES INDEPENDANTS,1259,DVD,JACKY,GARNIER,TERROIR 2000,3386,FRN,ANDRE,CLAVEL,FRONT NATIONAL,8647,DIV,BERNARD,PRIGENT,LISTE FEDERALISTE DE L'AIN,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,1,69803,42233,40482,1751,"60,5",EXG,DOMINIQUE,PICQUEUR,LUTTE OUVRIERE,3645,COM-SOC-autreG,GERARD,LALOT,"TETE DE LISTE COM, UNION COM-SOC-MDC",13295,ECO,CATHERINE,ARRIBAS,LES VERTS,2315,ECO,JACQUES,SAMYN,MOUVEMENT ECOLOGISTE INDEPENDANT,1328,UDF-RPR,CHARLES,BAUR,"TETE DE LISTE UDF, UNION UDF-RPR",12055,FRN,WALLERAND,DE SAINT-JUST,FRONT NATIONAL,5889,DIV,ALAIN,BETEMS,"CHASSE, PECHE, NATURE ET TRADITIONS",1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,2,74656,46571,44638,1933,"62,38",EXG,DOMINIQUE,PICQUEUR,LUTTE OUVRIERE,2935,COM-SOC-autreG,GERARD,LALOT,"TETE DE LISTE COM, UNION COM-SOC-MDC",14327,ECO,CATHERINE,ARRIBAS,LES VERTS,1881,ECO,JACQUES,SAMYN,MOUVEMENT ECOLOGISTE INDEPENDANT,1095,UDF-RPR,CHARLES,BAUR,"TETE DE LISTE UDF, UNION UDF-RPR",15566,FRN,WALLERAND,DE SAINT-JUST,FRONT NATIONAL,7117,DIV,ALAIN,BETEMS,"CHASSE, PECHE, NATURE ET TRADITIONS",1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,3,74071,48070,45025,3045,"64,9",EXG,DOMINIQUE,PICQUEUR,LUTTE OUVRIERE,4250,COM-SOC-autreG,GERARD,LALOT,"TETE DE LISTE COM, UNION COM-SOC-MDC",15188,ECO,CATHERINE,ARRIBAS,LES VERTS,2016,ECO,JACQUES,SAMYN,MOUVEMENT ECOLOGISTE INDEPENDANT,1362,UDF-RPR,CHARLES,BAUR,"TETE DE LISTE UDF, UNION UDF-RPR",12676,FRN,WALLERAND,DE SAINT-JUST,FRONT NATIONAL,7344,DIV,ALAIN,BETEMS,"CHASSE, PECHE, NATURE ET TRADITIONS",2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,4,76569,44114,42297,1817,"57,61",EXG,DOMINIQUE,PICQUEUR,LUTTE OUVRIERE,2988,COM-SOC-autreG,GERARD,LALOT,"TETE DE LISTE COM, UNION COM-SOC-MDC",15770,ECO,CATHERINE,ARRIBAS,LES VERTS,2091,ECO,JACQUES,SAMYN,MOUVEMENT ECOLOGISTE INDEPENDANT,1142,UDF-RPR,CHARLES,BAUR,"TETE DE LISTE UDF, UNION UDF-RPR",11069,FRN,WALLERAND,DE SAINT-JUST,FRONT NATIONAL,7551,DIV,ALAIN,BETEMS,"CHASSE, PECHE, NATURE ET TRADITIONS",1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PICARDIE,2,AISNE,5,73704,44963,43011,1952,61,EXG,DOMINIQUE,PICQUEUR,LUTTE OUVRIERE,2847,COM-SOC-autreG,GERARD,LALOT,"TETE DE LISTE COM, UNION COM-SOC-MDC",12337,ECO,CATHERINE,ARRIBAS,LES VERTS,2389,ECO,JACQUES,SAMYN,MOUVEMENT ECOLOGISTE INDEPENDANT,1555,UDF-RPR,CHARLES,BAUR,"TETE DE LISTE UDF, UNION UDF-RPR",13397,FRN,WALLERAND,DE SAINT-JUST,FRONT NATIONAL,8884,DIV,ALAIN,BETEMS,"CHASSE, PECHE, NATURE ET TRADITIONS",1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,AUVERGNE,3,ALLIER,1,58809,35891,33939,1952,"61,03",COM-SOC,PIERRE,GOLDBERG,"TETE DE LISTE COM, UNION COM-SOC",13792,ECO,BERNARD,DEVOUCOUX,LES VERTS,1727,RPR-UDF,PIERRE-ANDRE,PERISSOL,"TETE DE LISTE RPR, UNION RPR-UDF",13511,DVD,CLAUDE,BONNET,ALLIER 2000 - UDF DISSIDENT,932,FRN,JACQUES,MAYADOUX,FRONT NATIONAL,3010,DIV,CLAUDE,CHEZEAU,"CHASSE, PECHE, NATURE ET TRADITIONS",967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,AUVERGNE,3,ALLIER,2,67282,39861,38019,1842,"59,24",COM-SOC,PIERRE,GOLDBERG,"TETE DE LISTE COM, UNION COM-SOC",20313,ECO,BERNARD,DEVOUCOUX,LES VERTS,2107,RPR-UDF,PIERRE-ANDRE,PERISSOL,"TETE DE LISTE RPR, UNION RPR-UDF",10100,DVD,CLAUDE,BONNET,ALLIER 2000 - UDF DISSIDENT,1475,FRN,JACQUES,MAYADOUX,FRONT NATIONAL,3181,DIV,CLAUDE,CHEZEAU,"CHASSE, PECHE, NATURE ET TRADITIONS",843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
