Numéro de département,Département,Numéro de commune,Nom de commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Radicaux gauche,Divers gauche,Ecolo,UDF,RPR,Droite Unie : RPR-UDF,Divers droite,Divers,Front national
1,AIN,4,Ambérieu-en-Bugey,6093,4432,4275,0,451,1417,0,0,187,1263,520,0,0,0,437
1,AIN,33,Bellegarde-sur-Valserine,5774,4233,4068,0,627,1179,0,0,123,899,839,0,0,0,401
1,AIN,53,Bourg-en-Bresse,21752,16526,16047,0,993,5678,0,0,674,4519,2914,0,0,0,1269
1,AIN,283,Oyonnax,10811,7641,7330,0,766,1689,0,0,200,1629,2200,0,0,0,846
2,AISNE,168,Château-Thierry,8859,6302,6102,0,872,1960,0,0,254,0,0,2522,0,0,494
2,AISNE,173,Chauny,8681,6254,5970,0,1213,1766,0,0,214,0,0,2196,0,0,581
2,AISNE,381,Hirson,7599,5564,5136,0,989,1600,0,0,252,0,0,1877,0,0,418
2,AISNE,408,Laon,16383,12357,11935,0,1079,4517,0,0,594,0,0,4961,0,0,784
2,AISNE,691,Saint-Quentin,38010,29766,28514,0,5084,8890,0,0,1115,0,0,10427,0,0,2998
2,AISNE,722,Soissons,17067,12625,12242,0,1081,4812,0,0,357,0,0,5053,0,0,939
2,AISNE,738,Tergnier,8715,6659,6359,0,1410,2421,0,0,227,0,0,1849,0,0,452
3,ALLIER,82,Commentry,6242,4625,4280,0,1151,1428,133,0,106,0,0,1309,0,0,153
3,ALLIER,95,Cusset,9963,7691,7309,0,1423,1790,724,0,196,0,0,2503,0,0,673
3,ALLIER,185,Montluçon,32653,25661,24301,0,7089,5782,717,0,550,0,0,8687,0,0,1476
3,ALLIER,190,Moulins,14651,11178,10725,0,1496,2661,330,0,337,0,0,5067,0,0,834
3,ALLIER,310,Vichy,20257,15244,14677,0,1166,3243,854,0,344,0,0,7283,0,0,1787
3,ALLIER,321,Yzeure,9413,7394,7043,0,1171,2319,184,0,218,0,0,2761,0,0,390
4,ALPES DE HAUTE PROVENCE,70,Digne-les-Bains,10249,8051,7750,0,780,2398,0,0,0,447,3510,0,0,0,615
4,ALPES DE HAUTE PROVENCE,112,Manosque,12811,10024,9585,0,1082,2958,0,0,0,1667,2225,0,0,0,1653
5,HAUTES ALPES,23,Briançon,6480,4946,4754,0,441,1269,369,0,0,0,0,2308,0,0,367
5,HAUTES ALPES,61,Gap,20481,16368,15669,0,1033,3737,2500,0,0,0,0,7074,0,0,1325
6,ALPES MARITIMES,4,Antibes,44286,34428,33468,0,1750,7226,0,0,1135,0,0,14833,0,0,8524
6,ALPES MARITIMES,12,Beausoleil,9434,7325,7040,0,1013,1555,0,0,231,0,0,2963,0,0,1278
6,ALPES MARITIMES,27,Cagnes-sur-Mer,24500,19341,18680,0,1271,4163,0,0,643,0,0,7945,0,0,4658
6,ALPES MARITIMES,29,Cannes,48974,39900,38751,0,2277,8661,0,0,1308,0,0,16416,0,0,10089
6,ALPES MARITIMES,30,Le Cannet,26202,19949,19286,0,1120,4475,0,0,655,0,0,8239,0,0,4797
6,ALPES MARITIMES,69,Grasse,22798,18168,17545,0,2023,3693,0,0,778,0,0,7388,0,0,3663
6,ALPES MARITIMES,79,Mandelieu-la-Napoule,9964,8186,7914,0,446,1659,0,0,240,0,0,3535,0,0,2034
6,ALPES MARITIMES,83,Menton,19890,16015,15191,0,1211,3544,0,0,553,0,0,5951,0,0,3932
6,ALPES MARITIMES,85,Mougins,7280,6079,5873,0,328,1130,0,0,210,0,0,2850,0,0,1355
6,ALPES MARITIMES,88,Nice,232470,175224,169130,0,15471,39363,0,0,5136,0,0,73489,0,0,35671
