Numéro de département,Département,Numéro de commune,Nom de commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Radicaux gauche,Divers gauche,Ecolo,UDF,RPR,Droite Unie : RPR-UDF,Divers droite,Divers,Front national
6,ALPES MARITIMES,104,Roquebrune-Cap-Martin,8634,6671,6403,0,376,1411,0,0,245,0,0,3020,0,0,1351
6,ALPES MARITIMES,123,Saint-Laurent-du-Var,14214,11433,11032,0,782,2693,0,0,398,0,0,4444,0,0,2715
6,ALPES MARITIMES,155,Vallauris,13757,10867,10414,0,1229,2369,0,0,372,0,0,3771,0,0,2673
6,ALPES MARITIMES,157,Vence,9478,7410,7098,0,458,1625,0,0,281,0,0,3311,0,0,1423
7,ARDECHE,10,Annonay,12471,9183,8812,0,1036,2709,0,0,250,1385,2671,0,62,0,699
7,ARDECHE,19,Aubenas,7353,5668,5474,0,405,1629,0,0,127,1259,1093,0,373,0,588
7,ARDECHE,102,Guilherand-Granges,6804,5350,5157,0,295,1773,0,0,168,771,1535,0,83,0,532
7,ARDECHE,186,Privas,5853,4402,4290,0,328,1205,0,0,105,2011,325,0,38,0,278
7,ARDECHE,324,Tournon-sur-Rhône,6157,4685,4516,0,347,1475,0,0,152,863,1250,0,75,0,354
8,ARDENNES,105,Charleville-Mézières,31714,23798,22796,0,3347,8042,0,0,0,0,0,9069,0,0,2338
8,ARDENNES,363,Revin,5595,4223,4055,0,840,1619,0,0,0,0,0,1233,0,0,363
8,ARDENNES,409,Sedan,12442,9081,8717,0,1181,3041,0,0,0,0,0,3709,0,0,786
9,ARIEGE,122,Foix,6116,5025,4892,0,464,1778,0,931,0,0,0,1514,0,0,205
9,ARIEGE,225,Pamiers,9297,7680,7383,0,1426,1652,0,1200,0,0,0,2645,0,0,460
10,AUBE,81,La Chapelle-Saint-Luc,7524,5030,4881,0,577,1872,0,0,0,0,0,1612,289,0,531
10,AUBE,323,Romilly-sur-Seine,10854,7699,7351,0,2366,1559,0,0,0,0,0,2472,306,0,648
10,AUBE,333,Saint-André-les-Vergers,7408,5386,5217,0,389,1753,0,0,0,0,0,2056,515,0,504
10,AUBE,362,Sainte-Savine,7091,5241,5059,0,465,1712,0,0,0,0,0,1823,565,0,494
10,AUBE,387,Troyes,35327,24080,23269,0,2296,7047,0,0,0,0,0,9487,2057,0,2382
11,AUDE,69,Carcassonne,27273,22509,21573,0,2587,7072,0,0,504,0,0,8708,885,184,1633
11,AUDE,76,Castelnaudary,7702,6409,6111,0,399,2080,0,0,97,0,0,2881,225,58,371
11,AUDE,206,Limoux,6711,5526,5284,0,707,2128,0,0,133,0,0,1606,313,52,345
11,AUDE,262,Narbonne,28623,23112,22326,0,2687,5618,0,0,388,0,0,1127,10636,195,1675
12,AVEYRON,145,Millau,15671,12776,12181,0,1221,4837,0,0,0,0,0,4947,257,0,919
12,AVEYRON,176,Onet-le-Château,5391,4571,4374,0,263,1686,0,0,0,0,0,1933,221,0,271
12,AVEYRON,202,Rodez,14633,11548,11077,0,517,3485,0,0,0,0,0,5814,651,0,610
12,AVEYRON,300,Villefranche-de-Rouergue,8464,6704,6325,0,292,2898,0,0,0,0,0,2158,562,0,415
13,BOUCHES DU RHONE,1,Aix-en-Provence,73350,55652,54298,281,3073,15761,0,0,1391,13219,5450,0,3033,125,11965
13,BOUCHES DU RHONE,2,Allauch,10785,8732,8480,46,1130,2361,0,0,186,1944,653,0,229,28,1903
13,BOUCHES DU RHONE,4,Arles,32364,25458,24514,217,5634,5712,0,0,442,3258,3878,0,1144,84,4145
13,BOUCHES DU RHONE,5,Aubagne,24963,19382,18752,154,4863,2922,0,0,512,3998,1370,0,617,56,4260
13,BOUCHES DU RHONE,14,Berre-l'Etang,6683,5055,4742,43,1546,1049,0,0,95,602,379,0,111,15,902
13,BOUCHES DU RHONE,26,Châteauneuf-les-Martigues,7258,5923,5754,52,674,2273,0,0,144,859,391,0,206,21,1134
13,BOUCHES DU RHONE,27,Châteaurenard,7689,6068,5769,84,810,1200,0,0,156,1040,1082,0,247,27,1123
13,BOUCHES DU RHONE,28,La Ciotat,21358,17223,16668,149,3507,3057,0,0,495,3487,1519,0,559,62,3833
13,BOUCHES DU RHONE,39,Fos-sur-Mer,6449,5168,4910,62,962,1420,0,0,124,833,447,0,177,34,851
13,BOUCHES DU RHONE,41,Gardanne,10880,8250,7904,80,2027,1618,0,0,141,1240,822,0,340,21,1615
13,BOUCHES DU RHONE,47,Istres,18514,15026,14349,140,1542,5230,0,0,367,2543,1205,0,694,73,2555
13,BOUCHES DU RHONE,54,Marignane,19275,14392,13937,135,1501,2903,0,0,289,3875,918,0,512,49,3755
13,BOUCHES DU RHONE,55,Marseille,496896,353078,343729,2037,47420,85580,0,0,5957,85279,22292,0,8109,1193,85862
13,BOUCHES DU RHONE,56,Martigues,25568,20200,19559,223,5375,4308,0,0,479,2885,1558,0,844,55,3832
13,BOUCHES DU RHONE,63,Miramas,13104,10268,9872,126,2383,2007,0,0,249,1596,886,0,316,42,2267
13,BOUCHES DU RHONE,71,Les Pennes-Mirabeau,12480,9575,9304,52,1602,2601,0,0,211,1540,611,0,322,30,2335
13,BOUCHES DU RHONE,77,Port-de-Bouc,10950,8369,8092,103,3625,1343,0,0,152,652,504,0,210,24,1479
13,BOUCHES DU RHONE,78,Port-Saint-Louis-du-Rhône,6036,4883,4625,69,2269,572,0,0,79,407,321,0,103,21,784
13,BOUCHES DU RHONE,81,Rognac,6229,4935,4787,38,670,1324,0,0,208,731,457,0,289,16,1054
13,BOUCHES DU RHONE,97,Saint-Martin-de-Crau,6214,5091,4938,61,605,1750,0,0,115,786,624,0,238,17,742
13,BOUCHES DU RHONE,103,Salon-de-Provence,22368,17998,17320,143,1186,4423,0,0,482,4484,1938,0,748,59,3857
13,BOUCHES DU RHONE,106,Septèmes-les-Vallons,6606,5314,5100,31,1519,1024,0,0,98,678,290,0,148,8,1304
13,BOUCHES DU RHONE,108,Tarascon,7714,6063,5814,68,639,1641,0,0,110,1309,541,0,182,19,1305
13,BOUCHES DU RHONE,117,Vitrolles,13977,10670,10382,81,1355,2618,0,0,206,1568,996,0,664,42,2852
14,CALVADOS,47,Bayeux,9377,6795,6451,0,395,2005,0,130,320,0,0,3208,0,0,393
14,CALVADOS,118,Caen,67135,47483,46141,0,2491,15497,0,2629,1957,0,0,20651,0,0,2916
14,CALVADOS,327,Hérouville-Saint-Clair,12439,8649,8344,0,836,3843,0,433,449,0,0,2258,0,0,525
14,CALVADOS,366,Lisieux,15097,11380,10715,0,781,3300,0,257,454,0,0,5192,0,0,731
14,CALVADOS,437,Mondeville,6508,4864,4677,0,617,2179,0,151,179,0,0,1317,0,0,234
14,CALVADOS,762,Vire,9085,6942,6484,0,345,1946,0,199,252,0,0,3416,0,0,326
15,CANTAL,14,Aurillac,18959,15742,15221,0,1185,6578,0,0,0,0,0,6905,0,0,553
16,CHARENTE,15,Angoulême,28166,21073,20357,430,1682,7387,0,606,0,0,0,8925,0,0,1327
16,CHARENTE,102,Cognac,12965,9353,9012,194,560,2725,0,200,0,0,0,4787,0,0,546
16,CHARENTE,374,Soyaux,6559,4762,4577,131,518,1656,0,143,0,0,0,1798,0,0,331
17,CHARENTE MARITIME,299,Rochefort,16601,11410,10908,0,1018,3397,0,0,0,0,0,4319,1304,0,870
17,CHARENTE MARITIME,300,La Rochelle,44208,32355,31165,0,4389,10880,0,0,0,0,0,9025,4481,0,2390
17,CHARENTE MARITIME,306,Royan,13654,10032,9707,0,654,2666,0,0,0,0,0,3038,2465,0,884
17,CHARENTE MARITIME,415,Saintes,17890,13174,12650,0,1744,4748,0,0,0,0,0,3762,1538,0,858
18,CHER,33,Bourges,46753,35400,34238,274,12225,4829,0,0,564,0,0,13296,828,0,2222
18,CHER,197,Saint-Amand-Montrond,8590,6399,6044,136,976,1532,0,0,104,0,0,2695,209,0,392
18,CHER,279,Vierzon,22020,16268,15552,272,5045,3847,0,0,256,0,0,4242,818,0,1072
19,CORREZE,31,Brive-la-Gaillarde,32662,27265,26201,0,4001,8019,0,0,0,0,0,12488,0,0,1693
19,CORREZE,272,Tulle,12473,10178,9826,0,2780,2143,0,0,0,0,0,4574,0,0,329
19,CORREZE,275,Ussel,7242,5965,5698,0,770,1509,0,0,0,0,0,3150,0,0,269
2A,CORSE SUD,4,Ajaccio,26675,20760,20312,0,1979,0,2755,1023,0,0,0,6954,2996,2291,2314
2B,HAUTE CORSE,33,Bastia,20893,15493,15103,0,1726,1428,2553,1776,0,1249,1722,0,2263,1459,927
21,COTE D'OR,54,Beaune,11956,8849,8531,145,332,2123,230,0,207,0,0,4034,428,0,1032
21,COTE D'OR,166,Chenôve,10208,6919,6666,157,630,2510,211,0,213,0,0,1868,371,0,706
21,COTE D'OR,231,Dijon,76898,56762,55400,664,2920,15872,1291,0,1440,0,0,25208,3049,0,4956
21,COTE D'OR,617,Talant,6911,5551,5396,59,244,1752,116,0,178,0,0,2176,378,0,493
22,COTES D'ARMOR,50,Dinan,7872,6153,5860,76,276,1888,0,0,0,2499,709,0,0,115,297
22,COTES D'ARMOR,93,Lamballe,6993,5892,5529,109,282,2101,0,0,0,1526,1182,0,0,132,197
22,COTES D'ARMOR,113,Lannion,11417,9092,8720,172,834,3158,0,0,0,3329,559,0,0,349,319
22,COTES D'ARMOR,136,Loudéac,6638,5531,5286,141,322,2030,0,0,0,1587,929,0,0,125,152
22,COTES D'ARMOR,187,Plérin,8554,6882,6565,137,903,2336,0,0,0,1128,1531,0,0,171,359
22,COTES D'ARMOR,215,Ploufragan,6841,5735,5506,132,1152,1860,0,0,0,708,1340,0,0,114,200
22,COTES D'ARMOR,278,Saint-Brieuc,32875,25792,24833,406,2729,9671,0,0,0,5411,4725,0,0,630,1261
23,CREUSE,96,Guéret,9646,7691,7363,0,905,2696,0,0,0,0,0,3213,272,0,277
24,DORDOGNE,37,Bergerac,19351,15645,14773,242,1283,5090,0,301,0,0,0,6105,240,0,1512
24,DORDOGNE,322,Périgueux,21914,17166,16337,291,2168,4294,0,383,0,0,0,7997,146,0,1058
24,DORDOGNE,520,Sarlat-la-Canéda,7060,5764,5438,173,997,1522,0,211,0,0,0,2184,45,0,306
25,DOUBS,31,Audincourt,8917,6374,6085,180,1060,1762,0,0,260,0,0,1948,130,0,745
25,DOUBS,56,Besançon,61473,45639,44424,483,1908,16260,0,0,2560,0,0,16198,2121,0,4894
25,DOUBS,57,Bethoncourt,3502,2488,2382,84,463,711,0,0,98,0,0,691,53,0,282
25,DOUBS,388,Montbéliard,15342,12227,11825,254,739,4052,0,0,530,0,0,4730,344,0,1176
25,DOUBS,462,Pontarlier,11159,8507,8195,128,455,2717,0,0,418,0,0,3254,427,0,796
25,DOUBS,580,Valentigney,7593,5654,5419,126,489,1901,0,0,230,0,0,1948,188,0,537
26,DROME,58,Bourg-lès-Valence,10893,8550,8259,0,698,3170,107,0,0,0,0,2544,700,0,1040
26,DROME,198,Montélimar,17639,14432,13938,0,1042,4870,177,0,0,0,0,5130,927,0,1792
26,DROME,235,Pierrelatte,7205,5685,5463,0,362,1632,72,0,0,0,0,1744,670,0,983
26,DROME,281,Romans-sur-Isère,19709,14086,13618,0,1263,4360,451,0,0,0,0,2876,3036,0,1632
26,DROME,362,Valence,37704,28765,27846,0,1963,9984,431,0,0,0,0,9611,2289,0,3568
27,EURE,56,Bernay,6963,5219,4978,0,327,1694,0,0,239,1952,424,0,0,0,342
27,EURE,229,Evreux,27552,18819,18065,0,2169,5769,0,0,834,4867,2881,0,0,0,1545
27,EURE,375,Louviers,11020,7978,7509,0,520,3103,0,0,266,1868,1102,0,0,0,650
27,EURE,467,Pont-Audemer,5685,4257,4012,0,393,1524,0,0,144,1347,324,0,0,0,280
27,EURE,681,Vernon,13491,10236,9816,0,696,2977,0,0,345,1174,3634,0,0,0,990
28,EURE ET LOIR,85,Chartres,21529,16787,16235,0,898,6782,0,0,0,0,1644,0,5532,0,1379
28,EURE ET LOIR,88,Châteaudun,9238,7203,6873,0,825,1823,0,0,0,0,337,0,3400,0,488
28,EURE ET LOIR,134,Dreux,15347,11050,10535,0,791,3742,0,0,0,0,798,0,3573,0,1631
28,EURE ET LOIR,218,Lucé,11416,8080,7587,0,539,3369,0,0,0,0,791,0,1985,0,903
28,EURE ET LOIR,229,Mainvilliers,5984,4382,4184,0,310,1981,0,0,0,0,353,0,1190,0,350
28,EURE ET LOIR,280,Nogent-le-Rotrou,8406,6861,6466,0,299,2474,0,0,0,0,309,0,3015,0,369
28,EURE ET LOIR,404,Vernouillet,5746,4248,4044,0,238,1593,0,0,0,0,298,0,1212,0,703
29,FINISTERE,19,Brest,97280,70928,69312,0,4989,26093,0,0,1654,0,0,21563,8749,1236,5028
29,FINISTERE,39,Concarneau,14367,10467,10198,0,1198,4007,0,0,327,0,0,2717,1247,139,563
29,FINISTERE,46,Douarnenez,13565,10184,9886,0,931,3404,0,0,295,0,0,3128,1255,236,637
29,FINISTERE,75,Guipavas,7828,6264,6116,0,285,1973,0,0,155,0,0,2304,974,72,353
29,FINISTERE,103,Landerneau,9545,7673,7496,0,373,2776,0,0,196,0,0,2630,1016,165,340
29,FINISTERE,151,Morlaix,11555,8712,8516,0,741,3157,0,0,252,0,0,2831,824,356,355
29,FINISTERE,189,Plougastel-Daoulas,7547,5739,5620,0,200,1621,0,0,171,0,0,1941,1275,116,296
29,FINISTERE,232,Quimper,37200,29573,28990,0,1835,11010,0,0,1173,0,0,6222,6779,566,1405
29,FINISTERE,233,Quimperlé,7777,5985,5807,0,442,2660,0,0,159,0,0,1579,656,70,241
29,FINISTERE,235,Le Relecq-Kerhuon,7472,5756,5620,0,659,2067,0,0,150,0,0,1653,663,92,336
30,GARD,7,Alès,28555,22211,21020,0,6048,4432,0,0,0,3409,4278,0,0,0,2853
30,GARD,28,Bagnols-sur-Cèze,11783,8899,8499,0,948,3176,0,0,0,1395,1642,0,0,0,1338
30,GARD,32,Beaucaire,8339,6668,6366,0,1459,1176,0,0,0,1525,525,0,0,0,1681
30,GARD,189,Nîmes,78127,59247,57015,0,10978,14494,0,0,0,16485,6545,0,0,0,8513
30,GARD,258,Saint-Gilles,6720,5293,5061,0,842,1147,0,0,0,1217,510,0,0,0,1345
30,GARD,341,Vauvert,5881,4708,4472,0,846,1287,0,0,0,974,442,0,0,0,923
30,GARD,351,Villeneuve-lès-Avignon,6666,5515,5291,0,349,1632,0,0,0,1169,1219,0,0,0,922
31,HAUTE GARONNE,69,Blagnac,10215,8421,8193,54,754,3171,0,44,210,0,528,0,2811,87,534
31,HAUTE GARONNE,149,Colomiers,14922,12011,11637,105,885,5184,0,50,285,0,707,0,3538,149,734
31,HAUTE GARONNE,157,Cugnaux,6185,5132,4918,44,352,1795,0,15,117,0,364,0,1843,39,349
31,HAUTE GARONNE,395,Muret,9958,7931,7625,66,406,2301,0,169,166,0,443,0,3330,68,676
31,HAUTE GARONNE,446,Ramonville-Saint-Agne,7113,5751,5635,37,306,2185,0,29,178,0,350,0,2213,50,287
31,HAUTE GARONNE,483,Saint-Gaudens,8885,6387,6091,33,271,1929,0,22,126,0,668,0,2660,51,331
31,HAUTE GARONNE,555,Toulouse,202359,148393,143140,1009,10955,46136,0,647,2756,0,6944,0,63186,1294,10213
31,HAUTE GARONNE,561,L'Union,7987,6617,6465,26,419,2234,0,16,128,0,373,0,2762,75,432
32,GERS,13,Auch,14693,11629,11132,0,915,4402,0,180,0,0,0,2533,2288,0,814
33,GIRONDE,9,Arcachon,10611,8233,7987,75,239,1882,0,261,0,0,0,4611,0,0,919
33,GIRONDE,39,Bègles,16177,11264,10905,181,3090,3512,0,341,0,0,0,3156,0,0,625
33,GIRONDE,56,Blanquefort,6502,5036,4877,65,387,1795,0,221,0,0,0,2004,0,0,405
33,GIRONDE,63,Bordeaux,121840,87346,85157,890,5315,24715,0,2767,0,0,0,43602,0,0,7868
33,GIRONDE,69,Le Bouscat,14077,11396,11101,88,793,3494,0,333,0,0,0,5525,0,0,868
33,GIRONDE,119,Cenon,12511,9201,8900,178,1300,4007,0,305,0,0,0,2372,0,0,738
33,GIRONDE,122,Cestas,9017,7672,7457,74,580,3258,0,284,0,0,0,2756,0,0,505
33,GIRONDE,162,Eysines,9199,7195,6961,91,441,2641,0,267,0,0,0,3010,0,0,511
33,GIRONDE,167,Floirac,8767,6116,5928,116,987,2531,0,237,0,0,0,1537,0,0,520
33,GIRONDE,192,Gradignan,12840,9710,9432,107,634,3255,0,464,0,0,0,4308,0,0,664
33,GIRONDE,243,Libourne,14427,11202,10789,187,469,3821,0,422,0,0,0,4934,0,0,956
33,GIRONDE,249,Lormont,9690,7283,7078,128,887,3184,0,276,0,0,0,1888,0,0,715
33,GIRONDE,281,Mérignac,34571,26008,25371,369,1711,10074,0,1074,0,0,0,10073,0,0,2070
33,GIRONDE,318,Pessac,31115,22672,22085,355,1679,7837,0,885,0,0,0,9483,0,0,1846
33,GIRONDE,449,Saint-Médard-en-Jalles,13303,11031,10674,148,673,3862,0,468,0,0,0,4707,0,0,816
33,GIRONDE,522,Talence,20592,15503,15116,141,886,5515,0,624,0,0,0,6879,0,0,1071
33,GIRONDE,529,La Teste-de-Buch,13030,10254,9825,141,499,3064,0,417,0,0,0,4750,0,0,954
33,GIRONDE,550,Villenave-d'Ornon,14688,11708,11358,169,1227,4673,0,489,0,0,0,4018,0,0,782
34,HERAULT,3,Agde,11859,9420,9097,44,1115,2027,0,0,164,791,3319,0,162,0,1475
34,HERAULT,32,Béziers,51363,37399,35766,256,5410,9096,0,0,778,5008,9230,0,810,0,5178
34,HERAULT,57,Castelnau-le-Lez,7759,6243,6076,57,324,1815,0,0,138,777,1718,0,174,0,1073
34,HERAULT,108,Frontignan,10573,8282,7881,62,1516,2373,0,0,187,1469,814,0,164,0,1296
34,HERAULT,145,Lunel,10072,7956,7634,35,989,2191,0,0,177,851,1479,0,202,0,1710
34,HERAULT,154,Mauguio,7619,6332,6100,27,562,2014,0,0,93,771,1376,0,169,0,1088
34,HERAULT,172,Montpellier,109451,80655,78658,975,4689,28044,0,0,2090,11278,14398,0,3052,0,14132
34,HERAULT,301,Sète,28928,22111,21105,165,4773,4180,0,0,399,6093,2674,0,233,0,2588
35,ILLE ET VILAINE,51,Cesson-Sévigné,7577,6208,6004,83,162,2063,44,122,286,2165,825,0,0,0,254
35,ILLE ET VILAINE,93,Dinard,7386,5737,5515,56,182,1522,20,71,145,967,2118,0,0,0,434
35,ILLE ET VILAINE,115,Fougères,17078,13208,12401,227,439,4043,46,103,317,4582,2218,0,0,0,426
35,ILLE ET VILAINE,236,Redon,6130,4820,4605,50,294,1889,13,38,163,1636,322,0,0,0,200
35,ILLE ET VILAINE,238,Rennes,111548,80404,77668,1398,3366,30888,447,1477,3321,21451,11243,0,0,0,4077
35,ILLE ET VILAINE,288,Saint-Malo,34130,25634,24358,409,855,6495,99,2083,633,7387,4895,0,0,0,1502
35,ILLE ET VILAINE,360,Vitré,9143,7331,7017,105,99,1447,54,42,218,4475,361,0,0,0,216
36,INDRE,44,Châteauroux,33207,26135,24634,0,2745,7972,0,1162,0,2532,0,0,8185,0,2038
36,INDRE,88,Issoudun,10222,8542,8138,0,941,3297,0,216,0,825,0,0,2369,0,490
37,INDRE ET LOIRE,3,Amboise,7083,5612,5309,118,296,1765,0,120,0,0,0,1713,905,0,392
37,INDRE ET LOIRE,122,Joué-lès-Tours,20264,15126,14055,215,734,4962,0,235,0,0,0,2130,4596,0,1183
37,INDRE ET LOIRE,208,Saint-Avertin,7271,5903,5660,80,296,1788,0,84,0,0,0,1261,1706,0,445
37,INDRE ET LOIRE,214,Saint-Cyr-sur-Loire,10183,7939,7643,66,265,2564,0,167,0,0,0,2006,2019,0,556
37,INDRE ET LOIRE,233,Saint-Pierre-des-Corps,11242,8089,7683,146,2503,2400,0,85,0,0,0,845,1124,0,580
37,INDRE ET LOIRE,261,Tours,77658,55354,53250,790,2848,16880,0,802,0,0,0,8034,19532,0,4364
38,ISERE,53,Bourgoin-Jallieu,13075,9421,9051,95,837,3003,0,0,312,0,0,3598,87,0,1119
38,ISERE,151,Echirolles,18624,14192,13753,132,3220,4572,0,0,528,0,0,3233,112,0,1956
38,ISERE,169,Fontaine,12849,9186,8872,149,2554,2883,0,0,345,0,0,1849,77,0,1015
38,ISERE,185,Grenoble,83565,61614,59425,475,4263,21884,0,0,2433,0,0,23502,564,0,6304
38,ISERE,229,Meylan,9973,8078,7933,30,306,2742,0,0,381,0,0,3689,124,0,661
38,ISERE,317,Le Pont-de-Claix,5694,3999,3902,46,616,1254,0,0,137,0,0,1158,42,0,649
38,ISERE,382,Saint-Egrève,9088,7278,7099,54,534,2634,0,0,451,0,0,2648,58,0,720
38,ISERE,421,Saint-Martin-d'Hères,15655,11333,11031,143,2373,4022,0,0,434,0,0,2744,65,0,1250
38,ISERE,485,Seyssinet-Pariset,7068,5364,5240,56,463,2050,0,0,257,0,0,1697,69,0,648
38,ISERE,544,Vienne,17087,13391,12977,128,751,4764,0,0,476,0,0,4922,142,0,1794
38,ISERE,553,Villefontaine,4975,3790,3704,58,300,1663,0,0,177,0,0,1007,42,0,457
38,ISERE,563,Voiron,10795,8677,8319,81,615,2833,0,0,328,0,0,3354,260,0,848
39,JURA,97,Champagnole,5785,4757,4556,0,307,1420,0,48,348,0,0,1350,792,0,291
39,JURA,198,Dole,15583,11832,11478,0,1321,3809,0,153,571,0,0,3745,771,0,1108
39,JURA,300,Lons-le-Saunier,12327,9491,9051,0,752,2742,0,94,424,0,0,3436,636,0,967
39,JURA,478,Saint-Claude,6771,5078,4888,0,326,1719,0,32,183,0,0,1750,306,0,572
40,LANDES,88,Dax,13239,9981,9463,0,410,3102,0,330,0,0,0,3867,1095,0,659
40,LANDES,192,Mont-de-Marsan,18476,14436,13836,0,683,5380,0,606,0,0,0,5282,940,0,945
40,LANDES,279,Saint-Paul lès Dax,6947,5697,5388,0,421,2568,0,237,0,0,0,1477,393,0,292
41,LOIR ET CHER,18,Blois,26646,20419,19614,0,1643,7118,0,0,0,0,0,8911,0,0,1942
41,LOIR ET CHER,194,Romorantin-Lanthenay,11061,9100,8630,0,567,3513,0,0,0,0,0,3795,0,0,755
41,LOIR ET CHER,269,Vendôme,11186,8723,8204,0,811,3249,0,0,0,0,0,3357,0,0,787
42,LOIRE,44,Le Chambon-Feugerolles,9772,6918,6700,102,1589,1425,32,0,155,0,0,1147,1016,0,1234
42,LOIRE,95,Firminy,14799,10636,10328,77,4100,1598,56,0,243,0,0,2420,530,0,1304
42,LOIRE,147,Montbrison,8654,6689,6329,124,303,1550,56,0,235,0,0,3271,276,0,514
42,LOIRE,183,La Ricamarie,6368,4434,4280,48,1601,671,29,0,111,0,0,775,246,0,799
42,LOIRE,186,Rive-de-Gier,8167,6299,6066,86,1581,1660,45,0,168,0,0,1523,301,0,702
42,LOIRE,187,Roanne,28875,20182,19335,330,2570,5830,192,0,631,0,0,6203,1956,0,1623
42,LOIRE,189,Roche-la-Molière,5863,4347,4233,56,582,1221,37,0,106,0,0,1358,341,0,532
42,LOIRE,207,Saint-Chamond,23635,18118,17538,222,1302,5652,127,0,699,0,0,6252,763,0,2521
42,LOIRE,218,Saint-Etienne,122706,84881,83278,715,11090,22043,677,0,2953,0,0,27537,6876,0,11387
42,LOIRE,279,Saint-Just-Saint-Rambert,7073,5312,5123,63,446,1268,56,0,192,0,0,2008,262,0,828
43,HAUTE LOIRE,157,Le Puy-en-Velay,12178,9646,9282,0,448,2547,0,0,0,0,0,4488,874,0,925
44,LOIRE ATLANTIQUE,20,Bouguenais,9024,6911,6656,222,505,3269,79,0,272,0,0,1984,0,0,325
44,LOIRE ATLANTIQUE,26,Carquefou,6812,5399,5186,128,166,1653,82,0,201,0,0,2655,0,0,301
44,LOIRE ATLANTIQUE,35,La Chapelle-sur-Erdre,8427,6712,6455,181,186,2679,102,0,247,0,0,2610,0,0,450
44,LOIRE ATLANTIQUE,36,Châteaubriant,9281,7435,7029,312,388,2480,80,0,253,0,0,3080,0,0,436
