,region,revenue
0,Auvergne-Rhône-Alpes,19137.2142857143
1,Bourgogne-Franche-Comté,18557.3571428571
2,Bretagne,18090.5714285714
3,Centre-Val de Loire,18851.7857142857
4,Corse,17302.7857142857
5,DOM,12626.4285714286
6,France (France métropolitaine+DOM+Hors territoire) ,18863.7142857143
7,France métropolitaine,19048.6428571429
8,France métropolitaine hors Ile-de-France,18170.2142857143
9,Grand Est,18004.3571428571
10,Guadeloupe,12995.8571428571
11,Guyane,9535.5
12,Hauts-de-France,16549.5
13,Hors territoire,
14,Ile-de-France,22849
15,La Réunion,14336.4285714286
16,Martinique,14461.0714285714
17,Mayotte,4709.57142857143
18,Normandie,18154
19,Nouvelle-Aquitaine,18387.8571428571
20,Occitanie,17712.1428571429
21,Pays de la Loire,17998.4285714286
22,Provence-Alpes-Côte d'Azur,18758.0714285714
