,Régions,Excédent brut et revenu mixte,Salaires et traitements bruts,Cotisations sociales des salariés et des non-salariés,Impôts               ,Prestations en espèces,Autres (1),Revenu disponible brut,year
0,Auvergne-Rhône-Alpes,3886.0,9698.0,1611.0,2083.0,5032.0,1489.0,16411.0,2002
1,Bourgogne-Franche-Comté,3825.0,8878.0,1497.0,1845.0,5180.0,1370.0,15911.0,2002
2,Bretagne,4111.0,8177.0,1437.0,1810.0,4798.0,1322.0,15161.0,2002
3,Centre-Val de Loire,3670.0,9368.0,1529.0,1965.0,5217.0,1417.0,16178.0,2002
4,Corse,3946.0,7172.0,1301.0,1681.0,4547.0,1339.0,14022.0,2002
5,Grand Est,3307.0,9703.0,1597.0,1980.0,4925.0,1384.0,15742.0,2002
6,Hauts-de-France,2787.0,8649.0,1367.0,1741.0,4455.0,1301.0,14084.0,2002
7,Ile-de-France,4679.0,14638.0,2146.0,3791.0,4843.0,2078.0,20301.0,2002
8,Normandie,3392.0,8852.0,1465.0,1812.0,5058.0,1364.0,15389.0,2002
9,Nouvelle-Aquitaine,4062.0,8439.0,1465.0,1853.0,5109.0,1357.0,15649.0,2002
10,Occitanie,3873.0,8070.0,1414.0,1813.0,5010.0,1338.0,15064.0,2002
11,Pays de la Loire,3579.0,8703.0,1489.0,1812.0,4940.0,1353.0,15274.0,2002
12,Provence-Alpes-Côte d'Azur,3995.0,8943.0,1502.0,2199.0,5264.0,1620.0,16121.0,2002
13,France métropolitaine,3854.0,9971.0,1614.0,2265.0,4950.0,1525.0,16421.0,2002
14,France métropolitaine hors Ile-de-France,3663.0,8895.0,1492.0,1912.0,4975.0,1397.0,15526.0,2002
15,DOM,2557.0,5950.0,485.0,636.0,2525.0,160.0,10071.0,2002
16,Guadeloupe,1964.0,6205.0,466.0,779.0,2694.0,150.0,9768.0,2002
17,Martinique,2795.0,7368.0,634.0,1025.0,2635.0,478.0,11617.0,2002
18,Guyane,2511.0,5168.0,464.0,728.0,1630.0,427.0,8544.0,2002
19,La Réunion,3119.0,6125.0,509.0,450.0,3115.0,-33.0,11367.0,2002
20,Mayotte,864.0,1916.0,78.0,97.0,98.0,10.0,2713.0,2002
21,Hors territoire,,,,,,,,2002
22,France (France métropolitaine+DOM+Hors territoire) ,3814.0,9862.0,1582.0,2215.0,4882.0,1484.0,16245.0,2002
23,Auvergne-Rhône-Alpes,3993.0,9848.0,1674.0,2150.0,5234.0,1478.0,16729.0,2003
24,Bourgogne-Franche-Comté,3899.0,9082.0,1562.0,1915.0,5388.0,1386.0,16278.0,2003
