region,year,election,Votants,socialcontribution,grosssalary,Total,Metric,participation
Auvergne-Rhône-Alpes,2002,legislative,570620.6282051282,1611.0,16411.0,7115944,Salary,8.018902737361737
Auvergne-Rhône-Alpes,2002,presidential,702293.1972222222,1611.0,16411.0,7115944,Salary,9.8692906692664
Auvergne-Rhône-Alpes,2004,cantonales,72414.78669011511,1734.0,17344.0,7231833,Salary,1.0013337792799573
Auvergne-Rhône-Alpes,2007,legislative,580283.5549806076,1928.0,19295.0,7405206,Salary,7.836156819683445
Auvergne-Rhône-Alpes,2007,presidential,1051058.151190476,1928.0,19295.0,7405206,Salary,14.193503208289899
Auvergne-Rhône-Alpes,2008,cantonales,73896.61661955762,1960.0,19746.0,7459092,Salary,0.9906918512274366
Auvergne-Rhône-Alpes,2011,cantonales,53913.39872180735,1998.0,20370.0,7634223,Salary,0.7062067576727501
Auvergne-Rhône-Alpes,2012,legislative,575682.6876984128,2086.0,20448.0,7695264,Salary,7.480999842220005
Auvergne-Rhône-Alpes,2012,presidential,809061.4547619049,2086.0,20448.0,7695264,Salary,10.513758264328617
Bourgogne-Franche-Comté,2002,legislative,320118.44848484854,1497.0,15911.0,2749892,Salary,11.641128032840873
Bourgogne-Franche-Comté,2002,presidential,388775.18333333335,1497.0,15911.0,2749892,Salary,14.13783462526286
Bourgogne-Franche-Comté,2004,cantonales,35075.86269148103,1623.0,16928.0,2762934,Salary,1.2695150405866023
Bourgogne-Franche-Comté,2007,legislative,319043.6611111111,1716.0,18764.0,2792562,Salary,11.424765541861241
Bourgogne-Franche-Comté,2007,presidential,608651.7166666667,1716.0,18764.0,2792562,Salary,21.795459390576347
Bourgogne-Franche-Comté,2008,cantonales,37766.78253001479,1723.0,18988.0,2802519,Salary,1.3476013019007111
Bourgogne-Franche-Comté,2011,cantonales,26686.111353918932,1754.0,19823.0,2816174,Salary,0.9476016522387797
Bourgogne-Franche-Comté,2012,legislative,356159.31666666665,1824.0,19695.0,2816814,Salary,12.64404808647879
Bourgogne-Franche-Comté,2012,presidential,484147.6166666667,1824.0,19695.0,2816814,Salary,17.187773728285457
Bretagne,2002,legislative,224740.8060606061,1437.0,15161.0,2981765,Salary,7.537173655891932
Bretagne,2002,presidential,266506.7982142857,1437.0,15161.0,2981765,Salary,8.937887399385454
Bretagne,2004,cantonales,30730.02920148161,1549.0,16006.0,3037077,Salary,1.0118291107364619
Bretagne,2007,legislative,231167.1637820513,1724.0,18088.0,3120288,Salary,7.4085201039792254
Bretagne,2007,presidential,474958.0095238096,1724.0,18088.0,3120288,Salary,15.221608054250426
Bretagne,2008,cantonales,31917.781340407564,1799.0,18827.0,3149701,Salary,1.0133590883835502
Bretagne,2011,cantonales,22295.772595552065,1839.0,19493.0,3217767,Salary,0.6928958061771429
Bretagne,2012,legislative,218024.85,1902.0,19453.0,3237097,Salary,6.73519669012081
Bretagne,2012,presidential,300879.9916666667,1902.0,19453.0,3237097,Salary,9.294747474872292
Centre-Val-de-Loire,2002,legislative,239611.0,1529.0,16178.0,2472978,Salary,9.689168282127863
Centre-Val-de-Loire,2002,presidential,288643.8666666667,1529.0,16178.0,2472978,Salary,11.67191405126397
Centre-Val-de-Loire,2004,cantonales,26334.72639992934,1651.0,17214.0,2494279,Salary,1.0558051605265224
Centre-Val-de-Loire,2007,legislative,237144.75555555554,1774.0,18912.0,2526919,Salary,9.384739105430587
