,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total,region,year,gender
200,972109,961515,1017948,535788,258183,3745543,Auvergne-Rhône-Alpes,2012,male
201,338197,326898,380385,218433,109113,1373026,Bourgogne-Franche-Comté,2012,male
202,400595,381708,433913,237588,119293,1573097,Bretagne,2012,male
203,314120,291689,343475,193106,102444,1244834,Centre-Val-de-Loire,2012,male
204,33978,37686,44019,26281,12804,154768,Corse,2012,male
205,677762,696507,768409,386584,177324,2706586,Grand Est,2012,male
206,809000,767113,783096,372881,163157,2895247,Hauts-de-France,2012,male
207,1568454,1698577,1529170,666472,283989,5746662,Île-de-France,2012,male
208,420477,391551,444764,235775,114942,1607509,Normandie,2012,male
209,657883,654859,780339,457284,249956,2800321,Nouvelle-Aquitaine,2012,male
210,661698,658313,742112,428232,230823,2721178,Occitanie,2012,male
211,472678,440500,477471,250062,129066,1769777,Pays de la Loire,2012,male
212,581392,568392,637073,377731,196034,2360622,Provence-Alpes-Côte d'Azur,2012,male
213,7908343,7875308,8382174,4386217,2147128,30699170,France métropolitaine,2012,male
214,58237,39115,53912,25070,10704,187038,Guadeloupe ,2012,male
215,50482,36892,53894,25419,12137,178824,Martinique ,2012,male
216,52514,34009,24896,6518,1601,119538,Guyane,2012,male
217,139210,104954,110727,37357,11256,403504,La Réunion,2012,male
218,300443,214970,243429,94364,35698,888904,DOM,2012,male
219,8208786,8090278,8625603,4480581,2182826,31588074,France métropolitaine et DOM,2012,male
220,979659,958379,1027286,548909,263100,3777333,Auvergne-Rhône-Alpes,2013,male
221,338733,321890,379194,224129,110671,1374617,Bourgogne-Franche-Comté,2013,male
222,401755,379216,436282,244538,122281,1584072,Bretagne,2013,male
223,314931,287666,343857,198083,103639,1248176,Centre-Val-de-Loire,2013,male
224,34004,37750,44562,26734,13215,156265,Corse,2013,male
225,675895,687757,766137,397375,181580,2708744,Grand Est,2013,male
226,809437,759100,784359,384818,165177,2902891,Hauts-de-France,2013,male
227,1575965,1688427,1541486,682826,290633,5779337,Île-de-France,2013,male
228,420661,385955,444066,243630,116725,1611037,Normandie,2013,male
229,663074,648599,784181,470812,252863,2819529,Nouvelle-Aquitaine,2013,male
230,666735,656690,748254,442126,234463,2748268,Occitanie,2013,male
231,476639,437251,479880,258885,131721,1784376,Pays de la Loire,2013,male
232,582420,563858,641393,385162,198531,2371364,Provence-Alpes-Côte d'Azur,2013,male
233,7939908,7812538,8420937,4508027,2184599,30866009,France métropolitaine,2013,male
234,56808,37908,54439,26037,10885,186077,Guadeloupe ,2013,male
235,49379,35752,54090,26173,12561,177955,Martinique ,2013,male
236,53474,33985,25563,6990,1641,121653,Guyane,2013,male
237,137391,103259,112191,38999,11891,403731,La Réunion,2013,male
238,297052,210904,246283,98199,36978,889416,DOM,2013,male
239,8236960,8023442,8667220,4606226,2221577,31755425,France métropolitaine et DOM,2013,male
240,987520,952842,1035050,563083,268850,3807345,Auvergne-Rhône-Alpes,2014,male
241,338419,316414,378466,229048,112900,1375247,Bourgogne-Franche-Comté,2014,male
242,404493,372958,438799,251943,124617,1592810,Bretagne,2014,male
243,316044,283461,343864,202542,105337,1251248,Centre-Val-de-Loire,2014,male
244,34047,37721,44994,27528,13672,157962,Corse,2014,male
245,673625,679837,763218,407208,185770,2709658,Grand Est,2014,male
246,814070,752212,785731,395103,166988,2914104,Hauts-de-France,2014,male
247,1581715,1677874,1555256,698283,297060,5810188,Île-de-France,2014,male
248,421547,380873,443105,250859,118339,1614723,Normandie,2014,male
249,669567,641448,786579,483160,255576,2836330,Nouvelle-Aquitaine,2014,male
250,672547,654822,752111,453809,237176,2770465,Occitanie,2014,male
251,480786,433735,483383,266155,134528,1798587,Pays de la Loire,2014,male
252,582969,559403,645821,394842,203222,2386257,Provence-Alpes-Côte d'Azur,2014,male
253,7977349,7743600,8456377,4623563,2224035,31024924,France métropolitaine,2014,male
254,56294,36478,54120,26529,11251,184672,Guadeloupe ,2014,male
255,48444,34844,54208,27045,12961,177502,Martinique ,2014,male
256,55089,34315,26723,7395,1667,125189,Guyane,2014,male
257,138101,102223,113297,41099,12587,407307,La Réunion,2014,male
258,60648,26184,16891,3830,980,108533,Mayotte,2014,male
259,358576,234044,265239,105898,39446,1003203,DOM,2014,male
260,8335925,7977644,8721616,4729461,2263481,32028127,France métropolitaine et DOM,2014,male
261,994981,949489,1037705,575908,274898,3832981,Auvergne-Rhône-Alpes,2015,male
262,338678,311258,375277,234368,114865,1374446,Bourgogne-Franche-Comté,2015,male
263,406726,368626,439638,258701,127516,1601207,Bretagne,2015,male
264,315610,279225,342442,206915,106895,1251087,Centre-Val-de-Loire,2015,male
265,34945,36929,44994,28326,14232,159426,Corse,2015,male
266,671950,672558,757461,418365,190542,2710876,Grand Est,2015,male
267,813669,741174,782724,406835,169804,2914206,Hauts-de-France,2015,male
268,1592225,1667316,1560368,711494,303560,5834963,Île-de-France,2015,male
269,420227,376810,439938,258312,120671,1615958,Normandie,2015,male
270,671882,637498,786087,496191,258829,2850487,Nouvelle-Aquitaine,2015,male
271,676640,655262,752573,466426,241014,2791915,Occitanie,2015,male
272,484163,430738,485094,274238,137250,1811483,Pays de la Loire,2015,male
273,585060,558331,645657,402499,206804,2398351,Provence-Alpes-Côte d'Azur,2015,male
274,8006756,7685214,8449958,4738578,2266880,31147386,France métropolitaine,2015,male
275,54796,35299,54321,27175,11619,183210,Guadeloupe ,2015,male
276,47397,34085,53463,27908,13224,176077,Martinique ,2015,male
277,56262,35052,27781,8068,1719,128882,Guyane,2015,male
278,138820,101181,114045,43653,13063,410762,La Réunion,2015,male
279,61714,25938,17878,4127,1009,110666,Mayotte,2015,male
280,358989,231555,267488,110931,40634,1009597,DOM,2015,male
281,8365745,7916769,8717446,4849509,2307514,32156983,France métropolitaine et DOM,2015,male
282,996853,949189,1037421,589812,277965,3851240,Auvergne-Rhône-Alpes,2016,male
283,337115,309563,371249,239032,115833,1372792,Bourgogne-Franche-Comté,2016,male
284,405377,366919,438870,266317,128511,1605994,Bretagne,2016,male
285,314816,276480,339898,211953,107041,1250188,Centre-Val-de-Loire,2016,male
286,35004,36869,45340,28821,14765,160799,Corse,2016,male
287,669817,665503,750494,429903,192807,2708524,Grand Est,2016,male
288,809906,736338,777050,418528,170610,2912432,Hauts-de-France,2016,male
289,1594653,1659763,1562578,724375,307716,5849085,Île-de-France,2016,male
290,418286,372657,435454,265398,121513,1613308,Normandie,2016,male
291,672198,636012,781522,511069,259385,2860186,Nouvelle-Aquitaine,2016,male
292,680638,654404,750935,479764,242008,2807749,Occitanie,2016,male
293,484696,428800,484719,283577,138641,1820433,Pays de la Loire,2016,male
294,585309,556482,642606,408445,210630,2403472,Provence-Alpes-Côte d'Azur,2016,male
295,8004668,7648979,8418136,4856994,2287425,31216202,France métropolitaine,2016,male
296,53336,34319,53520,28307,11842,181324,Guadeloupe ,2016,male
297,45457,32963,52732,28726,13607,173485,Martinique ,2016,male
298,57410,36581,29150,8661,1857,133659,Guyane,2016,male
299,137123,99201,114529,45724,13981,410558,La Réunion,2016,male
300,64053,26920,18556,4284,1046,114859,Mayotte,2016,male
301,357379,229984,268487,115702,42333,1013885,DOM,2016,male
302,8362047,7878963,8686623,4972696,2329758,32230087,France métropolitaine et DOM,2016,male
303,997234,948780,1034817,601808,282054,3864693,Auvergne-Rhône-Alpes,2017,male
304,333554,306898,366617,245381,116275,1368725,Bourgogne-Franche-Comté,2017,male
305,405187,365297,437323,276331,128288,1612426,Bretagne,2017,male
306,313708,275083,336334,216923,106869,1248917,Centre-Val-de-Loire,2017,male
307,35358,37044,45407,29956,15171,162936,Corse,2017,male
308,666571,662074,741151,441128,194794,2705718,Grand Est,2017,male
309,804406,733632,770589,433007,168943,2910577,Hauts-de-France,2017,male
310,1601393,1658932,1566796,736236,311208,5874565,Île-de-France,2017,male
311,413853,371371,429345,273352,122120,1610041,Normandie,2017,male
312,671543,635564,775760,525064,260897,2868828,Nouvelle-Aquitaine,2017,male
313,681110,656092,749622,492338,244574,2823736,Occitanie,2017,male
314,484333,428368,484381,293206,139389,1829677,Pays de la Loire,2017,male
315,584578,553042,638541,415436,214393,2405990,Provence-Alpes-Côte d'Azur,2017,male
316,7992828,7632177,8376683,4980166,2304975,31286829,France métropolitaine,2017,male
317,51225,33663,52118,29620,12379,179005,Guadeloupe ,2017,male
318,43803,31878,51280,30113,14160,171234,Martinique ,2017,male
319,57104,35225,28438,9237,2012,132016,Guyane,2017,male
320,134596,97174,114204,48283,14700,408957,La Réunion,2017,male
321,66487,27941,19261,4449,1081,119219,Mayotte,2017,male
322,353215,225881,265301,121702,44332,1010431,DOM,2017,male
323,8346043,7858058,8641984,5101868,2349307,32297260,France métropolitaine et DOM,2017,male
324,879616,976323,956493,499243,339470,3651145,Auvergne-Rhône-Alpes,2002,female
325,329396,351955,369865,208760,148547,1408523,Bourgogne-Franche-Comté,2002,female
326,359771,383920,389444,237809,163597,1534541,Bretagne,2002,female
327,298946,319217,332031,184091,133815,1268100,Centre-Val-de-Loire,2002,female
328,29577,35718,37625,22440,15285,140645,Corse,2002,female
329,678929,750884,725061,381557,241356,2777787,Grand Est,2002,female
330,809666,819633,764123,384530,248524,3026476,Hauts-de-France,2002,female
331,1438402,1776728,1522238,624369,414710,5776447,Île-de-France,2002,female
332,419617,428071,430303,230925,155927,1664843,Normandie,2002,female
333,594368,684661,740600,437756,328301,2785686,Nouvelle-Aquitaine,2002,female
334,571018,661540,682414,397278,286258,2598508,Occitanie,2002,female
335,421594,441829,433585,237636,164557,1699201,Pays de la Loire,2002,female
336,541799,607907,639333,364123,261831,2414993,Provence-Alpes-Côte d'Azur,2002,female
337,7372699,8238386,8023115,4210517,2902178,30746895,France métropolitaine,2002,female
338,61608,60446,51107,21180,11856,206197,Guadeloupe ,2002,female
339,58079,59058,52198,23648,13170,206153,Martinique ,2002,female
340,39173,27572,16338,3496,1687,88266,Guyane,2002,female
341,133424,120372,82078,29128,13224,378226,La Réunion,2002,female
342,292284,267448,201721,77452,39937,878842,DOM,2002,female
343,7664983,8505834,8224836,4287969,2942115,31625737,France métropolitaine et DOM,2002,female
344,882260,977120,973884,499361,349055,3681680,Auvergne-Rhône-Alpes,2003,female
345,327500,349758,376251,207105,152184,1412798,Bourgogne-Franche-Comté,2003,female
346,361208,384070,399529,235646,168225,1548678,Bretagne,2003,female
347,298561,317950,338214,182999,136830,1274554,Centre-Val-de-Loire,2003,female
348,29663,36105,38895,22952,15665,143280,Corse,2003,female
349,674017,746288,738492,378573,248303,2785673,Grand Est,2003,female
350,803321,816777,779775,377293,255692,3032858,Hauts-de-France,2003,female
351,1447355,1779823,1546733,624513,423126,5821550,Île-de-France,2003,female
352,416689,425482,439314,228964,160595,1671044,Normandie,2003,female
353,596870,683554,757619,435140,336847,2810030,Nouvelle-Aquitaine,2003,female
354,578747,663856,700608,398077,293938,2635226,Occitanie,2003,female
355,423048,442726,444204,236899,169540,1716417,Pays de la Loire,2003,female
356,545277,608266,651323,367119,268257,2440242,Provence-Alpes-Côte d'Azur,2003,female
357,7384516,8231775,8184841,4194641,2978257,30974030,France métropolitaine,2003,female
358,61065,59440,53203,21639,12383,207730,Guadeloupe ,2003,female
359,57928,57933,54406,24051,13623,207941,Martinique ,2003,female
360,40920,28828,17333,3654,1784,92519,Guyane,2003,female
361,134196,120167,86162,30167,13774,384466,La Réunion,2003,female
362,294109,266368,211104,79511,41564,892656,DOM,2003,female
363,7678625,8498143,8395945,4274152,3019821,31866686,France métropolitaine et DOM,2003,female
364,887448,973387,991961,500878,358276,3711950,Auvergne-Rhône-Alpes,2004,female
365,326810,345819,382697,205867,155350,1416543,Bourgogne-Franche-Comté,2004,female
366,364154,382215,408932,234610,172941,1562852,Bretagne,2004,female
367,299099,315035,344187,182177,139614,1280112,Centre-Val-de-Loire,2004,female
368,29775,36303,40270,23302,16268,145918,Corse,2004,female
369,671954,737633,753405,375094,254722,2792808,Grand Est,2004,female
370,799189,809885,794418,372135,262400,3038027,Hauts-de-France,2004,female
371,1458148,1779446,1570483,626828,429567,5864472,Île-de-France,2004,female
372,415444,420991,447320,228081,164893,1676729,Normandie,2004,female
373,601045,680027,773139,434568,345497,2834276,Nouvelle-Aquitaine,2004,female
374,588044,663670,717754,400882,301426,2671776,Occitanie,2004,female
375,426571,441316,454102,236967,173989,1732945,Pays de la Loire,2004,female
376,549082,606386,663500,371153,274220,2464341,Provence-Alpes-Côte d'Azur,2004,female
377,7416763,8192113,8342168,4192542,3049163,31192749,France métropolitaine,2004,female
378,60826,58339,55345,21968,12911,209389,Guadeloupe ,2004,female
379,57634,56757,56740,24342,14076,209549,Martinique ,2004,female
380,42834,29864,18425,3872,1872,96867,Guyane,2004,female
381,134832,119883,90337,31159,14364,390575,La Réunion,2004,female
382,296126,264843,220847,81341,43223,906380,DOM,2004,female
383,7712889,8456956,8563015,4273883,3092386,32099129,France métropolitaine et DOM,2004,female
384,892981,969773,1009214,504461,369875,3746304,Auvergne-Rhône-Alpes,2005,female
385,326242,342239,388544,205328,160056,1422409,Bourgogne-Franche-Comté,2005,female
386,366989,380587,418443,233836,178240,1578095,Bretagne,2005,female
387,299643,312344,349879,182141,143710,1287717,Centre-Val-de-Loire,2005,female
388,29901,36375,41646,23816,16907,148645,Corse,2005,female
389,669428,730439,767892,372104,262784,2802647,Grand Est,2005,female
390,794312,804716,807231,369081,270433,3045773,Hauts-de-France,2005,female
391,1468211,1780808,1593052,631599,441266,5914936,Île-de-France,2005,female
392,413675,416902,454944,227867,170040,1683428,Normandie,2005,female
