Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation (%),1 Sexe candidat,1 Nom candidat,1 Prénom candidat,1 Etiquette liste,1 nuance,1 voix,1 Accès second tour,2 Sexe candidat,2 Nom candidat,2 Prénom candidat,2 Etiquette liste,2 nuance,2 voix,2 Accès second tour,3 Sexe candidat,3 Nom candidat,3 Prénom candidat,3 Etiquette liste,3 nuance,3 voix,3 Accès second tour,4 Sexe candidat,4 Nom candidat,4 Prénom candidat,4 Etiquette liste,4 nuance,4 voix,4 Accès second tour,5 Sexe candidat,5 Nom candidat,5 Prénom candidat,5 Etiquette liste,5 nuance,5 voix,5 Accès second tour,6 Sexe candidat,6 Nom candidat,6 Prénom candidat,6 Etiquette liste,6 nuance,6 voix,6 Accès second tour,7 Sexe candidat,7 Nom candidat,7 Prénom candidat,7 Etiquette liste,7 nuance,7 voix,7 Accès second tour,8 Sexe candidat,8 Nom candidat,8 Prénom candidat,8 Etiquette liste,8 nuance,8 voix,8 Accès second tour,9 Sexe candidat,9 Nom candidat,9 Prénom candidat,9 Etiquette liste,9 nuance,9 voix,9 Accès second tour,10 Sexe candidat,10 Nom candidat,10 Prénom candidat,10 Etiquette liste,10 nuance,10 voix,10 Accès second tour,11 Sexe candidat,11 Nom candidat,11 Prénom candidat,11 Etiquette liste,11 nuance,11 voix,11 Accès second tour,12 Sexe candidat,12 Nom candidat,12 Prénom candidat,12 Etiquette liste,12 nuance,12 voix,12 Accès second tour,13 Sexe candidat,13 Nom candidat,13 Prénom candidat,13 Etiquette liste,13 nuance,13 voix,13 Accès second tour,14 Sexe candidat,14 Nom candidat,14 Prénom candidat,14 Etiquette liste,14 nuance,14 voix,14 Accès second tour,15 Sexe candidat,15 Nom candidat,15 Prénom candidat,15 Etiquette liste,15 nuance,15 voix,15 Accès second tour,16 Sexe candidat,16 Nom candidat,16 Prénom candidat,16 Etiquette liste,16 nuance,16 voix,16 Accès second tour,17 Sexe candidat,17 Nom candidat,17 Prénom candidat,17 Etiquette liste,17 nuance,17 voix,17 Accès second tour,18 Sexe candidat,18 Nom candidat,18 Prénom candidat,18 Etiquette liste,18 nuance,18 voix,18 Accès second tour,19 Sexe candidat,19 Nom candidat,19 Prénom candidat,19 Etiquette liste,19 nuance,19 voix,19 Accès second tour,20 Sexe candidat,20 Nom candidat,20 Prénom candidat,20 Etiquette liste,20 nuance,20 voix,20 Accès second tour,20 Pourcentage aux exprimés
66,PYRENEES-ORIENTALES,3,65996,41189,40306,883,"62,41%",M,BASSO,PATRICE,LUTTE OUVRIERE,EXG,264,N,F,BEGUE,CLAUDE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1296,N,F,FITER,FRANCOISE,PARTI COMMUNISTE FRANCAIS,COM,2038,N,M,BOURQUIN,CHRISTIAN,PARTI SOCIALISTE,SOC,12421,O,M,SALA,CLAUDE,LE TREFLE - LES NOUVEAUX ECOLOGISTES,ECO,708,N,M,SCHEMLA,DOMINIQUE,UDF - MOUVEMENT DEMOCRATE,MODEM,2037,N,M,CALVET,FRANCOIS,UNION POUR UN MOUVEMENT POPULAIRE,UMP,17268,O,F,REZE,MONIQUE,MOUVEMENT POUR LA FRANCE,DVD,364,N,F,BATAILLON,FRANCOISE,FRONT NATIONAL,FRN,1644,N,M,DUVERGER,JACQUES,CHASSE PECHE NATURE TRADITIONS,DIV,487,N,M,VILANOVA CORTASSA,ENRIC,ESQUERRA REPUBLICANA DE CATALUNYA,DIV,424,N,M,VERA,JORDI,CONVERGENCE DEMOCRATIQUE DE CATALOGNE,DIV,434,N,F,THEVENOT,ODILE,PARTI HUMANISTE,DIV,1,N,M,PRAT,PIERRE,UDF - MOUVEMENT DEMOCRATE,DIV,473,N,F,DUGELAY,CHRISTIANE,LA FRANCE EN ACTION,DIV,447,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PYRENEES-ORIENTALES,4,87687,57244,56191,1053,"65,28%",F,SILAN,ESTHER,LUTTE OUVRIERE,EXG,254,N,M,FISSIER,YANNICK,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,833,N,M,GARCIA,NICOLAS,PARTI COMMUNISTE FRANCAIS,COM,5323,N,M,FERRAND,OLIVIER,PARTI SOCIALISTE,SOC,8567,N,M,AYLAGAS,PIERRE,DIVERS GAUCHE,DVG,10072,O,M,HUETTE,FRANCK,LES VERTS,ECO,907,N,M,CROS,JACQUES,LE TREFLE - LES NOUVEAUX ECOLOGISTES,ECO,474,N,M,PORTEIX,YVES,UDF - MOUVEMENT DEMOCRATE,MODEM,3010,N,F,IRLES,JACQUELINE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,21124,O,F,GRANAT,MYRIAM,CENTRE NATIONAL DES INDEPENDANTS ET PAYSANS,DVD,1245,N,M,MENECHAL,JACQUES,MOUVEMENT POUR LA FRANCE,DVD,358,N,F,COSTA-FESENBECK,MARIE-THERESE,FRONT NATIONAL,FRN,2566,N,F,PUIGBO,NICOLE,CHASSE PECHE NATURE TRADITIONS,DIV,636,N,F,TIBAU,FRANCOISE,CONVERGENCE DEMOCRATIQUE DE CATALOGNE,DIV,543,N,F,HERNANDEZ,MARIA,LA FRANCE EN ACTION,DIV,279,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,1,52670,29739,29484,255,"56,46%",F,MORINAUD,PIERRETTE,LUTTE OUVRIERE,EXG,140,N,M,GOMEZ,ANTONIO,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,673,N,M,GROSSE,CHRISTIAN,PARTI COMMUNISTE FRANCAIS,COM,345,N,M,JUNG,ARMAND,PARTI SOCIALISTE,SOC,9718,O,M,FRITZ,LAURENT,LES VERTS,ECO,1426,N,F,WERCKMANN,FRANCOISE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,416,N,F,CUTAJAR,CHANTAL,UDF - MOUVEMENT DEMOCRATE,MODEM,3461,N,F,LOUTREL,FREDERIQUE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,9191,O,M,SCHAFFHAUSER,JEAN-LUC,MOUVEMENT POUR LE RENOUVEAU POLITIQUE,DVD,190,N,F,CALDEROLI-LOTZ,MARTINE,UNION POUR UN MOUVEMENT POPULAIRE,DVD,2489,N,F,BRENNER,BERNADETTE,FRONT NATIONAL,FRN,939,N,F,BRASSEUR,STEPHANIE,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,125,N,M,BARTHEL,JACQUES,SANS ETIQUETTE,DIV,157,N,F,FATH,SONIA J.,LA FRANCE EN ACTION,DIV,214,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,2,52296,28032,27776,256,"53,6%",F,BROUSSOLLE,VALERIE,PARTI DES TRAVAILLEURS,EXG,101,N,M,ROBERT,ROLAND,LUTTE OUVRIERE,EXG,214,N,M,MOREL,PHILIPPE,GAUCHE ALTERNATIVE 2007,EXG,273,N,M,METZ,JEAN-BAPTISTE,PARTI COMMUNISTE FRANCAIS,COM,413,N,M,BIES,PHILIPPE,PARTI SOCIALISTE,SOC,7100,O,F,DEPRET,MICHELE,MOUVEMENT REPUBLICAIN ET CITOYEN,DVG,79,N,M,WEHRLING,YANN,LES VERTS,ECO,1642,N,M,LALANNE,FRANCIS,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,975,N,F,JURDANT-PFEIFFER,PASCALE,UDF MOUVEMENT DEMOCRATE,MODEM,3799,N,M,MAURER,JEAN-PHILIPPE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,10797,O,F,GRUN NEVERS,GERALDINE,PARTI BLANC,DVD,206,N,M,BEAUFRERE,PATRICK,DEBOUT LA REPUBLIQUE,DVD,151,N,M,CODDERENS,XAVIER,FRONT NATIONAL,FRN,1258,N,M,ER RACHIDI,MOHAMED,PARTI DES MUSULMANS DE FRANCE,DIV,334,N,M,BUNNER,FRANCOIS,PLATEFORME 2007,DIV,77,N,M,TENESSO,ARMAND,SANS ETIQUETTE,DIV,137,N,M,MAYER,FRANCOIS-JOSEPH,LA FRANCE EN ACTION,DIV,220,N,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,3,66888,34655,34236,419,"51,81%",F,LECHENE,MARIE-CLAIRE,LUTTE OUVRIERE,EXG,325,N,M,MULLER,JEAN-LUC,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,714,N,M,GORRAND,JULIEN,PARTI COMMUNISTE FRANCAIS,COM,319,N,F,NAiLI,ZOUBIDA,PARTI SOCIALISTE,SOC,7133,O,F,BUCHMANN,ANDREE,LES VERTS,ECO,1920,N,M,WERCKMANN,JACQUES,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,479,N,F,TARALL,BORNIA,UDF - MOUVEMENT DEMOCRATE,MODEM,3515,N,M,SCHNEIDER,ANDRE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,16154,O,F,LUGONJA,NATACHA,FRONT NATIONAL,FRN,1835,N,M,JACQUART,DAVID,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,216,N,M,LATRECHE,MOHAMED,PARTI DES MUSULMANS DE FRANCE,DIV,788,N,M,WEBER,CLAUDE,UNION ELARGIE DES SENIORS,DIV,473,N,F,BENCHOHRA-SADARNAC,YASMINA,CENTRE INDEPENDANT,DIV,113,N,M,JOBREDEAUX,DOMINIQUE,LA FRANCE EN ACTION,DIV,252,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,4,114052,64927,63980,947,"56,93%",M,BAUD-BERTHIER,MARC,LUTTE OUVRIERE,EXG,366,N,M,OSWALD,MICHEL,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,927,N,F,HENRY,ARIANE,PARTI COMMUNISTE FRANCAIS,COM,381,N,M,FROEHLY,CLAUDE,PARTI SOCIALISTE,SOC,10078,N,M,FERNIQUE,JACQUES,LES VERTS,ECO,3349,N,M,FOESSER,FABIEN,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,1147,N,F,MEUNIER,ANNE,UDF - MOUVEMENT DEMOCRATE,MODEM,7123,N,M,BUR,YVES,UNION POUR UN MOUVEMENT POPULAIRE,UMP,36365,N,F,HEITZ,MARIE MADELEINE,FRONT NATIONAL,FRN,3235,N,M,LALANDE,FREDERIC,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,459,N,M,MECKERT,ANTHONY,LA FRANCE EN ACTION,DIV,550,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,5,99091,55352,53919,1433,"55,86%",M,DUTTER,PATRICK,LUTTE OUVRIERE,EXG,715,N,F,RICHEZ,MARIE-CLAUDE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,680,N,M,KUBIACK,JEAN-LOUIS,PARTI COMMUNISTE FRANCAIS,COM,339,N,F,HAMMAN,CHRISTIANE,PARTI SOCIALISTE,SOC,5566,N,F,DOMIN,GABRIELLE,PARTI RADICAL DE GAUCHE,PRG,213,N,F,GARTNER,MICHELE,LES VERTS,ECO,1885,N,M,RENAUDET,CLEMENT,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,1258,N,F,MEYER,DANIELE,UDF - MOUVEMENT DEMOCRATE,MODEM,6812,N,M,HERTH,ANTOINE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,31277,N,F,FUNCK,MONIQUE,CENTRE NATIONAL DES INDEPENDANTS ET PAYSANS,DVD,742,N,M,COTELLE,CHRISTIAN,FRONT NATIONAL,FRN,3606,N,M,GUILLET,EDMOND,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,374,N,M,BILDSTEIN,AUGUSTE,LA FRANCE EN ACTION,DIV,452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,6,80815,46929,46153,776,"58,07%",M,MEYER,JEAN,LUTTE OUVRIERE,EXG,386,N,F,ACKER,VALERIE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,717,N,M,ALLAIN,JOEL,PARTI COMMUNISTE FRANCAIS,COM,410,N,F,IANTZEN,MARIE-MADELEINE,PARTI SOCIALISTE,SOC,3883,N,F,METZ,MIREILLE,LES VERTS,ECO,1708,N,F,EASTES,MARIE-NOELLE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,489,N,M,BAILLET,CEDRIC,UDF - MOUVEMENT DEMOCRATE,MODEM,4293,N,M,FERRY,ALAIN,UMP PARTI RADICAL,UMP,31097,N,F,TOMASI,NATHALIE,FRONT NATIONAL,FRN,2444,N,F,MAILLEY,MARIE JEANNE,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,319,N,F,LUTZ,BERNADETTE,LA FRANCE EN ACTION,DIV,407,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,7,82832,46211,45080,1131,"55,79%",F,BAS,LILIANE,LUTTE OUVRIERE,EXG,676,N,M,HOFFMANN,GEORGES,COMITE POUR LA DEFENSE DU REGIME LOCAL ,EXG,470,N,F,DELORME,PASCALE,PARTI SOCIALISTE,SOC,2951,N,M,THEROUSE,HERVE,ALTERNATIVE UNITAIRE ANTILIBERALE,DVG,526,N,F,BRAUD,MARIE MADELEINE,LES VERTS,ECO,2171,N,F,SCHNITZLER,FABIENNE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,739,N,M,CARBIENER,THIERRY,UDF - MOUVEMENT DEMOCRATE,MODEM,6592,N,M,BLESSIG,EMILE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,27269,N,M,MARTIG,ROBERT,FRONT NATIONAL,FRN,2939,N,F,HAMM,EVELYNE,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,322,N,M,QUENEVILLE,YVES,LA FRANCE EN ACTION,DIV,425,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,8,70558,39319,38326,993,"55,73%",F,GSELL,CATHERINE,LUTTE OUVRIERE,EXG,432,N,F,CANTON,DANIELE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,469,N,M,PERRIN,AMBROISE,PARTI SOCIALISTE,SOC,3339,N,F,KIRAZ,SONGUL,LES VERTS,ECO,980,N,F,EXBRAYAT,HELOISE,GENERATION ECOLOGIE,ECO,523,N,M,JOERGER,THOMAS,UDF MOUVEMENT DEMOCRATE,MODEM,3488,N,M,REISS,FREDERIC,UNION POUR UN MOUVEMENT POPULAIRE,UMP,25260,N,M,BORD,CHRISTOPHE,PLATEFORME 2007,DVD,347,N,M,GNAEDIG,LAURENT,FRONT NATIONAL,FRN,2765,N,M,BASTIAN,GABRIEL,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,381,N,M,MARTIN,JEAN-PHILIPPE,LA FRANCE EN ACTION,DIV,342,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BAS-RHIN,9,104442,57715,56603,1112,"55,26%",M,DIZDAREVIC,GEORGES,LUTTE OUVRIERE,EXG,404,N,F,GREIB,MARION,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1006,N,F,WITZMANN,LEILLA,PARTI SOCIALISTE,SOC,4675,N,M,LINDECKERT,ROBERT,LES VERTS,ECO,1842,N,M,WEINZORN,CHRISTIAN,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,655,N,M,KERN,CLAUDE,UDF - MOUVEMENT DEMOCRATE,MODEM,10853,N,M,LOOS,FRANCOIS,UNION POUR UN MOUVEMENT POPULAIRE,UMP,32011,N,M,FEUERSTEIN,JEROME,MOUVEMENT POUR LA FRANCE,DVD,516,N,M,ALTHERR,JEAN-CLAUDE,FRONT NATIONAL,FRN,3553,N,M,FISCHER,CHRISTIAN,MNR - CONTRE L'IMMIGRATION-ISLAMISATION,EXD,487,N,M,MEYER,BENOIT,SANS ETIQUETTE,DIV,138,N,F,LANDESHAUPT,LYDIA,LA FRANCE EN ACTION,DIV,463,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT-RHIN,1,71936,41528,40821,707,"57,73%",M,ROUSSET,CHRISTIAN,LUTTE OUVRIERE,EXG,544,N,M,MIEHE,HUBERT,PARTI SOCIALISTE,SOC,6189,N,F,RABIH,LAETITIA,PARTI RADICAL DE GAUCHE,PRG,355,N,M,HILBERT,FREDERIC,LES VERTS,ECO,1373,N,F,VILLETTE-KUNTZ,NATHALIE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,557,N,F,UHLRICH MALLET,ODILE,UDF - MOUVEMENT DEMOCRATE,MODEM,4329,N,M,MEYER,GILBERT,UNION POUR UN MOUVEMENT POPULAIRE,UMP,12894,O,M,STRAUMANN,ERIC,UNION POUR UN MOUVEMENT POPULAIRE,DVD,12426,O,F,BADAIRE,PATRICIA,FRONT NATIONAL,FRN,1597,N,M,FEVRE,GILLES,"MNR - CONTRE L'IMMIGRATION-ISLAMISATION, L'INSECURITE",EXD,248,N,F,KRAU,GABRIELLE,LA FRANCE EN ACTION,DIV,309,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT-RHIN,2,74954,43108,42143,965,"57,51%",M,SOUCIER,PHILIPPE,LUTTE OUVRIERE,EXG,394,N,F,RUBRECHT,DANIELL,PARTI SOCIALISTE,SOC,4284,N,M,DELBARRE,JEAN-CLAUDE,PARTI RADICAL DE GAUCHE,PRG,322,N,M,JAEGGY,SERGE,GAUCHE ANTILIBERALE,DVG,814,N,M,HARTMANN,CHRISTOPHE,LES VERTS,ECO,1605,N,F,KLETTY,SYLVIANE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,909,N,M,SPEITEL,THIERRY,UDF - MOUVEMENT DEMOCRATE,MODEM,4684,N,M,CHRIST,JEAN-LOUIS,UNION POUR UN MOUVEMENT POPULAIRE,UMP,22781,N,M,VERRIER,OLIVIER,MAJORITE PRESIDENTIELLE - UMP,DVD,2283,N,M,DOERR,BENOIT,MOUVEMENT POUR LA FRANCE,DVD,431,N,F,SCHNEIDER,MARIE-MADELEINE,FRONT NATIONAL,FRN,2028,N,M,FRICK,JEAN-PIERRE,DECROISSANCE - ALTER MONDIALISTE,DIV,1141,N,F,FORMOSA,VIRGINIE,LA FRANCE EN ACTION,DIV,467,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT-RHIN,3,83080,49955,49110,845,"60,13%",F,MULOT,NATHALIE,LUTTE OUVRIERE,EXG,381,N,F,HALLAL,BAYAH,PARTI COMMUNISTE FRANCAIS,COM,417,N,F,DIFFOR,MARTINE,PARTI SOCIALISTE,SOC,6231,N,M,KNOERR,MICHEL,LES VERTS,ECO,1239,N,M,WAECHTER,ANTOINE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,1979,N,F,BLENY-WADEL,JACQUELINE,UDF - MOUVEMENT DEMOCRATE,MODEM,3660,N,M,REITZER,JEAN-LUC,UNION POUR UN MOUVEMENT POPULAIRE,UMP,31321,N,M,BODER,NICOLAS,MOUVEMENT POUR LA FRANCE,DVD,420,N,F,SCHUELLER,MARIE LOUISE,FRONT NATIONAL,FRN,1944,N,M,WILLME,DANIEL,UNION DU PEUPLE ALSACIEN / REGIONS ET PE,DIV,891,N,M,LAVARENNE,MATHIEU,PLATEFORME 2007,DIV,251,N,F,THOMAS,CHRISTINE,LA FRANCE EN ACTION,DIV,376,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT-RHIN,4,72707,39607,38609,998,"54,47%",M,DAMGE,WILFRID,LUTTE OUVRIERE,EXG,276,N,M,BRUNSPERGER,THIERRY,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,652,N,F,RABER,MAUD,PARTI SOCIALISTE,SOC,5398,N,M,DUPONT,THIERRY,PCF - ANTILIBERAUX,DVG,373,N,F,DISS,EMILIE,LES VERTS,ECO,1254,N,F,MARCHAL,COLETTE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,1013,N,M,STRIBY,PATRICK,UDF - MOUVEMENT DEMOCRATE,MODEM,3754,N,M,UEBERSCHLAG,JEAN,UNION POUR UN MOUVEMENT POPULAIRE,UMP,22717,N,M,SCHONER,HERVE,UNION POUR UN MOUVEMENT POPULAIRE,DVD,49,N,M,CURAN,RENE,FRONT NATIONAL,FRN,2557,N,M,STEHLIN,ROGER,RASSEMBLEMENT POUR INITIATIVE CITOYENNE,DIV,56,N,M,SONNINO,SERGE,PARTI POUR LA DECROISSANCE,DIV,93,N,M,PARRA,MICHEL,LA FRANCE EN ACTION,DIV,417,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT-RHIN,5,54524,29206,28585,621,"53,57%",M,WOSTYN,JULIEN,LUTTE OUVRIERE,EXG,186,N,M,HESTIN,JACQUES,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,407,N,F,PARMENTIER,ALINE,PARTI COMMUNISTE FRANCAIS,COM,253,N,M,FREYBURGER,PIERRE,PARTI SOCIALISTE,SOC,8289,O,M,BOEGLIN,EDOUARD,MOUVEMENT REPUBLICAIN ET CITOYEN,DVG,188,N,F,SONZOGNI,DJAMILA,LES VERTS,ECO,906,N,F,TORRENT,PERRINE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,457,N,M,SCHWEITZER,ERIC,UDF - MOUVEMENT DEMOCRATE,MODEM,1863,N,F,GROSSKOST,ARLETTE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,13170,O,M,GROSS,THIERRY,MOUVEMENT POUR LA FRANCE,DVD,425,N,M,BINDER,PATRICK,FRONT NATIONAL,FRN,2271,N,M,HUBSCH,FREDDY,LA FRANCE EN ACTION,DIV,170,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT-RHIN,6,74758,39220,38409,811,"52,46%",F,BAILLY,CAMILLE,LUTTE OUVRIERE,EXG,563,N,M,METZGER,HENRI,GAUCHE ALTERNATIVE 2007,EXG,824,N,M,HOME,ANTOINE,PARTI SOCIALISTE,SOC,8848,N,F,SCHWEITZER,PASCALE,LES VERTS,ECO,1399,N,M,BITTERLIN,JEAN,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,622,N,F,VAGINAY,RAPHAELLE,UDF - MOUVEMENT DEMOCRATE,MODEM,2520,N,M,HILLMEYER,FRANCIS,MAJORITE PRESIDENTIELLE - PSLE,PSLE,19341,N,M,MELE,ANDREA,MOUVEMENT POUR LA FRANCE,DVD,612,N,F,BINDER,MARTINE,FRONT NATIONAL,FRN,3348,N,F,JACOBI,HELENE,"MNR - CONTRE L'IMMIGRATION-ISLAMISATION, L'INSECURITE",EXD,19,N,M,BASTOS,GILLES,LA FRANCE EN ACTION,DIV,313,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT-RHIN,7,77078,43123,42206,917,"55,95%",M,SENSE,AIME,LUTTE OUVRIERE,EXG,489,N,M,CUSEY,LAURENT,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,672,N,F,PETER-LANTZ,NADIA,PARTI COMMUNISTE FRANCAIS,COM,768,N,F,HOFFARTH,CATHERINE,PARTI SOCIALISTE,SOC,6017,N,M,MULLER,JACQUES,LES VERTS,ECO,3330,N,F,FRANCOIS-WISLER,CLAUDINE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,633,N,F,DEHESTRU,ANNE,UDF MOUVEMENT DEMOCRATE,MODEM,3309,N,M,SORDI,MICHEL,UNION POUR UN MOUVEMENT POPULAIRE,UMP,22904,N,M,HERZOG,FRANCOIS,MOUVEMENT POUR LA FRANCE,DVD,389,N,M,SANJUAN,JOSE,FRONT NATIONAL,FRN,2906,N,M,BLOCHET,AMAURY,"MNR - CONTRE L'IMMIGRATION-ISLAMISATION, L'INSECURITE",EXD,338,N,M,WEBER,DANIEL,LA FRANCE EN ACTION,DIV,451,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,RHONE,1,63766,37381,37023,358,"58,62%",F,PERNIN,MARIE-CHRISTINE,LUTTE OUVRIERE,EXG,306,N,M,RAFED,MOHAMED,GAUCHE ALTERNATIVE 2007,EXG,428,N,F,LAVIALLE,FLORENCE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,954,N,F,AHMINE,SABIHA,PARTI COMMUNISTE FRANCAIS,COM,1104,N,M,BRAILLARD,THIERRY,PARTI RADICAL DE GAUCHE (SOUTIEN PS),PRG,8709,O,M,ARTIGNY,BERTRAND,LES VERTS,ECO,1331,N,F,COMPARINI,ANNE-MARIE,UDF - MOUVEMENT DEMOCRATE,MODEM,6430,N,M,HAVARD,MICHEL ,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14877,O,M,GUYON,YVES,CENTRE NATIONAL DES INDEPENDANTS ET PAYSANS,DVD,160,N,F,BOULOT,MARIE-LAURE,MAJORITE PRESIDENTIELLE ENVIRONNEMENT ET SOCIAL ,DVD,525,N,M,PEUCHOT,RAPHAEL,MOUVEMENT POUR LA FRANCE,DVD,439,N,M,MORIN,ANDRE,FRONT NATIONAL,FRN,1505,N,M,FRETIERE,GEORGES,RASSEMBLEMENT POUR INITIATIVE CITOYENNE,DIV,0,N,F,ROUVEURE,ADINE,LA FRANCE EN ACTION,DIV,255,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,RHONE,2,71687,44099,43815,284,"61,52%",F,COUZON,ARLETTE,LUTTE OUVRIERE,EXG,232,N,M,CIPIERE,JEAN-LUC,GAUCHE ALTERNATIVE 2007,EXG,846,N,M,JABAR,HICHAM,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1327,N,M,LEVEQUE,LOUIS,PARTI COMMUNISTE FRANCAIS,COM,1218,N,M,MUET,PIERRE-ALAIN,PARTI SOCIALISTE,SOC,12548,O,F,GOUZOU-TESTUD,GHISLAINE,LES VERTS,ECO,1988,N,F,EPELBAUM,LOUISA,LE TREFLE - LES NOUVEAUX ECOLOGISTES,ECO,294,N,M,FLEURET,JEAN-LOUP,UDF - MOUVEMENT DEMOCRATE,MODEM,4288,N,M,HAMELIN,EMMANUEL,UNION POUR UN MOUVEMENT POPULAIRE,UMP,18255,O,M,CARTELLIER,PHILIPPE,DEBOUT LA REPUBLIQUE,DVD,119,N,F,D'ANGLEJAN,JEANNE,MOUVEMENT POUR LA FRANCE,DVD,645,N,F,DE REINACH,DELPHINE,FRONT NATIONAL,FRN,1305,N,M,CHEYNET,VINCENT,PARTI POUR LA DECROISSANCE,DIV,467,N,F,FEDIDE,EVELYNE,LA FRANCE EN ACTION,DIV,283,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
