Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Taux de participation (%),1 Sexe candidat,1 Nom candidat,1 Prénom candidat,1 Etiquette liste,1 nuance,1 voix,1 Accès second tour,2 Sexe candidat,2 Nom candidat,2 Prénom candidat,2 Etiquette liste,2 nuance,2 voix,2 Accès second tour,3 Sexe candidat,3 Nom candidat,3 Prénom candidat,3 Etiquette liste,3 nuance,3 voix,3 Accès second tour,4 Sexe candidat,4 Nom candidat,4 Prénom candidat,4 Etiquette liste,4 nuance,4 voix,4 Accès second tour,5 Sexe candidat,5 Nom candidat,5 Prénom candidat,5 Etiquette liste,5 nuance,5 voix,5 Accès second tour,6 Sexe candidat,6 Nom candidat,6 Prénom candidat,6 Etiquette liste,6 nuance,6 voix,6 Accès second tour,7 Sexe candidat,7 Nom candidat,7 Prénom candidat,7 Etiquette liste,7 nuance,7 voix,7 Accès second tour,8 Sexe candidat,8 Nom candidat,8 Prénom candidat,8 Etiquette liste,8 nuance,8 voix,8 Accès second tour,9 Sexe candidat,9 Nom candidat,9 Prénom candidat,9 Etiquette liste,9 nuance,9 voix,9 Accès second tour,10 Sexe candidat,10 Nom candidat,10 Prénom candidat,10 Etiquette liste,10 nuance,10 voix,10 Accès second tour,11 Sexe candidat,11 Nom candidat,11 Prénom candidat,11 Etiquette liste,11 nuance,11 voix,11 Accès second tour,12 Sexe candidat,12 Nom candidat,12 Prénom candidat,12 Etiquette liste,12 nuance,12 voix,12 Accès second tour,13 Sexe candidat,13 Nom candidat,13 Prénom candidat,13 Etiquette liste,13 nuance,13 voix,13 Accès second tour,14 Sexe candidat,14 Nom candidat,14 Prénom candidat,14 Etiquette liste,14 nuance,14 voix,14 Accès second tour,15 Sexe candidat,15 Nom candidat,15 Prénom candidat,15 Etiquette liste,15 nuance,15 voix,15 Accès second tour,16 Sexe candidat,16 Nom candidat,16 Prénom candidat,16 Etiquette liste,16 nuance,16 voix,16 Accès second tour,17 Sexe candidat,17 Nom candidat,17 Prénom candidat,17 Etiquette liste,17 nuance,17 voix,17 Accès second tour,18 Sexe candidat,18 Nom candidat,18 Prénom candidat,18 Etiquette liste,18 nuance,18 voix,18 Accès second tour,19 Sexe candidat,19 Nom candidat,19 Prénom candidat,19 Etiquette liste,19 nuance,19 voix,19 Accès second tour,20 Sexe candidat,20 Nom candidat,20 Prénom candidat,20 Etiquette liste,20 nuance,20 voix,20 Accès second tour,20 Pourcentage aux exprimés
1,AIN,1,86633,52073,51329,744,"60,11%",M,LAHY,ERIC,LUTTE OUVRIERE,EXG,300,N,F,GUENARD-GERBAUD,CAROLE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1162,N,M,AVINIERE,PIERRE,PARTI COMMUNISTE FRANCAIS,COM,789,N,M,DEBAT,JEAN-FRANCOIS,PARTI SOCIALISTE,SOC,16415,O,F,DUTHU,MONIQUE,LES VERTS,ECO,1411,N,M,FAVRE,BERNARD,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,530,N,M,PARIOT,MARC,UDF - MOUVEMENT DEMOCRATE,MODEM,2860,N,M,BRETON,XAVIER,UNION POUR UN MOUVEMENT POPULAIRE,UMP,24250,O,M,FLECHON,JACQUES,MOUVEMENT POUR LA FRANCE,DVD,1078,N,F,CATHERIN,MARIE-LUCIENNE,FRONT NATIONAL,FRN,2086,N,F,HURET,ODILE,LA FRANCE EN ACTION,DIV,448,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,2,92466,51453,50726,727,"55,65%",M,CHAVET,RAOUL,PARTI DES TRAVAILLEURS,EXG,306,N,M,LARGERON,GUY,LUTTE OUVRIERE,EXG,380,N,M,DAGAND,YVES,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1375,N,F,PHILIPPE,KATIA,PARTI COMMUNISTE FRANCAIS,COM,1800,N,F,PIDOUX,CATHERINE,PARTI RADICAL DE GAUCHE (SOUTIEN PS),PRG,9217,N,M,CAGNAC,JACQUES,LES VERTS,ECO,1790,N,F,MEUNIER,MARIE-LISE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,631,N,M,FERRARESE,PIERRE,UDF - MOUVEMENT DEMOCRATE,MODEM,3217,N,M,DE LA VERPILLIERE,CHARLES,UNION POUR UN MOUVEMENT POPULAIRE,UMP,27034,N,M,LEGER,BERNARD,MOUVEMENT POUR LA FRANCE,DVD,778,N,F,DE LACHEISSERIE,NICOLE,FRONT NATIONAL,FRN,3333,N,M,SEGURET,JEAN-LOUIS,MOUVEMENT NATIONAL REPUBLICAIN,EXD,380,N,M,FRAY,MICHEL,CHASSE PECHE NATURE TRADITIONS,DIV,485,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,3,86694,48252,47449,803,"55,66%",F,GOUTAILLER,DOLORES,LUTTE OUVRIERE,EXG,309,N,M,BAILLY,LUC,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1137,N,M,VIRARD,PHILIPPE,SANS ETIQUETTE SOUTIEN PCF,COM,2366,N,F,RIGAUD,FRANCOISE,PARTI SOCIALISTE,SOC,9018,O,F,FRANQUET,CHRISTINE,LES VERTS,ECO,1636,N,F,FAVRE,MARYSE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,796,N,F,FAURE,FABIENNE,UDF - MOUVEMENT DEMOCRATE,MODEM,5198,N,M,BLANC,ETIENNE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,23722,O,M,JUSTON,MAURICE,MOUVEMENT POUR LA FRANCE,DVD,555,N,M,WYSSA,OLIVIER,FRONT NATIONAL,FRN,2229,N,F,ALBERT,EMILIE,CHASSE PECHE NATURE TRADITIONS,DIV,481,N,M,MARMORAT,JACQUES,LA FRANCE EN ACTION,DIV,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIN,4,109734,64519,63562,957,"58,8%",F,DRACOS,ELECTRE,LUTTE OUVRIERE,EXG,608,N,F,VACLE,CATHERINE,SOLIDARITE ECOLOGIE GAUCHE ALTERNATIVE,EXG,2133,N,F,BURGAT,JACQUELINE,PARTI COMMUNISTE FRANCAIS,COM,1270,N,M,GREFFET,CHRISTOPHE,PARTI SOCIALISTE,SOC,12395,N,M,MONTESSUIT,CLAUDE,LES VERTS,ECO,2409,N,F,MICHAUD,CHRISTEL,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,737,N,M,CORMORECHE,PIERRE,UDF - MOUVEMENT DEMOCRATE,MODEM,4895,N,M,VOISIN,MICHEL,UNION POUR UN MOUVEMENT POPULAIRE,UMP,33777,N,M,LE MAOUT,HERVE,MOUVEMENT POUR LA FRANCE,DVD,1081,N,M,DE LACHEISSERIE,JEAN-LOUP,FRONT NATIONAL,FRN,3541,N,F,MANDRAS,MARIE-FRANCOISE,CHASSE PECHE NATURE TRADITIONS,DIV,716,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,1,72349,44389,43559,830,"61,35%",M,PERNELLE,JEAN-LOUP,LUTTE OUVRIERE,EXG,600,N,F,LAFFIAC,MARIE-CLAUDE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,875,N,F,BRUNET,CLAUDINE,PARTI COMMUNISTE FRANCAIS,COM,918,N,M,KARIMET,FAWAZ,PARTI SOCIALISTE,SOC,8786,N,M,DOSIERE,RENE,DIVERS GAUCHE,DVG,10916,O,F,ARRIBAS,CATHERINE,LES VERTS,ECO,814,N,M,DELHAYE,ERIC,UDF - MOUVEMENT DEMOCRATE,MODEM,1961,N,F,BLANCHARD-DOUCHAIN,GAEDIC,UNION POUR UN MOUVEMENT POPULAIRE,UMP,12902,O,M,TREVILLOT,NICOLAS,DIVERS DROITE,DVD,1185,N,F,LEGRAS,SYLVIE,MOUVEMENT POUR LA FRANCE,DVD,649,N,M,ROUX,JEAN-LOUIS,FRONT NATIONAL,FRN,2476,N,F,BIBAUT,LOUISETTE,CHASSE PECHE NATURE TRADITIONS,DIV,264,N,M,HANSEN-CATTA,PAUL HENRY,DIVERS,DIV,1130,N,M,MATIS,PASCAL,LA FRANCE EN ACTION,DIV,83,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,2,74698,45905,45058,847,"61,45%",F,AURIGNY,NICOLE,PARTI DES TRAVAILLEURS,EXG,347,N,F,ZANDITENAS,ANNE,LUTTE OUVRIERE,EXG,461,N,M,MOUSSET,FRANCK,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,847,N,M,TOURNAY,JEAN-LUC,PARTI COMMUNISTE FRANCAIS,COM,2191,N,F,GRZEGRZULKA,ODETTE,PARTI SOCIALISTE,SOC,10278,N,M,GRZEZICZAK,FREDDY,MOUVEMENT REPUBLICAIN ET CITOYEN,DVG,1195,N,F,AHMED-ALI,NORA,LES VERTS,ECO,470,N,M,WARGNIER,DANIEL,GENERATION ECOLOGIE,ECO,336,N,M,BAHADDOU,AHMED,UDF - MOUVEMENT DEMOCRATE,MODEM,1298,N,M,BERTRAND,XAVIER,UNION POUR UN MOUVEMENT POPULAIRE,UMP,24007,N,F,DESJOYAUX,CARMEL,MOUVEMENT POUR LA FRANCE,DVD,261,N,F,DALL'ARA,MICHELE,FRONT NATIONAL,FRN,2382,N,F,GUILLET,MARIE-JOSE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,276,N,M,BETEMS,ALAIN,CHASSE PECHE NATURE TRADITIONS,DIV,525,N,M,SENE,BERTRAND,LA FRANCE EN ACTION,DIV,184,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,3,72227,44740,43842,898,"61,94%",M,PAILLER,MARC,LUTTE OUVRIERE,EXG,467,N,M,SEVERAC,DIMITRI,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,947,N,F,DEVAUX,GINETTE,PARTI COMMUNISTE FRANCAIS,COM,1573,N,M,BALLIGAND,JEAN-PIERRE,PARTI SOCIALISTE,SOC,18046,O,F,DELATTRE,VALERIE,LES VERTS,ECO,616,N,F,MAILLET,ISABELLE,GENERATION ECOLOGIE,ECO,216,N,M,LEGRIS,EDWIN,UDF - MOUVEMENT DEMOCRATE,MODEM,1499,N,M,MEURA,FREDERIC,UNION POUR UN MOUVEMENT POPULAIRE,UMP,15889,O,F,BALLOT,VERONIQUE,MOUVEMENT POUR LA FRANCE,DVD,432,N,F,FAUVERGUE,NATHALIE,FRONT NATIONAL,FRN,3278,N,F,REMY,RAYMONDE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,234,N,F,FLAMENGT,ANDREE,CHASSE PECHE NATURE TRADITIONS,DIV,507,N,F,CHOAIN,MONIQUE,LA FRANCE EN ACTION,DIV,138,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,4,79255,45829,45089,740,"57,82%",F,VOISIN,LAETITIA,LUTTE OUVRIERE,EXG,657,N,M,NATANSON,DOMINIQUE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,1009,N,F,LE FLECHER,CLAIRE,PARTI SOCIALISTE,SOC,7322,N,M,DESALLANGRE,JACQUES,DIVERS GAUCHE,DVG,11802,O,M,BOCQUET,VINCENT,LES VERTS,ECO,869,N,M,SABLE,YANNICK,UDF - MOUVEMENT DEMOCRATE,MODEM,1949,N,F,THUIN-MACHEREZ,BRIGITTE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14481,O,F,LETRILLART,ISABELLE,MOUVEMENT POUR LA FRANCE,DVD,2303,N,M,DE SAINT JUST,WALLERAND,FRONT NATIONAL,FRN,3726,N,M,LIENAUX,HENRI,CHASSE PECHE NATURE TRADITIONS,DIV,569,N,M,ENGUEHARD,PHILIPPE,DIVERS,DIV,380,N,M,BESBAS,HOUSSENS,LA FRANCE EN ACTION,DIV,22,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,5,80005,48584,47804,780,"60,73%",F,GERET,SYLVIE,LUTTE OUVRIERE,EXG,780,N,F,FOURQUET,BRIGITTE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,949,N,M,ALLIOUX,JEAN-LUC,PARTI COMMUNISTE FRANCAIS,COM,1047,N,M,JOURDAIN,DOMINIQUE,PARTI SOCIALISTE,SOC,9920,O,M,KRABAL,JACQUES,DIVERS GAUCHE,DVG,8446,N,F,CHAMBAUD,MARIE-THERESE,LES VERTS,ECO,811,N,M,REY,MARC-HERVE,MOUVEMENT ECOLOGISTE INDEPENDANT,ECO,427,N,M,BELLIERE,RENAUD,UDF - MOUVEMENT DEMOCRATE,MODEM,2156,N,F,VASSEUR,ISABELLE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,18088,O,M,PAPRITZ,OLIVIER,MOUVEMENT POUR LA FRANCE,DVD,625,N,M,BRIFFAUT,FRANCK,FRONT NATIONAL,FRN,4023,N,F,DERYCKERE,ANNICK,CHASSE PECHE NATURE TRADITIONS,DIV,502,N,F,ALLEGRAUD,AUDE,LA FRANCE EN ACTION,DIV,30,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,1,58298,36848,36037,811,"63,21%",M,DARMANGEAT,CHRISTOPHE,LUTTE OUVRIERE,EXG,267,N,F,BEAUNIEUX,MICHELE,LIGUE COMMUNISTE REVOLUTIONNAIRE,EXG,464,N,M,CABANNE,JACQUES,PARTI COMMUNISTE FRANCAIS,COM,2384,N,F,MAYRARGUE,DELPHINE,PARTI SOCIALISTE,SOC,3122,N,M,CHAMBEFORT,GUY,DIVERS GAUCHE,DVG,10975,O,M,MATICHARD,GERARD,LES VERTS,ECO,481,N,M,GUILLAUMIN,JEAN-MARIE,LE TREFLE - LES NOUVEAUX ECOLOGISTES,ECO,293,N,F,DEMURE,DANIELLE,UDF - MOUVEMENT DEMOCRATE,MODEM,1996,N,M,PERISSOL,PIERRE-ANDRE,UNION POUR UN MOUVEMENT POPULAIRE,UMP,14563,O,F,MIALLET,MICHELLE,MOUVEMENT POUR LA FRANCE,DVD,202,N,F,DE CONDE,CARLA,FRONT NATIONAL,FRN,876,N,M,DEVILLE,SERGE,MOUVEMENT NATIONAL REPUBLICAIN,EXD,117,N,M,AUVRAY,HUGUES,SANS ETIQUETTE,DIV,163,N,F,CORGIE,SUZANNE,SANS ETIQUETTE,DIV,3,N,F,GENOT,JUDITH,LA FRANCE EN ACTION,DIV,131,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
